"Data set","All Authors affiliated with Universitas Negeri Surabaya","","","","","","","","","","",""
"Entity","Universitas Negeri Surabaya","","","","","","","","","","",""
"Year range","2015 to >2025","","","","","","","","","","",""
"Types of publications included","all publication types","","","","","","","","","","",""
"Self-citations","included","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Data source","Scopus","","","","","","","","","","",""
"Date last updated","11 March 2026","","","","","","","","","","",""
"","","","","","","","","","","","",""
"* If an author's affiliation is part of multiple SciVal Institutions, the author is listed multiple times with one row per Institution.","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Name","Scholarly Output","Most recent publication","Citations","Citations per Publication","Field-Weighted Citation Impact","h-index","Output in Top 10% Citation Percentiles (field-weighted)","Oldest publication (since 1996)","Scopus author ID","Scopus author profile","Primary author affiliation*","ORCID (linked to Scopus author profile)"
"Suprapto, Nadi","173","2026","1194","6.9","1.56","15","48","2015","57163917500","https://www.scopus.com/authid/detail.url?authorId=57163917500","Universitas Negeri Surabaya","0000-0002-8990-7412"
"Prahani, Binar Kurnia","138","2026","1088","7.9","1.97","19","46","2018","57207944019","https://www.scopus.com/authid/detail.url?authorId=57207944019","Universitas Negeri Surabaya","0000-0002-5606-6629"
"Juniati, Dwi","120","2025","741","6.2","1.53","14","26","2003","57193704830","https://www.scopus.com/authid/detail.url?authorId=57193704830","Universitas Negeri Surabaya","0000-0002-5352-3708"
"Ayubi, Novadri","116","2026","457","3.9","0.72","12","11","2022","57537497000","https://www.scopus.com/authid/detail.url?authorId=57537497000","Universitas Negeri Surabaya","0000-0002-5196-6636"
"Siswono, Tatag Y.E.","103","2025","507","4.9","1.14","13","13","2010","57959538100","https://www.scopus.com/authid/detail.url?authorId=57959538100","Universitas Negeri Surabaya","0000-0002-7108-8279"
"Munasir, M.","82","2026","664","8.1","1.36","12","20","2013","57031904800","https://www.scopus.com/authid/detail.url?authorId=57031904800","Universitas Negeri Surabaya","0000-0002-9526-3959"
"Lukito, Agung","78","2026","188","2.4","0.69","8","7","2012","7801325896","https://www.scopus.com/authid/detail.url?authorId=7801325896","Universitas Negeri Surabaya",""
"Budayasa, I. Ketut","76","2026","354","4.7","1.09","11","13","2012","57193709826","https://www.scopus.com/authid/detail.url?authorId=57193709826","Universitas Negeri Surabaya","0000-0002-5066-859X"
"Kusnanik, Nining W.","76","2026","366","4.8","0.67","12","6","2017","57195430173","https://www.scopus.com/authid/detail.url?authorId=57195430173","Universitas Negeri Surabaya","0000-0002-0734-6843"
"Madlazim, Madlazim","75","2026","247","3.3","0.76","9","9","2010","55001810400","https://www.scopus.com/authid/detail.url?authorId=55001810400","Universitas Negeri Surabaya","0000-0002-6059-1119"
"Hariyono, Eko","75","2026","241","3.2","1.32","9","18","2014","56458994400","https://www.scopus.com/authid/detail.url?authorId=56458994400","Universitas Negeri Surabaya","0000-0002-1597-599X"
"Deta, Utama Alan","75","2026","323","4.3","1.83","11","22","2014","55872927700","https://www.scopus.com/authid/detail.url?authorId=55872927700","Universitas Negeri Surabaya","0000-0002-2881-7843"
"Nurhasan, Nurhasan","74","2025","254","3.4","0.69","9","6","2019","57219319997","https://www.scopus.com/authid/detail.url?authorId=57219319997","Universitas Negeri Surabaya","0000-0003-2790-5777"
"Aribowo, Widi","72","2026","502","7.0","1.93","13","23","2020","57216862548","https://www.scopus.com/authid/detail.url?authorId=57216862548","Universitas Negeri Surabaya","0000-0002-4059-1293"
"Ekawati, Rooselyna","71","2026","213","3.0","0.75","7","7","2014","57210812993","https://www.scopus.com/authid/detail.url?authorId=57210812993","Universitas Negeri Surabaya",""
"Jatmiko, Budi","70","2026","874","12.5","1.61","18","16","2013","57191163601","https://www.scopus.com/authid/detail.url?authorId=57191163601","Universitas Negeri Surabaya","0000-0003-2909-1121"
"Anifah, Lilik","55","2026","167","3.0","0.54","7","4","2013","55648855000","https://www.scopus.com/authid/detail.url?authorId=55648855000","Universitas Negeri Surabaya","0000-0001-6631-1379"
"Setiawan, Slamet","52","2025","246","4.7","0.94","9","2","2020","57212529080","https://www.scopus.com/authid/detail.url?authorId=57212529080","Universitas Negeri Surabaya","0000-0003-4143-8757"
"Setijono, Hari","49","2026","148","3.0","0.55","6","2","2018","57210841704","https://www.scopus.com/authid/detail.url?authorId=57210841704","Universitas Negeri Surabaya",""
"Kusumawati, Nita","49","2025","251","5.1","0.54","9","0","2013","56386061900","https://www.scopus.com/authid/detail.url?authorId=56386061900","Universitas Negeri Surabaya",""
"Susantini, Endang","49","2026","239","4.9","0.90","10","7","2012","57192004978","https://www.scopus.com/authid/detail.url?authorId=57192004978","Universitas Negeri Surabaya","0000-0002-0213-4518"
"Nurhayati, Nurhayati","49","2026","242","4.9","0.55","9","2","2017","57190439932","https://www.scopus.com/authid/detail.url?authorId=57190439932","Universitas Negeri Surabaya","0000-0002-3428-8570"
"Masriyah,","48","2026","98","2.0","0.86","5","4","2018","57200363692","https://www.scopus.com/authid/detail.url?authorId=57200363692","Universitas Negeri Surabaya","0000-0002-8161-3356"
"Budiarto, Mega Teguh","48","2026","111","2.3","0.82","6","7","2018","57200364500","https://www.scopus.com/authid/detail.url?authorId=57200364500","Universitas Negeri Surabaya","0000-0002-9052-3141"
"Muslim, Supari","47","2025","265","5.6","0.60","9","1","2016","57188724366","https://www.scopus.com/authid/detail.url?authorId=57188724366","Universitas Negeri Surabaya",""
"Al Ardha, Muchamad Arif","47","2025","144","3.1","0.67","8","5","2022","57476924200","https://www.scopus.com/authid/detail.url?authorId=57476924200","Universitas Negeri Surabaya","0000-0002-9192-2072"
"Lestari, N. A.","46","2026","176","3.8","1.79","7","13","2018","57201959687","https://www.scopus.com/authid/detail.url?authorId=57201959687","Universitas Negeri Surabaya","0000-0002-3773-3369"
"Rahayu, Dwi Anggorowati","45","2026","140","3.1","0.70","7","3","2019","57214115527","https://www.scopus.com/authid/detail.url?authorId=57214115527","Universitas Negeri Surabaya",""
"Widodo, Wahono","45","2026","264","5.9","0.74","9","8","2016","57191165275","https://www.scopus.com/authid/detail.url?authorId=57191165275","Universitas Negeri Surabaya","0000-0003-3636-8571"
"Abadi, Abadi","44","2026","155","3.5","0.74","9","7","2005","7409825061","https://www.scopus.com/authid/detail.url?authorId=7409825061","Universitas Negeri Surabaya","0000-0002-8475-922X"
"Supardi, Zainul Arifin Imam","44","2025","339","7.7","1.13","11","7","2003","6508147948","https://www.scopus.com/authid/detail.url?authorId=6508147948","Universitas Negeri Surabaya",""
"Rohmawati, L.","43","2025","141","3.3","0.95","7","6","2018","57201676108","https://www.scopus.com/authid/detail.url?authorId=57201676108","Universitas Negeri Surabaya","0000-0002-0047-3487"
"Wasis, Wasis","43","2026","341","7.9","1.42","11","12","2017","57195518718","https://www.scopus.com/authid/detail.url?authorId=57195518718","Universitas Negeri Surabaya","0000-0002-4437-5141"
"Wiriawan, Oce","42","2026","139","3.3","0.79","7","6","2018","57200374593","https://www.scopus.com/authid/detail.url?authorId=57200374593","Universitas Negeri Surabaya","0000-0003-1830-9519"
"Tukiran, Tukiran","42","2026","112","2.7","0.30","7","1","2012","8243064500","https://www.scopus.com/authid/detail.url?authorId=8243064500","Universitas Negeri Surabaya",""
"Rachmadiarti, Fida","41","2026","191","4.7","0.52","7","3","2018","57195929051","https://www.scopus.com/authid/detail.url?authorId=57195929051","Universitas Negeri Surabaya",""
"Prastowo, Tjipto","41","2025","116","2.8","0.54","7","1","2010","23991081900","https://www.scopus.com/authid/detail.url?authorId=23991081900","Universitas Negeri Surabaya",""
"Kohar, Ahmad Wachidul","41","2024","311","7.6","1.92","10","8","2016","57188993923","https://www.scopus.com/authid/detail.url?authorId=57188993923","Universitas Negeri Surabaya","0000-0002-2813-8584"
"Ambarwati, Reni","40","2026","101","2.5","0.45","7","3","2019","57216337498","https://www.scopus.com/authid/detail.url?authorId=57216337498","Universitas Negeri Surabaya",""
"Suryanti, Suryanti","40","2026","167","4.2","0.75","8","7","2016","57205027780","https://www.scopus.com/authid/detail.url?authorId=57205027780","Universitas Negeri Surabaya",""
"Anistyasari, Yeni","39","2026","135","3.5","0.78","5","7","2017","53263227700","https://www.scopus.com/authid/detail.url?authorId=53263227700","Universitas Negeri Surabaya","0000-0001-5664-2254"
"Pranoto, Adi","39","2026","25","0.6","0.44","13","4","2024","57219912246","https://www.scopus.com/authid/detail.url?authorId=57219912246","Universitas Negeri Surabaya","0000-0003-4080-9245"
"Sunarti, Titin","38","2026","179","4.7","1.05","6","7","2016","57201671106","https://www.scopus.com/authid/detail.url?authorId=57201671106","Universitas Negeri Surabaya","0009-0005-2430-1603"
"Putri, N. P.","38","2026","189","5.0","1.31","7","9","2018","57202051863","https://www.scopus.com/authid/detail.url?authorId=57202051863","Universitas Negeri Surabaya",""
"Rahayu, Yuni Sri","38","2026","151","4.0","0.54","7","4","2005","8624864500","https://www.scopus.com/authid/detail.url?authorId=8624864500","Universitas Negeri Surabaya","0000-0002-2977-1162"
"Yamasari, Yuni","38","2026","149","3.9","0.67","7","3","2017","57193733535","https://www.scopus.com/authid/detail.url?authorId=57193733535","Universitas Negeri Surabaya","0000-0001-9719-3491"
"Wibawa, Setya Chendra","38","2023","110","2.9","0.73","7","5","2017","57200035291","https://www.scopus.com/authid/detail.url?authorId=57200035291","Universitas Negeri Surabaya","0000-0001-5395-4607"
"Kusuma, I. Dewa Made Aryananda Wijaya","38","2025","70","1.8","0.53","4","2","2023","58565941100","https://www.scopus.com/authid/detail.url?authorId=58565941100","Universitas Negeri Surabaya","0000-0002-4939-7294"
"Ahmadi, A.","38","2026","183","4.8","3.16","10","13","2018","57201349400","https://www.scopus.com/authid/detail.url?authorId=57201349400","Universitas Negeri Surabaya","0000-0003-2583-2703"
"Sulaiman, Raden","37","2026","50","1.4","0.54","4","3","2012","55326808700","https://www.scopus.com/authid/detail.url?authorId=55326808700","Universitas Negeri Surabaya","0000-0002-1315-6536"
"Hartono, S.","35","2025","173","4.9","1.16","9","4","2017","57193868635","https://www.scopus.com/authid/detail.url?authorId=57193868635","Universitas Negeri Surabaya","0000-0002-0959-7013"
"Hidaayatullaah, H. N.","34","2026","161","4.7","1.61","6","13","2020","57217176216","https://www.scopus.com/authid/detail.url?authorId=57217176216","Universitas Negeri Surabaya","0000-0002-0230-1793"
"Jauhariyah, Mukhayyarotin Niswati Rodliyatul","34","2026","190","5.6","1.94","9","12","2015","57128452400","https://www.scopus.com/authid/detail.url?authorId=57128452400","Universitas Negeri Surabaya",""
"Puspitaningayu, Pradini","34","2025","57","1.7","0.65","6","1","2014","56516857300","https://www.scopus.com/authid/detail.url?authorId=56516857300","Universitas Negeri Surabaya","0000-0002-2053-2907"
"Tjahyaningtijas, Hapsari Peni Agustin","33","2025","162","4.9","0.76","5","3","2018","58028094300","https://www.scopus.com/authid/detail.url?authorId=58028094300","Universitas Negeri Surabaya","0000-0002-6582-5295"
"Kartiko, Dwi Cahyo","33","2025","57","1.7","0.47","5","1","2018","57201353796","https://www.scopus.com/authid/detail.url?authorId=57201353796","Universitas Negeri Surabaya","0000-0002-6727-0879"
"Sofro, A'yunin","33","2026","40","1.2","0.26","3","4","2018","57200365842","https://www.scopus.com/authid/detail.url?authorId=57200365842","Universitas Negeri Surabaya","0000-0003-2603-4092"
"Ekohariadi,","32","2026","61","1.9","0.51","4","3","2017","57195553791","https://www.scopus.com/authid/detail.url?authorId=57195553791","Universitas Negeri Surabaya",""
"Edi Cahyaningrum, Sari Edi","32","2026","125","3.9","0.47","7","3","2010","36992057000","https://www.scopus.com/authid/detail.url?authorId=36992057000","Universitas Negeri Surabaya","0000-0001-6353-5342"
"Yantidewi, Meta","32","2025","119","3.7","1.27","7","7","2017","57193133954","https://www.scopus.com/authid/detail.url?authorId=57193133954","Universitas Negeri Surabaya","0000-0002-9547-3374"
"Nurlaela, Luthfiyah","32","2025","127","4.0","0.72","7","4","2016","57193699945","https://www.scopus.com/authid/detail.url?authorId=57193699945","Universitas Negeri Surabaya","0000-0003-3478-8046"
"Buditjahjanto, I.G.P. Asto","30","2026","105","3.5","0.80","6","5","2011","35728306600","https://www.scopus.com/authid/detail.url?authorId=35728306600","Universitas Negeri Surabaya","0000-0003-0716-7682"
"Suhartono, Suhartono","30","2025","55","1.8","0.52","4","0","2020","57216389976","https://www.scopus.com/authid/detail.url?authorId=57216389976","Universitas Negeri Surabaya","0000-0003-4657-9639"
"Setyarsih, Woro","30","2026","93","3.1","0.95","5","5","2017","57193132412","https://www.scopus.com/authid/detail.url?authorId=57193132412","Universitas Negeri Surabaya",""
"Pramono, B. A.","30","2025","38","1.3","0.47","3","1","2017","57193789943","https://www.scopus.com/authid/detail.url?authorId=57193789943","Universitas Negeri Surabaya","0000-0002-9308-1289"
"Saputri, Ratih Dewi","30","2026","84","2.8","0.62","13","1","2021","56034635500","https://www.scopus.com/authid/detail.url?authorId=56034635500","Universitas Negeri Surabaya",""
"Rusdiawan, Afif","30","2025","67","2.2","0.71","4","2","2023","58178878400","https://www.scopus.com/authid/detail.url?authorId=58178878400","Universitas Negeri Surabaya","0000-0001-5388-7061"
"Wijayanti, P.","30","2026","72","2.4","0.73","5","3","2018","57203558527","https://www.scopus.com/authid/detail.url?authorId=57203558527","Universitas Negeri Surabaya","0000-0003-4935-3838"
"Anam, Syafi'ul","29","2025","263","9.1","1.08","8","6","2016","57189365383","https://www.scopus.com/authid/detail.url?authorId=57189365383","Universitas Negeri Surabaya","0000-0002-4687-856X"
"Sanjaya, I. Gusti Made","29","2025","109","3.8","0.68","7","4","2013","57226515117","https://www.scopus.com/authid/detail.url?authorId=57226515117","Universitas Negeri Surabaya","0000-0003-4336-7374"
"Khabibah, Siti","29","2026","57","2.0","0.64","5","6","2018","57208266754","https://www.scopus.com/authid/detail.url?authorId=57208266754","Universitas Negeri Surabaya","0000-0002-1292-0619"
"Setiarso, Pirim","29","2025","115","4.0","0.34","7","0","2017","57193435645","https://www.scopus.com/authid/detail.url?authorId=57193435645","Universitas Negeri Surabaya",""
"Wardhono, Arie","29","2025","600","20.7","1.28","10","6","2014","56033884800","https://www.scopus.com/authid/detail.url?authorId=56033884800","Universitas Negeri Surabaya","0000-0003-2677-0209"
"Firmansyah, Awang","29","2025","111","3.8","0.86","6","5","2019","57850607700","https://www.scopus.com/authid/detail.url?authorId=57850607700","Universitas Negeri Surabaya","0000-0003-1149-6091"
"Munir, Ahmad","29","2025","74","2.6","0.66","4","0","2020","57217302677","https://www.scopus.com/authid/detail.url?authorId=57217302677","Universitas Negeri Surabaya","0000-0003-0606-3590"
"Kusumawati, Diah Hari","29","2026","181","6.2","1.57","7","9","2018","57195967334","https://www.scopus.com/authid/detail.url?authorId=57195967334","Universitas Negeri Surabaya","0000-0003-0954-818X"
"Fuad, Yusuf","28","2025","77","2.8","0.85","5","2","2018","6506501330","https://www.scopus.com/authid/detail.url?authorId=6506501330","Universitas Negeri Surabaya",""
"Yani, Muhammad Turhan","28","2026","100","3.6","2.43","6","8","2018","57219313955","https://www.scopus.com/authid/detail.url?authorId=57219313955","Universitas Negeri Surabaya","0000-0003-4565-2582"
"Suprianto, Bambang","28","2026","196","7.0","0.61","9","2","2011","8215287000","https://www.scopus.com/authid/detail.url?authorId=8215287000","Universitas Negeri Surabaya",""
"Rakhmawati, Lusia","28","2025","217","7.8","0.67","7","2","2018","57200562830","https://www.scopus.com/authid/detail.url?authorId=57200562830","Universitas Negeri Surabaya",""
"Ridwan, Mochamad","28","2025","59","2.1","0.42","4","1","2018","57225378646","https://www.scopus.com/authid/detail.url?authorId=57225378646","Universitas Negeri Surabaya",""
"Ilhami, Fasih Bintang","28","2026","122","4.4","0.86","11","6","2023","57217535161","https://www.scopus.com/authid/detail.url?authorId=57217535161","Universitas Negeri Surabaya","0000-0002-6048-6730"
"Firdaus, R. A.","28","2025","18","0.6","0.31","3","0","2021","57212303923","https://www.scopus.com/authid/detail.url?authorId=57212303923","Universitas Negeri Surabaya","0000-0002-1837-0961"
"Imah, Elly Matul","28","2025","164","5.9","0.74","9","2","2011","54973804500","https://www.scopus.com/authid/detail.url?authorId=54973804500","Universitas Negeri Surabaya","0000-0003-1008-4837"
"Rochmawati, Naim","27","2026","103","3.8","0.70","6","3","2018","57195258934","https://www.scopus.com/authid/detail.url?authorId=57195258934","Universitas Negeri Surabaya","0000-0001-5511-6498"
"Sutoyo, Suyatno","26","2026","85","3.3","0.44","7","1","2011","37035131500","https://www.scopus.com/authid/detail.url?authorId=37035131500","Universitas Negeri Surabaya",""
"Muhammad, Heryanto Nur","26","2025","96","3.7","0.63","5","2","2020","57218567968","https://www.scopus.com/authid/detail.url?authorId=57218567968","Universitas Negeri Surabaya","0000-0001-8878-3991"
"Ibrahim, Muslimin","25","2021","114","4.6","0.88","7","4","2015","56956235200","https://www.scopus.com/authid/detail.url?authorId=56956235200","Nahdlatul Ulama University Surabaya","0000-0003-0029-6916"
"Munoto,","25","2022","139","5.6","1.14","6","3","2018","57200567181","https://www.scopus.com/authid/detail.url?authorId=57200567181","Universitas Negeri Surabaya",""
"Megawati, S.","25","2026","44","1.8","0.81","5","4","2021","57217833517","https://www.scopus.com/authid/detail.url?authorId=57217833517","Universitas Negeri Surabaya","0000-0002-1798-6879"
"Suliyanah,","25","2025","194","7.8","2.18","8","11","2017","57196087475","https://www.scopus.com/authid/detail.url?authorId=57196087475","Universitas Negeri Surabaya",""
"Mustaji,","25","2026","53","2.1","0.37","5","3","2018","57200364969","https://www.scopus.com/authid/detail.url?authorId=57200364969","Universitas Negeri Surabaya",""
"Savitri, Dian","25","2025","108","4.3","1.28","6","4","2015","57192686927","https://www.scopus.com/authid/detail.url?authorId=57192686927","Universitas Negeri Surabaya",""
"Artiono, Rudianto","24","2025","46","1.9","0.27","3","0","2019","57212309179","https://www.scopus.com/authid/detail.url?authorId=57212309179","Universitas Negeri Surabaya","0000-0002-6500-7153"
"Yustanti, W.","24","2025","89","3.7","0.77","4","2","2017","57200569216","https://www.scopus.com/authid/detail.url?authorId=57200569216","Universitas Negeri Surabaya","0000-0002-9574-7072"
"Manuharawati, null","24","2025","44","1.8","0.43","4","0","2015","56520384900","https://www.scopus.com/authid/detail.url?authorId=56520384900","Universitas Negeri Surabaya",""
"Ermawati, Frida U.","24","2025","95","4.0","1.12","5","5","2016","57163979400","https://www.scopus.com/authid/detail.url?authorId=57163979400","Universitas Negeri Surabaya","0000-0002-8436-9950"
"Dwikoranto, null","24","2025","108","4.5","1.62","5","8","2018","57201674914","https://www.scopus.com/authid/detail.url?authorId=57201674914","Universitas Negeri Surabaya","0000-0002-5215-0452"
"Kautsar, Achmad","24","2026","296","12.3","1.19","6","5","2018","57202283774","https://www.scopus.com/authid/detail.url?authorId=57202283774","Universitas Negeri Surabaya","0000-0001-6155-4320"
