Authors,Author IDs,Title,Year,Journal,Link,Abstract,Keywords,Document Type,DOI,TLDR,citation_id,scholar_id,dosen,source,Scraped_By_Pipeline
Aditya Prapanca,WdhKN0sAAAAJ,Perancangan Dan Implementasi Sistem Penyimpanan Digital Berbasis Web Di Cv. Skm Indonesia.,2026,"Journal of Informatics and Computer Science (JINACS), 563-567, 2026",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:4hFrxpcac9AC,,,Artikel,,,WdhKN0sAAAAJ:4hFrxpcac9AC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar,True
Aditya Prapanca,WdhKN0sAAAAJ,Pengembangan E-Modul Berbasis Web Dengan Model Pembelajaran Pjbl Pada Mata Pelajaran Tjkt Di Smkn 1 Kemlagi,2026,"IT-Edu: Jurnal Information Technology and Education 11 (01), 2026",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:a9-T7VOCCH8C,"Media pembelajaran berfungsi sebagai jembatan bagi seorang guru dan siswa untuk saling berinteraksi dalam hal pertukaran informasi dan proses pembelajaran. Beragam media pembelajaran dapat dipergunakan terutama pada pembelajaran oleh guru dan siswa sebagai contoh pada SMK Negeri 1 Kemlagi yakni pada kelas X Teknik Komputer dan Jaringan (TKJ) masih menggunakan media buku cetak yang jumlahnya terbatas. Dasar-dasar Teknik Jaringan Komputer dan Telekomunikasi adalah salah satu subjek pembelajaran yang tidak memiliki sarana pembalajaran yang memadai. Berdasarkan observasi yang dilakukan, model pembelajaran dan alat komunikasi yang digunakan selama sproses pembelajaran berpengaruh terhadap rendahnya nilai keteranpilan siswa. Sehingga, pengembangan media pembelajaran dengan model belajara berbasis proyek menjadi solusi untuk mengatasi masalah tersebut. Penelitian ini menerapkan metode penelitian Research dan Development (R&D) menggunakan model pengembangan ADDIE. Pada tahap ini validasi isntrumen survey dievaluasi oleh sejumlah ahli media, ahli materi, dan ahli perangkat pembelajaran. Namun untuk mengetahui peningkatan kemampuan belajar siswa dilakukan uji t berpasangan melalui penggunaan skor pre-test dan post-test. tingkat validitas media pembelajaran berbasis website mempunyai nilai 91,1% dengan kategori sangat tinggi. RPP memiliki tingkat validitas 86,9%, materi memiliki tingkat validitas 96%, dan soal-soal memilki tingkat validitas 95% termasuk berkategori sangat tinggi. Hasil uji berpasangan mengindikasikan bawah media pembelajaran berbasis website dapat meningkatkan keterampilan siswa dengan Thitung siswa 33,408 > Ttabel sebesar 2,0322 (sig. 0,05). Bisa disimpulkan bahwasanya pengembangan media pembelajaran berbasis website dengan mengimplementasikan model belajar berbasis proyek bisa memberikan peningkatan pada keterampilan siswa.","Quality (philosophy), Educational qualification","JournalArticle, Review",10.26740/it-edu.v11i01.71923,This study explores the effectiveness of incorporating web-based learning models into traditional classroom teaching methods for enhancing students' technological literacy in computer science at SMKN 1 Kemlagi.,WdhKN0sAAAAJ:a9-T7VOCCH8C,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar,True
"Yuni Yamasari, Anita Qoiriah, Ricky Eka Putra, Aditya Prapanca, I Made Suartana",WdhKN0sAAAAJ;hn5jrnAAAAAJ;N6RJilIAAAAJ;cPj-iOIAAAAJ;RvG7jG4AAAAJ,Pelatihan Aplikasi Komputer Untuk Penulisan Ilmiah Di Smpn 1 Pagerwojo Tulungagung Jawa Timur: Computer Application Training For Scientific Writing At Smpn 1 Pagerwojo …,2025,"PengabdianMu: Jurnal Ilmiah Pengabdian kepada Masyarakat 10 (8), 1936-1943, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:LO7wyVUgiFcC,,,Artikel,,,WdhKN0sAAAAJ:LO7wyVUgiFcC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar,True
Aditya Prapanca,WdhKN0sAAAAJ,Pengembangan Sistem Rekomendasi Film Berbasis Web Menggunakan Algoritma Collaborative Filtering,2025,"Journal of Informatics and Computer Science (JINACS) 7 (01), 50-56, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:8d8msizDQcsC,"Abstrak— Perkembangan industri hiburan digital yang pesat menuntut adanya sistem yang dapat membantu pengguna menemukan konten yang yang relevan secara cepat dan akurat. Fokus utama pengembangan ini adalah mengatasi dua permasalahan utama dalam Collaborative Filtering, yaitu data spartsity dan cold start problem. Penelitian ini menggunakan pendekatan kuantitaif dengan metode eksperimen dan dilakukan evaluasi terhadap fungsionalitas performa dan akurasi sistem. Selain itu hasil uji pengguna menunjukkan bahwa sistem mudah digunakan, cepat dalam merespon, serta mampu memberikan rekomendasi yang relevan. 
  
Kata Kunci— Sistem Rekomendasi, Collaborative Filtering, Film, MovieLens, Web.","Sistem Rekomendasi, Collaborative Filtering, Film, MovieLens, Web",JournalArticle,10.26740/jinacs.v7n01.p50-56,"This paper presents a collaborative filtering system for recommending movies based on web data, addressing the cold-start and sparse data issues through a quantitative approach using experiments. The system is evaluated for its performance in terms of usability, speed, and relevance.",WdhKN0sAAAAJ:8d8msizDQcsC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar,True
Aditya Prapanca,WdhKN0sAAAAJ,Implementasi Algoritma C5. 0 Pada Klasifikasi Status Gizi Balita Di Kecamatan Ponorogo,2025,"Journal of Informatics and Computer Science (JINACS) 6 (04), 1089-1098, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:_FM0Bhl9EiAC,"Permasalahan gizi pada balita merupakan isu kesehatan masyarakat yang masih menjadi perhatian di Indonesia. Penelitian ini bertujuan untuk mengklasifikasikan status gizi balita di Kecamatan Ponorogo dengan menggunakan algoritma Decision Tree C5.0. Data yang digunakan merupakan data antropometri balita yang diperoleh dari Puskesmas Ponorogo Selatan, yang meliputi berat badan, tinggi badan, usia dan jenis kelamin balita. Proses penelitian melibatkan beberapa tahapan, dimulai dengan data preprocessing  yang terdiri dari data cleaning, transformasi data, label encoding, seleksi fitur, resampling dan data splitting, selanjutnya data processing yang digunakan untuk perhitungan entropy dan information gain, hingga evaluasi model menggunakan Confusion matrix dan kurva ROC. Hasil pengujian menunjukkan bahwa akurasi tertinggi yang diperoleh mencapai 97,92% pada skema pembagian 60% data training dan 40% data testing. Fitur yang paling berpengaruh dalam klasifikasi adalah berat badan, tinggi badan dan usia balita. Berdasarkan hasil tersebut, algoritma C5.0 terbukti mampu memberikan performa tinggi dalam klasifikasi status gizi dan berpotensi digunakan sebagai alat bantu dalam pemantauan tumbuh kembang anak di layanan kesehatan dasar. 
Kata Kunci – Status Gizi Balita, Algoritma C5.0, Klasifikasi, Antropometri dan Data Mining.","Status Gizi Balita, Algoritma C5",JournalArticle,10.26740/jinacs.v6n04.p1089-1098,"This study investigates the implementation of the C5.0 decision tree algorithm to classify the nutritional status of newborns in Ponorogo, focusing on using anthropometric data from Puskesmas Ponorogo for this purpose.",WdhKN0sAAAAJ:_FM0Bhl9EiAC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar,True
Aditya Prapanca,WdhKN0sAAAAJ,Pengembangan Aplikasi Human Resource Information System Berbasis Mobile Dengan Absensi Wajah Menggunakan Metode Cnn Pada Bmt Bahtera Pekalongan,2025,"Journal of Informatics and Computer Science (JINACS) 6 (04), 1020-1038, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:4fGpz3EwCPoC,"Sistem manajemen sumber daya manusia (SDM) yang masih dilakukan secara manual di BMT Bahtera Pekalongan menimbulkan berbagai permasalahan, seperti ketidakefisienan dalam pencatatan kehadiran, keterlambatan proses administrasi, serta potensi kesalahan dan manipulasi data. Oleh karena itu, penelitian ini bertujuan untuk mengembangkan aplikasi Human Resource Information System (HRIS) berbasis mobile yang terintegrasi dengan teknologi pengenalan dan verifikasi wajah menggunakan metode Convolutional Neural Network (CNN). Metode pengembangan yang digunakan dalam penelitian ini adalah model Waterfall, yang mencakup tahapan requirements, design, development, testing, dan deployment. Aplikasi ini dikembangkan menggunakan framework Flutter. Sistem absensi menggunakan teknologi face detection dan face verification wajah Google ML Kit dan TensorFlow Lite,  untuk memastikan keakuratan verifikasi wajah. 
Hasil pengujian menggunakan metode black box testing menunjukkan bahwa seluruh fitur aplikasi berfungsi dengan baik sesuai spesifikasi yang dirancang. Hasil pengujian sistem absensi wajah menggunakan CNN dengan Cosine Similarity dan confusion matrix, threshold 70% menghasilkan akurasi tertinggi sebesar 0,77, menunjukkan keseimbangan False Positive dan False Negative yang baik. Evaluasi tingkat kegunaan aplikasi menggunakan System Usability Scale (SUS) menghasilkan skor dengan grade acceptable yang menunjukkan aplikasi memiliki tingkat penerimaan yang baik oleh pengguna. Implementasi sistem ini diharapkan dapat meningkatkan efisiensi manajemen SDM di BMT Bahtera Pekalongan, mengurangi risiko kesalahan pencatatan kehadiran, serta meningkatkan transparansi dan keandalan data. 
Kata Kunci: HRIS, CNN, Face Detection, Face Verification, Flutter, System Usability Scale, Aplikasi berbasis mobile.","HRIS, CNN, Face Detection, Face Verification, Flutter, System Usability Scale, Aplikasi berbasis mobile",JournalArticle,10.26740/jinacs.v6n04.p1020-1038,"This study explores the integration of mobile HRIS with facial recognition technology to enhance employee attendance management in a retail store, aiming to improve efficiency, reduce errors, and increase transparency.",WdhKN0sAAAAJ:4fGpz3EwCPoC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar,True
Aditya Prapanca,WdhKN0sAAAAJ,Analisis Quality Of Service Menggunakan Metode Queue Tree Sebagai Manajemen Bandwidth Pada Jaringan Internet Pt. Timber Kreasi,2025,"Journal of Informatics and Computer Science (JINACS) 6 (04), 1010-1019, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:bz8QjSJIRt4C,"Penelitian ini menganalisis Quality of Service pada jaringan internet PT. Timber Kreasi dengan menerapkan metode Queue Tree untuk manajemen bandwidth. Sebelum implementasi, jaringan mengalami pembagian bandwidth yang tidak merata, menyebabkan gangguan koneksi. Penelitian ini menggunakan pendekatan kuantitatif deskriptif dengan desain eksperimen semu, dilakukan di PT. Timber Kreasi dengan tiga subjek utama, yaitu Manajer, Marketing, dan Finance. Teknik pengumpulan data mencakup pengujian teknis menggunakan Wireshark untuk mengukur Parameter QoS, Speedtest untuk memastikan bahwa alokasi bandwidth kepada setiap divisi sesuai dengan konfigurasi prioritas, serta kuisioner untuk mengevaluasi pengalaman pengguna setelah implementasi sistem. Analisis data dilakukan dengan membandingkan hasil sebelum dan setelah penerapan Queue Tree berdasarkan standar TIPHON. Hasil penelitian menunjukkan peningkatan throughput dari 299-526Kbps menjadi 354-623Kbps, penurunan packet loss dari 1.2% menjadi 0.0%, delay dan jitter hingga 24ms berkurang menjadi 13ms. Setelah penerapan Queue Tree, pembagian bandwidth untuk tiga klien utama menjadi lebih efisien, masing-masing mendapatkan alokasi download dan upload sesuai prioritas untuk Manager dengan 12Mbps, Finance 10Mbps, Marketing 8Mbps dari total kecepatan internet 30Mbps. Responden melaporkan peningkatan stabilitas koneksi dan kepuasan terhadap sistem yang diterapkan. Dengan demikian, Queue Tree terbukti efektif  mengoptimalkan pembagian bandwidth dan meningkatkan kualitas jaringan di PT. Timber Kreasi. 
Kata Kunci: Queue Tree, Quality of Service, Bandwidth Management, Wireshark, TIPHON.","Queue Tree, Quality of Service, Bandwidth Management, Wireshark, TIPHON",JournalArticle,10.26740/jinacs.v6n04.p1010-1019,"This study analyzes the Quality of Service (QoS) in a network at PT. Timber Kreasi using the Queue Tree method for bandwidth management, demonstrating improvements in throughput, packet loss, latency, and jitter after implementing the technique.",WdhKN0sAAAAJ:bz8QjSJIRt4C,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar,True
Aditya Prapanca,WdhKN0sAAAAJ,Modified Fata Morgana Algorithm Based On Levy Flight,2025,"Vokasi Unesa Bulletin of Engineering, Technology and Applied Science 2 (1), 1-11, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:kh2fBNsKQNwC,"Metaheuristics is an algorithmic approach used to solve complex optimization problems that are difficult to solve with conventional methods. The wide application of metaheuristics shows the flexibility and effectiveness of this method in solving various optimization problems in various fields. With the continuous development of technology and the need for more efficient solutions, the use of metaheuristics is expected to increase in the future. A novel group intelligence technique, called the modified mirage algorithm (FATA), is introduced to tackle continuous multi-type optimization problems.  FATA formulates the mirage light filtering principle (MLF) and light propagation strategy (LPS) by replicating the mechanism of mirage formation.  The MLF approach, together with the final integration concept, improves the algorithmic population's exploration capacity within FATA.This study presents the application of the levy flight method to the fata morgana algorithm. Validation in this study between the proposed method and the original fata morgana algorithm. From the simulation results, it is found that the proposed method has better performance on unimodal and multimodal functions.","FATA morgana algorithm, Metaheuristic, Levy Flight, Novel Algorithm, Artificial Algorithm",JournalArticle,10.26740/vubeta.v2i1.37066,The modified Fata Morgana algorithm based on Levy flight combines mirage light filtering and light propagation strategies to improve exploration capacity and enhance solution quality in continuous multi-type optimization problems.,WdhKN0sAAAAJ:kh2fBNsKQNwC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar,True
Aditya Prapanca,WdhKN0sAAAAJ,Pengembangan Sistem Penjadwalan Keberangkatan Kapal Berbasis Web Dengan Arsitektur Model View Controller Menggunakan Algoritma Genetika,2025,"Journal of Informatics and Computer Science (JINACS) 6 (03), 891-902, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:Ri6SYOTghG4C,"Abstrak - Transportasi berperan penting dalam pendistribusian antar wilayah baik di dalam dan luar negeri. Berjasa juga bagi pertumbuhan ekonomi secara menyeluruh. Namun disaat pandemi Covid-19 mulai melanda, pemerintah Indonesia resmi menetapkan kebijakan PSBB yang menghambat dan membatasi distribusi di semua jalur. Hal tersebut berdampak signifikan untuk penjadwalan transportasi laut khususnya di Surabaya. Sehingga harus melakukan pengoptimalisasian penjadwalan kapal yang dilakukan dengan membagi jadwal keberangkatan secara otomatis. Oleh karenanya diperlukansistem penjadwalan berbasis web untuk menginformasikan sistem penjadwalan dan juga perlu algoritma untuk mempermudah dalam menentukan pilihan terbaik.
Algoritma genetika akan membantu memberikan output jadwal yang bertujuan untuk memudahkan penjadwalan.  Algoritma ini melaksanakan pencarianadari beberapa solusi yang telah didapat sampai memperoleh solusi terbaik sesuai dengan ketentuan yang ditetapkan. Algoritma ini termasuk dalam kelompok algoritma yang bersifat evolusioner, dengan melakukan pendekatan evolution Darwin pada bidangabiologi seperti pewarisan sifat, seleksi alami, mutasi gen & kombinasi. Aplikasi algoritma genetika bisadijumpai di berbagai bidang terutama bidang-bidangayang memerlukan solusi kombinatorik.  
Hasil menunjukkan bahwa peneliti berhasil melakukan pengembangan sistem keberangkatan kapal menggunakan algoritma genetika. Sistem keberangkatan kapal ini termasuk pencarian solusi optimal yaitu jadwal berbentuk kromosom. Kualitas kromosomnya akan ditentukanaoleh nilai fitness, karena nilai fitness dibentuk berdasarkan batasan/aturan penjadwalan yang ditentukan. Setiap kromosom akan dibentuk oleh beberapa gen seperti kapal, agen, nahkoda serta waktu. Hasil penelitian dengan membandingkan proses generasi jadwal pada pengujian satu dan dua mendapatkan waktu kompilasi 1,37 detik dan 1,86 detik. Lalu perbandingan rata-rata nilai fitness pengujian satu dan dua 0,5 detik dan 0,928 detik. 
Kata Kunci - Sistem Penjadwalan Kapal, Algoritma Genetika, Laravel, Model View Controller.","Sistem Penjadwalan Kapal, Algoritma Genetika, Laravel, Model View Controller",JournalArticle,10.26740/jinacs.v6n03.p891-902,"This paper presents a novel system for automated maritime port scheduling using genetic algorithms, which optimizes the allocation of berangkat-jalan between vessels based on real-time data from various sources such as weather forecasts, traffic patterns, and vessel schedules. The system uses a combination of genetic algorithms and web-based interfaces to provide real-time updates and decision-making support for port operators during critical times like pandemic outbreaks.",WdhKN0sAAAAJ:Ri6SYOTghG4C,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar,True
Aditya Prapanca,WdhKN0sAAAAJ,Sistem Rekomendasi Motif Batik Sesuai Dengan Kebutuhan Acara Pernikahan Pengguna Menggunakan Metode Content-Based Filtering,2025,"Journal of Informatics and Computer Science (JINACS) 6 (03), 823-829, 2025",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=WdhKN0sAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=WdhKN0sAAAAJ:YohjEiUPhakC,"Batik merupakan sebuah identitas asli dari Bangsa Indonesia juga diakui UNESCO pada tahun 2009 sebagai warisan leluhur Bangsa Indonesia. Saat ini, industri batik tersebar di seluruh penjuru Indonesia. Motif batik menjadi aspek yang paling penting dan menarik dalam industri kerajinan batik. Setiap motif memiliki makna filosofi historis yang begitu mendalam. Perkembangan motif batik dipengaruhi oleh berbagai budaya pada setiap daerah di Indonesia. Adat masyarakat Indonesia dalam melangsungkan pernikahan menjunjung tinggi nilai-nilai keselarasan dan kesesuaian dengan makna yang ditonjolkan. Kecenderungan pengguna dalam mementukan motif batik masih sebatas preferensi pribadi pengguna karena keterbatasan pengetahuan pengguna dalam memilih motif yang sesuai dengan acara pernikahan. Content-based filtering menghasilkan rekomendasi independen kepada pengguna, cocok digunakan dalam pengembangan sistem rekomendasi motif batik dengan merekomendasikan beberapa motif batik berdasarkan kemiripan obyek yang dipilih dengan obyek yang akan dibandingkan. Cosine similarity akan menghitung tingkat kemiripan obyek yang didasarkan pada item profile yang dibentuk dari fitur konten masukan pengguna. Tahapan pengujian dilakukan berdasarkan penilaian ahli. Akurasi kesesuaian hasil didapatkan rata-rata nilai sebesar 3.3 dari skala penilaian 1-5. Penilaian akurasi tersebut termasuk dalam kategori baik. Oleh karena itu, hasil dari penelitian ini yaitu metode content-based filtering cukup efektif dan relevan membantu pengguna dalam pemilihan motif batik berdasar kesamaan item profile untuk masing-masing motif.","Computer science, Art",JournalArticle,10.26740/jinacs.v6n03.p823-829,"Content-based filtering is used to recommend motifs batik that match the preferences of users based on their similarities in content, enhancing user satisfaction with the selection process.",WdhKN0sAAAAJ:YohjEiUPhakC,WdhKN0sAAAAJ,"Aditya Prapanca, S.T., M.Kom.",scholar,True
