Authors,Author IDs,Title,Year,Journal,Link,Abstract,Keywords,Document Type,DOI,TLDR,Scraped_By_Pipeline
"Kartika Chandra Dewi, Riskyana Dewi Intan P, Yuni Rosita Dewi, Renny Sari Dewi, Raden Roro Hapsari Peni Agustin T","R9rGmc4AAAAJ,DiBTIz4AAAAJ,i0pkJZoAAAAJ,4VXQFKYAAAAJ,N40Vh64AAAAJ","& Praswati, An (2024)",2024,"Buku Ajar Pengantar Manajemen, 0",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=4VXQFKYAAAAJ&pagesize=100&citation_for_view=4VXQFKYAAAAJ:a0OBvERweLwC,"This study aimed to address the underexplored area of the adoption of Business-to-Consumer (B2C) Commerce by Small and Medium Enterprises (SMEs). In addition, this study specifically focused on factors influencing B2C adoption by SMEs, its impact on marketing performance, and potential strategies for optimization. Recognizing the scarcity of quantitative studies on digitization's impact on SMEs, this study emphasized the need for a systematic understanding of these enterprises’ responses to e-commerce adoption. In line with the Technology-Organization-Environment (TOE) framework, the primary focus was on the continuous evaluation and optimization of e-commerce platforms, including AI integration, within core marketing strategies. Based on customer tech-savviness in the environmental dimension, adapting e-commerce strategies ensured a comprehensive approach in the evolving technological landscape. While providing valuable insights, several limitations, such as context-specific findings and potential response bias due to self-reported data were also identified. Consequently, future investigations were advised to include comparative studies between e-commerce-adopting and conventionally operating organizations, as well as explore perspectives of e-commerce users and consider industry-specific variations. This was pertinent because investigating e-commerce implementation in emerging technologies and platforms could offer insights into the dynamic landscape of digital business. In conclusion, this study contributed to the cognition of B2C Commerce adoption in SMEs, offering practical insights and strategic recommendations for leveraging technology to enhance marketing performance and overall business growth.","B2C, Dynamic marketing, E-commerce adoption, Marketing performance, Small and medium business",Artikel,10.5267/j.uscm.2024.2.001,,True
"Raden Roro Hapsari Peni Agustin T, Tri Rijanto","N40Vh64AAAAJ,z7RWDi0AAAAJ",2013 Curriculum: Assessment Of Minimum Competencies In Freedom Learning And Education 4.0 Context,2020.0,"International Journal for Educational and Vocational Studies 2 (7), 2020",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=z7RWDi0AAAAJ&cstart=200&pagesize=100&citation_for_view=z7RWDi0AAAAJ:4OULZ7Gr8RgC,"This study aims to offer alternative competency assessments based on Freedom Learning policies and education era 4.0 through the implementation of the 2013 revised curriculum. The minimum competency assessment refers to skills needed in the 21st century through student-oriented learning models, character values in the 2013 curriculum, and HOTS items with reference to literature studies. To improve students' literacy and numeracy skills in the minimum competency assessment, an appropriate approach to the competency assessment is needed, namely by implementing student-centered learning models. Some of these models have been widely discussed in a study. The results show that the role of students is greater in the learning, while the teacher acts as a supervisor. The implementation of the learning through the project learning approach also contains observation and analysis from students. So that competency assessment based on literacy and numeracy can be carried out comprehensively. Implementation of the National Examination which tends to use learning material from student textbooks will only cause students, teachers and student guardians to be burdened with time, energy, and mind. The competency assessment instrument as a substitute for the national assesment requires progressive learning, not necessarily memorization but observation and analysis. Thus, students are required to deal directly with the object of learning material.","Freedom Learning, 2013 Curriculum, Assesment, Education 4",Article,10.29103/ijevs.v2i7.2621,,True
"Raden Roro Hapsari Peni Agustin T, Dana Azizah Rahmat","N40Vh64AAAAJ,UL2-upoAAAAJ","2018 5Th International Conference On Electrical Engineering, Computer Science And Informatics (Eecsi)",2018.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=itwnm-AAAAAJ&pagesize=100&citation_for_view=itwnm-AAAAAJ:iH-uZ7U-co4C,"EECSI 2018 TOC … Clarita Nainggolan (Faculty of Computer Science Universitas Indonesia, Indonesia), Putu Wuri Handayani (Universitas Indonesia, Indonesia), Fatimah Azzahro (Faculty of Computer Science Universitas Indonesia, Indonesia) … Measurement of Thermal Expansion Coefficient on Electric Cable Using X-Ray Digital Microradiography …","Keywords, Search_All:All Metadata, Search_All_Text:Full Text & Metadata, fullText:Full Text Only, acpFilter:ACP Filter, TypeAheadTerms:Type Ahead Terms, ContentType:Content Type, Author:Author, Affiliation:Affiliation, Topic:Topic, PublicationTitle:Publication Title, PublicationYear:Year, Publisher:Publisher, ConferenceCountry:Conference Country, ConferenceLocation:Conference Location, StandardStatus:Standard Status, ConferenceYear:Conference Year, PublicationPackage:Subscribed Content, StandardPackage:Standard Package, ReadingRoom:Reading Room, StandardTitle:Standard Title, StdDictionaryTerms:Standards Dictionary Terms, TitleRange:Publication Range, StandardRange:Standard Range, RecordType:Record Type, MediaType:Media Type, BookType:Book Type, CourseType:Course Type, PublicationStandardRange:Publication Standard Range, PerpetualYear:Perpetual Year, OpacTitleRange:Opac Title Range, BookSeries:Book Series, SubjectCategory:Subject Category, Sessions:Sessions, TypeAheadPublication:Type Ahead Publication, SubTopic:Sub Topic, CourseDuration:Course Duration, CourseLevel:Course Level, StandardType:Standard Type, StandardSubtype:Standard SubType, StandardModifier:Standard Modifier, IcsTerms1:Ics Terms 1, IcsTerms2:Ics Terms 2, IcsTerms3:Ics Terms 3, SupplementalItem:Supplemental Items, CourseDuration:Course Duration, SpecialSection:Topics, SocietySection:Society Sections, PublicationTopics:Publication Topics, Keywords:Keywords, ImageType:Image Type'",Paratext,10.1109/eecsi44971.2018,,True
"Salamun Rohman Nudin, Raden Roro Hapsari Peni Agustin T, Rindu Puspita Wibawa, Ramadhan Cakra Wibawa","wlGfsB0AAAAJ,N40Vh64AAAAJ,Hl6bqU8AAAAJ,Em3aIV0AAAAJ",2020 The Third International Conference On Vocational Education And Electrical Engineering (Icvee),2020,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=wlGfsB0AAAAJ&pagesize=100&citation_for_view=wlGfsB0AAAAJ:5nxA0vEk-isC,,"Keywords, Search_All:All Metadata, Search_All_Text:Full Text & Metadata, fullText:Full Text Only, acpFilter:ACP Filter, TypeAheadTerms:Type Ahead Terms, ContentType:Content Type, Author:Author, Affiliation:Affiliation, Topic:Topic, PublicationTitle:Publication Title, PublicationYear:Year, Publisher:Publisher, ConferenceCountry:Conference Country, ConferenceLocation:Conference Location, StandardStatus:Standard Status, ConferenceYear:Conference Year, PublicationPackage:Subscribed Content, StandardPackage:Standard Package, ReadingRoom:Reading Room, StandardTitle:Standard Title, StdDictionaryTerms:Standards Dictionary Terms, TitleRange:Publication Range, StandardRange:Standard Range, RecordType:Record Type, MediaType:Media Type, BookType:Book Type, CourseType:Course Type, PublicationStandardRange:Publication Standard Range, PerpetualYear:Perpetual Year, OpacTitleRange:Opac Title Range, BookSeries:Book Series, SubjectCategory:Subject Category, Sessions:Sessions, TypeAheadPublication:Type Ahead Publication, SubTopic:Sub Topic, CourseDuration:Course Duration, CourseLevel:Course Level, StandardType:Standard Type, StandardSubtype:Standard SubType, StandardModifier:Standard Modifier, IcsTerms1:Ics Terms 1, IcsTerms2:Ics Terms 2, IcsTerms3:Ics Terms 3, SupplementalItem:Supplemental Items, CourseDuration:Course Duration, SpecialSection:Topics, SocietySection:Society Sections, PublicationTopics:Publication Topics, Keywords:Keywords, ImageType:Image Type'",Paratext,10.1109/icvee50212.2020,,True
"Arif Widodo, Cendra Devayana Putra, Ricky Eka Putra, Riskyana Dewi Intan P, Yeni Anistyasari, Raden Roro Hapsari Peni Agustin T","RES4QIQAAAAJ,XdEn69YAAAAJ,cPj-iOIAAAAJ,DiBTIz4AAAAJ,IJIEntMAAAAJ,N40Vh64AAAAJ",2021 Fourth International Conference On Vocational Education And Electrical Engineering (Icvee),2021,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tzjThtIAAAAJ&pagesize=100&citation_for_view=tzjThtIAAAAJ:RGFaLdJalmkC,… Technical Co-Sponsorship … Technical Program Committee/reviewer … Page 4 …,"Keywords, Search_All:All Metadata, Search_All_Text:Full Text & Metadata, fullText:Full Text Only, acpFilter:ACP Filter, TypeAheadTerms:Type Ahead Terms, ContentType:Content Type, Author:Author, Affiliation:Affiliation, Topic:Topic, PublicationTitle:Publication Title, PublicationYear:Year, Publisher:Publisher, ConferenceCountry:Conference Country, ConferenceLocation:Conference Location, StandardStatus:Standard Status, ConferenceYear:Conference Year, PublicationPackage:Subscribed Content, StandardPackage:Standard Package, ReadingRoom:Reading Room, StandardTitle:Standard Title, StdDictionaryTerms:Standards Dictionary Terms, TitleRange:Publication Range, StandardRange:Standard Range, RecordType:Record Type, MediaType:Media Type, BookType:Book Type, CourseType:Course Type, PublicationStandardRange:Publication Standard Range, PerpetualYear:Perpetual Year, OpacTitleRange:Opac Title Range, BookSeries:Book Series, SubjectCategory:Subject Category, Sessions:Sessions, TypeAheadPublication:Type Ahead Publication, SubTopic:Sub Topic, CourseDuration:Course Duration, CourseLevel:Course Level, StandardType:Standard Type, StandardSubtype:Standard SubType, StandardModifier:Standard Modifier, IcsTerms1:Ics Terms 1, IcsTerms2:Ics Terms 2, IcsTerms3:Ics Terms 3, SupplementalItem:Supplemental Items, CourseDuration:Course Duration, SpecialSection:Topics, SocietySection:Society Sections, PublicationTopics:Publication Topics, Keywords:Keywords, ImageType:Image Type'",Paratext,10.1109/icvee54186.2021,,True
Raden Roro Hapsari Peni Agustin T,N40Vh64AAAAJ,2024 6Th International Workshop On Artificial Intelligence And Education (Waie)| 979-8-3503-7889-4/24/$31.00© 2024 Ieee| Doi: 10.1109/Waie63876. 2024.00081,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=MZCJPuIAAAAJ&cstart=100&pagesize=100&citation_for_view=MZCJPuIAAAAJ:L7CI7m0gUJcC,"Author Index Page 1 Author Index Abdrabou, Atef 242 Agrawal, Somya 76, 128 Ahne, Natalie 162 Aldila, Febri Tia 406 Alhemeiri, Fatima 93 Almetnawy, Habiba 93 Alnajjar, Fady 93 Alneyadi, Alreem R. 93 Alneyadi, Amna R. 93 Alneyadi, Khawla S. 93 Amboy, Richard Carl 299 Angel, Roman M. De 87 Appana, Sai Manideep 260 Ardiana, Dewa Putu Yudhi 116 Arianto, Fajar 182, 289 Asy'ari, Dian Noer 182 Bachri, Bachtiar Sjaiful 411 Bachtiar, Fitra A. 331 Balbuena, Alezzandrei Ericka A. 29 Bao, Chang Xin 39 Baroud, Shadia Yahya 202 Başaran …","Keywords, Search_All:All Metadata, Search_All_Text:Full Text & Metadata, fullText:Full Text Only, acpFilter:ACP Filter, TypeAheadTerms:Type Ahead Terms, ContentType:Content Type, Author:Author, Affiliation:Affiliation, Topic:Topic, PublicationTitle:Publication Title, PublicationYear:Year, Publisher:Publisher, ConferenceCountry:Conference Country, ConferenceLocation:Conference Location, StandardStatus:Standard Status, ConferenceYear:Conference Year, PublicationPackage:Subscribed Content, StandardPackage:Standard Package, ReadingRoom:Reading Room, StandardTitle:Standard Title, StdDictionaryTerms:Standards Dictionary Terms, TitleRange:Publication Range, StandardRange:Standard Range, RecordType:Record Type, MediaType:Media Type, BookType:Book Type, CourseType:Course Type, PublicationStandardRange:Publication Standard Range, PerpetualYear:Perpetual Year, OpacTitleRange:Opac Title Range, BookSeries:Book Series, SubjectCategory:Subject Category, Sessions:Sessions, TypeAheadPublication:Type Ahead Publication, SubTopic:Sub Topic, CourseDuration:Course Duration, CourseLevel:Course Level, StandardType:Standard Type, StandardSubtype:Standard SubType, StandardModifier:Standard Modifier, IcsTerms1:Ics Terms 1, IcsTerms2:Ics Terms 2, IcsTerms3:Ics Terms 3, SupplementalItem:Supplemental Items, CourseDuration:Course Duration, SpecialSection:Topics, SocietySection:Society Sections, PublicationTopics:Publication Topics, Keywords:Keywords, ImageType:Image Type'",Artikel,,,True
Faris Abdi El Hakim,-gGGkMcAAAAJ,3D Human Pose Estimation Using Blazepose And Direct Linear Transform (Dlt) For Joint Angle Measurement,2023.0,"2023 International Conference on Artificial Intelligence in Information and …, 2023",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ctFzAYAAAAAJ&pagesize=100&citation_for_view=ctFzAYAAAAAJ:YOwf2qJgpHMC,"Human pose estimation is a field of computer vision science that studies the determination of joint points in the human body based on images or videos. One of the applications of human pose estimation is to evaluate human movement and performance. In this study, 3D markerless human pose estimation was carried out using the direct linear transform and deep learning Blazepose methods. System testing was carried out on the push-up movement by comparing the data results of the markerless system with the marker-based motion capture system. Push-ups are excellent exercises for developing upper body strength or endurance, such as the arms and shoulders. Push-ups are widely used in rehabilitation or recovery after surgical procedures. The American College of Sports Medicine (ACSM) has established a standard for assessing a person's physical endurance based on the number of successful push-ups. Quantitatively, of all the mean absolute errors calculated, 70.9% were below 30 mm, and for measuring joint angles (elbows, hips, and knees) 43% were below 5 degrees. An error value below 30 mm indicates that the system can be used for human movement analysis.","Joint angle, Human pose estimation, Markerless, Push-up, Direct linear transform","JournalArticle, Conference",10.1109/ICAIIC57133.2023.10066978,,True
"Raden Roro Hapsari Peni Agustin T, Riskyana Dewi Intan P, Mustaji","N40Vh64AAAAJ,DiBTIz4AAAAJ,zDgqPOsAAAAJ",7Th International Conference On Educational Technology Of Adi Buana,,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=zDgqPOsAAAAJ&cstart=200&pagesize=100&citation_for_view=zDgqPOsAAAAJ:t7zJ5fGR-2UC,,,Artikel,,,True
"Arif Widodo, Farid Baskoro","RES4QIQAAAAJ,Tp_X_bYAAAAJ",A 2-Dof Robot Arm Simulation For Kinematics Learning,2019.0,"2nd International Conference on Vocational Education and Training (ICOVET …, 2019",https://doi.org/10.2991/icovet-18.2019.60,"--Most of the robotics research papers are focused on robot competition and only a few papers discuss on robot education and robot teaching. This research is focused on robot education with the help of simulation to give students more freedom to determine the robot movement so that the trial and error cycle can be avoided during the lesson. The simulation is developed for simple 2-DoF robot arm kinematics and can be used to simulate the movement of SCARA robot. The simulation was tested on industrial robotics class of 22 students. The student response for subject, interface and benefits aspects show positive results with the summary of all aspect is 80 %, indicating this simulation is acceptable. Keywords--robot arm, simulation, 2-DoF, kinematics","robot arm, simulation, 2-DoF, kinematics",Conference,10.2991/ICOVET-18.2019.60,This research is focused on robot education with the help of simulation to give students more freedom to determine the robot movement so that the trial and error cycle can be avoided during the lesson.,True
"Raden Roro Hapsari Peni Agustin T, Fajar Arianto, Bambang Suprianto, Riskyana Dewi Intan P","N40Vh64AAAAJ,MZCJPuIAAAAJ,j8HRV1wAAAAJ,DiBTIz4AAAAJ","A Case Study At A Civil Aviation School On Using Problem-Based Learning To Enhance Creative, Critical, And Problem-Solving Skills",2024.0,East Asian Journal of Multidisciplinary Research,https://journal.formosapublisher.org/index.php/eajmr/article/download/8664/8588,"This study aims to find out how cadets' critical thinking, creativity, and problem-solving capabilities are affected by problem-based learning methodologies. The methodology for this investigation was quasi-experimental. The population used in this research was taken from second-semester cadets from seven academic programs. The samples used were three classes selected based on random sampling techniques, namely Airport Electrical Engineering (AEE) 48 cadets, Aircraft Engineering (A.E.) 48 cadets, and Airport Civil Engineering (ACE) 48 cadets. The data analysed are descriptive and inferential statistical data, which are analysed using MANOVA. Its findings showed that the implementation of PBL (experimental class) was better than DL (control class) in improving cadet capability, with a significance level of α = 0.05.","Critical Thinking, Creative Thinking, Problem-Solving Ability, Problem-Based Learning",JournalArticle,10.55927/eajmr.v3i3.8664,,True
