Title,Authors,Abstract,Year,Publisher,Link,Author Keywords
FROM EXCLUSION TO EMPOWERMENT: REDESIGNING E-LEARNING TO MITIGATE RISKS FOR DISABLED STUDENTS,"Rauf, U.A.A.; Mat Deli, M.M.; Husin, N.","The purpose of this study is to develop an AI-based, inclusive e-learning model to reduce the educational risks faced by disabled students. By exploring the potential of AI to support equitable participation in digital learning, this research addresses remaining challenges, including insufficiently adaptable content, social isolation, and varying degrees of access. Using a qualitative multi-case approach, data are drawn from a literature review, interviews, and feedback obtained during focus group discussions with students who have visual, hearing, physical, and cognitive disabilities at three Malaysian universities. Thematic analysis in NVivo found that AI-supported technologies, such as automated captioning, text-to-speech, and predictive learning analytics, support listening comprehension, collaboration, and engagement; however, challenges remain regarding algorithmic bias, privacy, and infrastructure readiness. This led to the development of the AI-Driven Inclusive E-Learning Risk-Mitigation Framework (AI-IERMF), which embraces Universal Design for Learning (UDL) principles for real-time adaptive analytics. Theoretically, this study advances the social model of disability by adopting a predictive risk approach. Practically, it helps policymakers, educators, and developers create transparent, ethically sensitive, and resource-aware e-learning systems. Overall, the study informs inclusive education and shifts accessibility from reactive compliance to proactive digital empowerment. © 2025, Intellectual Research and Development Education Foundation (YRPI). All rights reserved.",2025,Intellectual Research and Development Education Foundation (YRPI),https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027570281&doi=10.37385%2Fjaets.v7i1.7608&partnerID=40&md5=0724a048268ee42dbfe3bc5e587ac20b,
Optimizing Tuition Fee Determination with K-Means Cluster Relabeling Based on Centroid Mapping of Principal Component Pattern,"Yustanti, W.; Nurhidayat, A.I.; Java, M.I.","Background: Tuition fee in Indonesian public universities is determined based on the socioeconomic status of prospective students. In this context, students are assigned to tuition fee groups after passing the selection process through achievement-based or computer-based exams. However, the current grouping system shows overlapping distributions, indicating the need for a more precise classification method. Objective: This research aims to improve the accuracy of tuition fee group assignments by refining the clustering structure and relabeling the classification dataset. Methods: A total of 13 socioeconomic variables were used to predict tuition fee groups. This research used K-Means clustering algorithm and a relabeling process using centroid mapping of principal components to balance original and newly generated labels. To assess the effectiveness of the relabeling process, six classification algorithms, namely Decision Tree (DT), K-Nearest Neighbors (KNN), Naive Bayes (NB), Logistic Regression (LR), Random Forest (RF), and Support Vector Machine (SVM), were used. Statistical tests at a 5% significance level were conducted to evaluate improvements in classification accuracy. Results: The relabeling process significantly enhanced prediction accuracy compared to the original dataset. The refined clustering structure reported better classification performance across all six algorithms, showing the effectiveness of the proposed method. Conclusion: The results showed that robust clustering and a relabeling method improved the precision of tuition fee classification systems. The proposed framework provided a data-driven solution for refining classification models, ensuring a fairer distribution of tuition fee based on socioeconomic indicators. The novelty lies in the centroid-based relabeling, which uses principal component patterns to enhance interpretability and classification accuracy. The method was adaptable for global use in any educational system using socioeconomic-based fee classification. Future research should explore alternative clustering methods and additional socioeconomic factors to enhance classification accuracy. © 2025 The Authors.",2025,Airlangga University,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021841939&doi=10.20473%2Fjisebi.11.3.445-458&partnerID=40&md5=b100c6b70645f0b87ae1f41978688097,
Automated Skin Cancer Classification Using VGG16-Based Deep Learning Model,"Cinthya, M.; Yustanti, W.; Nuryana, I.K.D.; Putra, C.D.; Putra, R.W.; Dayu, D.P.K.; Faradilla, A.E.; Kurniasari, C.I.","Melanoma is the most fatal type of skin cancer due to its high potential to metastasize and its early-stage similarity to benign skin lesions, such as common moles. This resemblance often leads to delayed diagnosis and treatment. This study proposes a skin cancer classification model using the VGG-16 architecture through a transfer learning approach. Utilizing the ISIC 2017 dataset, which includes three skin lesion categories such as Melanoma, Nevus, and Seborrheic Keratosis-this research applies preprocessing, segmentation, and feature extraction. The classification stage uses a modified VGG-16 model, achieving the best performance at a 70:30 train-test split with 100 epochs and batch size of 16, resulting in an accuracy of 73.09% and F1-score of 0.71. Evaluation with the ROC curve indicates challenges in distinguishing Melanoma from other lesions due to overlapping patterns. Additionally, the study presents a prototype mobile application for real-time classification, demonstrating the practical implementation of the proposed model. © The Authors, published by EDP Sciences, 2025.",2025,EDP Sciences,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017159518&doi=10.1051%2Fe3sconf%2F202564504003&partnerID=40&md5=a535530bb145c59f53dae874670c93bc,
Exploring Digital Learning Acceptance: An Extended TAM Perspective on System Quality and Student Behaviour in e-Learning Platform,"Purwita, A.W.; Palupi, G.S.; Bisma, R.; Indriyanti, A.D.; Suryanti, S.; Rahmaningrum, A.; Ashar, M.N.","The rapid transition to online learning in the post-pandemic period has compelled Indonesian higher education institutions to develop proprietary e-learning platforms. Adoption of these methods by students is still uneven, though. The factors that influence students-acceptance of Sidia (Sinau Digital), an institutional learning platform created by Universitas Negeri Surabaya, are examined in this study. The System Quality element from the DeLone and McLean IS Success Model was incorporated into an enhanced TAM. A Likert-scale survey was used to gather information from 409 undergraduate students, and PLS-SEM was used for analysis. The results show that PEOU (β = 0.765) and PU (β = 0.466), which in turn affect ATU and BIU, are highly influenced by System Quality. Furthermore, BIU was found to be a strong predictor of ASU (β = 0.628).These results validate the extended TAM model and highlight the importance of technical aspects-such as system stability, navigability, and responsiveness-in driving user acceptance. The study provides practical insights for institutions developing LMS platforms and offers a theoretical extension by demonstrating the mediating role of system quality in digital learning adoption. © The Authors, published by EDP Sciences, 2025.",2025,EDP Sciences,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017146808&doi=10.1051%2Fe3sconf%2F202564506012&partnerID=40&md5=5eb61de531ed4eb2d05a8ade1501f03e,
A Data-Driven Framework for Student Satisfaction: Novel Hybridization of Clustering and Performance Mapping Analysis,"Leliana, A.; Yustanti, W.; Budijastuti, W.; Wiyono, B.D.; Nugraha, J.; Mortejo, J.C.","Service quality can be measured by measuring customer satisfaction with the services provided by an institution or organization. The higher education institutions that provide educational services to students also applied the service quality satisfaction analysis. This study proposes a combined method combining machine learning through the clustering method and the importance-performance analysis or quadrant analysis approach. Combining these two approaches is intended to produce groups of students with varying satisfaction levels. Furthermore, each group will be explored more deeply by using the quadrant method to determine which aspects should be prioritized by the institution to improve its services. The data processing results from 34,087 respondents obtained three groups of students, with the characteristics of the first group having a very satisfied perspective of 36%, the second group having a satisfied perspective of 57%, and the third group having a somewhat satisfied perspective of 7%. The indicators whose services should be improved according to the first group are teaching method (P2), teaching timeliness (P7), and information system for academic services (P21). Whereas for the second group, no service priority was found on indicators that needed improvement. Meanwhile, in the third group, the service indicators lecturer openness (P10), transparency in grading (P15), and friendliness of staff service (P16) were found to be prioritized by the university for improvement. © The Authors, published by EDP Sciences, 2025.",2025,EDP Sciences,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017130518&doi=10.1051%2Fe3sconf%2F202564506011&partnerID=40&md5=8efa3b603c494a48222ae93946960ea6,
Policy Perspective on Proposed Framework of NLP AI to Bridge the Inclusive Support in Higher Education with a Mixed Methods Approach in Indonesia and Malaysia,"Husin, N.; Fazlurrahman, H.; Safitri, A.; Dhenabayu, R.; Rauf, U.A.A.; Fitrah, A.M.","Despite inclusive education policies in Southeast Asia, disabled students still face barriers and difficulties. Mainly due to the limited individual support and institutional readiness. This study addresses this issue by proposing a policy-aligned Natural Language Processing (NLP) AI framework that uses a dual theoretical foundation (Digital Inclusion and Technology-Organization-Environment (TOE)). This approach could help to bridge the gap between policy and its implementation, especially in low-resource environments. Policymakers play a pivotal role in shaping the future of education by creating an environment to support inclusion and ensuring equity for students with disabilities. This research emphasizes strategic policy for the implementation of the NLP AI framework to support disabled students in increasing their academic activities, particularly in developing countries. The framework itself uses sentiment analysis, entity recognition, and conversational agents from the NLP component to facilitate real-time and context-based responses. The research approach is mixed method, with disability students from Indonesia and Malaysia for the qualitative interview participants, and disability students across universities in Indonesia for the quantitative data SEM analysis. Unlike previous studies that focus on either technology or policy in isolation, this research presents an integrative NLP AI framework validated through the policy change perspective. The proposed framework is one of the first that highlights the alignment of the NLP AI implementation with the institutional-level policy readiness. It is designed with a user-centered approach using the Digital Inclusion Model, shifting from a function-based approach in existing studies to drive improvement and access to an equitable learning environment. © 2025 by the authors.",2025,International Journal of Information and Education Technology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026465840&doi=10.18178%2Fijiet.2025.15.12.2464&partnerID=40&md5=1367d4b110fb9887ad532aa37b20ea2d,
Jombangan Javanese Pidgin from the Derivation Process in Jidor Sentulan Stage Literature,"Darihastining, S.; Wiyanto, M.S.; Mukhzamilah; Bisma, R.","Theatrical literature has unique characteristics in the language patterns it produces. It can be explored as a strategic effo rt to preserve local cultural identity. The purpose of this study is to identify the derivational patterns that form a pidgin in the Javanese theatrical literature of Jidor Sentulan from Jombang. This research employs a qualitative approach, using componential analysis and cultural themes to examine the pidgin patterns found in Jidor Sentulan. The research setting is focused on dialogues using purposive sampling to highlight morphological aspects such as sound-altering reduplication and derivation. The validity used is theoretical validity through document observation of morphological aspects, focusing on sound-altering reduplication and derivation processes. The pidgin in Javanese experiences word formation through derivation, which tends to be understood by a specific group of Javanese speakers in Jombang. This derivation dominantly occurs through adjective-adverb-half. © 2024, Creative Publishing House. All rights reserved.",2024,Creative Publishing House,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217566370&doi=10.62754%2Fjoe.v3i8.5840&partnerID=40&md5=65d4e190d549385b20f8c8d01c68ef25,
Enhancing Detection of Remotely-Sensed Floating Objects via Data Augmentation for Maritime SAR,"Mahmoud, H.; Kurniawan, I.F.; Aneiba, A.; Asyhari, A.T.","A figure of 33,000 search and rescue (SAR) incidents were responded to by the UK’s HM Coastguard in 2020, and over 1322 rescue missions were conducted by SAR helicopters during that year. Combined with Unmanned Aerial Vehicles (UAVs), artificial intelligence, and computer vision, SAR operations can be revolutionized through enabling rescuers to expand ground coverage with improved detection accuracy whilst reducing costs and personal injury risks. However, detecting small objects is one of the significant challenges associated with using computer vision on UAVs. Several approaches have been proposed for improving small object detection, including data augmentation techniques like replication and variation of image sizes, but their suitability for SAR application characteristics remains questionable. To address these issues, this paper evaluates four float detection algorithms against the baseline and augmented datasets to improve float detection for maritime SAR. Results demonstrated that YOLOv8 and YOLOv5 outperformed the others in which F1 scores ranged from 82.9 to 95.3%, with an enhancement range of 0.1–29.2%. These models were both of low complexity and capable of real-time response. © The Author(s) 2024.",2024,Springer,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193485929&doi=10.1007%2Fs12524-024-01869-3&partnerID=40&md5=bc182df6d8cb570444a50e6180653cce,
Exploring Naive Bayes Variants for Classifying Emotions in e-Commerce Reviews,"Yamasari, Y.; Isnaeni Raharko, N.; Qoiriah, A.; Setiawan, E.; Yustanti, W.; Putra, R.E.","This research aims to classify emotions from customer reviews on the Tokopedia e-commerce platform using the Naïve Bayes algorithm. The dataset used is a public dataset consisting of 5,400 product reviews across 29 categories, with emotional annotation carried out by a clinical psychologist. Three Naïve Bayes variants were used: NB_Gaussian, NB_Multinomial, and NB_Bernoulli, each tested with and without resampling to address data imbalance. Evaluation was conducted using accuracy, precision, recall, and f1-score metrics. The results show that the NB_Multinomial model with resampling achieved the highest accuracy of 63.33% and the highest precision of 68.13%, while the highest f1-score of 58.46% was achieved by NB_ Bernoulli with resampling. These findings indicate that resampling significantly impacts model performance in emotion classification. © 2024 IEEE.",2024,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000027222&doi=10.1109%2FCENIM64038.2024.10882763&partnerID=40&md5=82d0017075b0d1aa2e18d93316b82c94,
Automated Biomass Estimation Leveraging Instance Segmentation and Regression Models with UAV Aerial Imagery and Forest Inventory Data,"Wijaya, F.W.; Kurniawan, I.F.; Asyhari, A.T.","The net-zero emission movement has increased the priority of the green energy transition, which is mainly supported by renewable sources. The above-ground biomass (AGB) specifies the amount of mass convertible to energy. Due to its importance, automatic and accurate AGB estimation is required since traditional methods are labor-intensive and impractical for large areas. To address the challenge, this study applies UAV aerial imagery into a processing pipeline, including instance segmentation and regression analysis, to estimate AGB. The process begins with obtaining pixel information for crown areas of tree species in Dulamayo and Tupa forests via instance segmentation. Subsequently, the identified trees' trunk diameter and height are calculated through a regression analysis process utilizing secondary information, namely global allometric and wood density database. Our experimental results show that crown diameter has a strong R2 value of 0.74 for trunk diameter prediction, while multivariate regression using crown diameter and predicted trunk diameter achieved an R2 value of 0.80 for tree height prediction. Further, wood density is inferred by averaging values from the global database for species closely related to coconut (Cocos nucifera), sugar palm (Arenga pinnata), and clove (Syzygium aromaticum). An established AGB allometric model, incorporating trunk diameter, wood density, and tree height, is used to assist AGB calculation due to the absence of AGB ground truth information. The approach aims at reducing uncertainty when predicting AGB. The devised processing pipeline demonstrates the potential application of artificial intelligence in biomass estimation taking place in remote and resource-limited areas. © 2024 IEEE.",2024,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218490719&doi=10.1109%2FCOMNETSAT63286.2024.10862819&partnerID=40&md5=0fdbb14f59387b72a760733d87e2bc6f,
Interpersonal Communication Factors for Critical Decision: A Literature Review,"Hadi, H.K.; Kautsar, A.; Chusnaini, A.; Rahman, M.; Husin, N.; Hadi, N.","Interpersonal communication is a process of direct interaction and mutual influence between two or more individuals, which plays an important role in forming relationships. In interpersonal communication, the use of verbal and nonverbal language is key to understanding and responding to messages received. Various studies have shown that there are various factors that influence this interpersonal communication process. This study specifically identifies six influential factors. The main objective is to understand how interpersonal communication influences decision making in the human resource management sector. Through a literature review of 1084 papers from Scopus, which were then selected using Biblioshiny, 25 papers were found to be the most relevant for further analysis. Based on the literature collected, the factors that influence interpersonal communication are summarized and analyzed in more depth. In the context of the importance of interpersonal communication, this process is closely related to the decision-making model. Effective communication enables better decision-making, especially in situations involving individual health. Factors such as trust, empathy, and the ability to listen actively can influence how well a message is understood and received, thus playing a direct role in determining the quality of the decisions taken. © 2024 IEEE.",2024,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217261509&doi=10.1109%2FDASA63652.2024.10836393&partnerID=40&md5=13d5f37003c64db068e6c5d38b7116ad,
Measurement of Information Security Awareness Level On Using Free Wi-Fi In Coffee Shop,"Bisma, R.; Negara, M.H.; Purwita, A.W.; Sisephaputra, B.; Suyatno, D.F.","The development of IT has increased the utilization of information and communication technology and the need for people to use Internet data. More social interactions are done virtually, making the internet network a primary need in the 21st-century era. Free Wi-Fi services have become a common facility in many places, including coffee shops, facilitating people's activities in accessing information. However, using Wi-Fi networks in public places also risks personal data security, especially when information leakage occurs. Information leakage can lead to misuse of personal data. While raising awareness about protecting personal data is important, public awareness about data security is still low. This study aims to measure information security awareness levels regarding using free Wi-Fi in coffee shops. The measurement awareness level of data security, researchers used the HAIS-Q (Human Aspects of Information Security Questionnaire) method, which includes three dimensions: knowledge, attitudes, and behaviour (KAB), which were further developed with seven indicators: password management, email use, internet use, social media use, mobile use, information handling, and incident reporting. The results of this study are that the level of information security awareness of free Wi-Fi users in coffee shops is classified as moderate, with an average condition of 74.55 %. It was found that the dimensions of knowledge, attitudes, and behaviour related to information security were still in the moderate category. From the regression analysis that has been carried out, a significant relationship was found between the variables used in measuring the level of security awareness of privacy data for free Wi-Fi users in coffee shops. © 2024 IEEE.",2024,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217051300&doi=10.1109%2FICVEE63912.2024.10823691&partnerID=40&md5=e5c04d246d33b706d809cd5c7c0c1e92,
