kelas,hari,jam,mata_kuliah
Kelas 2022A,Senin,09:30,Pemodelan Stokastik
Kelas 2022A,Selasa,07:00,Analisis Big Data
Kelas 2022A,Selasa,15:30,Tata Tulis Ilmiah
Kelas 2022A,Rabu,09:30,Graf Sains Data
Kelas 2022A,Rabu,15:30,Rekayasa Biomedis
Kelas 2022A,Kamis,09:30,Teknik Optimasi
Kelas 2022A,Kamis,15:30,Proyek Sains Data
Kelas 2022A,Jumat,13:00,Bisnis Digital
Kelas 2022A,Jumat,13:00,Analisis Data Eksploratif
Kelas 2022B,Kamis,15:30,Proyek Sains Data
Kelas 2022C,Kamis,15:30,Proyek Sains Data
Kelas 2022D,Kamis,15:30,Proyek Sains Data
Kelas 2024A,Senin,15:30,Keamanan Dan Integritas Data
Kelas 2024A,Selasa,07:00,Statistika Inferensial
Kelas 2024A,Selasa,09:30,Pemrosesan Teks
Kelas 2024A,Selasa,13:00,Kecerdasan Artifisial
Kelas 2024A,Rabu,09:30,Basis Data
Kelas 2024A,Kamis,09:30,Data Wrangling
Kelas 2024A,Kamis,13:00,Pengolahan Sinyal Digital
Kelas 2024B,Selasa,09:30,Kecerdasan Artifisial
Kelas 2024B,Selasa,13:00,Pemrosesan Teks
Kelas 2024B,Rabu,07:00,Statistika Inferensial
Kelas 2024B,Rabu,13:00,Keamanan Dan Integritas Data
Kelas 2024B,Kamis,07:00,Basis Data
Kelas 2024B,Kamis,09:30,Data Wrangling
Kelas 2024B,Kamis,13:00,Pengolahan Sinyal Digital
Kelas 2024C,Selasa,07:00,Kecerdasan Artifisial
Kelas 2024C,Rabu,09:30,Statistika Inferensial
Kelas 2024C,Rabu,14:40,Keamanan Dan Integritas Data
Kelas 2024C,Kamis,07:00,Basis Data
Kelas 2024C,Kamis,13:00,Pemrosesan Teks
Kelas 2024C,Jumat,07:00,Pengolahan Sinyal Digital
Kelas 2024C,Jumat,09:30,Data Wrangling
Kelas 2024D,Selasa,09:30,Pengolahan Sinyal Digital
Kelas 2024D,Selasa,13:00,Keamanan Dan Integritas Data
Kelas 2024D,Rabu,07:00,Statistika Inferensial
Kelas 2024D,Rabu,13:00,Data Wrangling
Kelas 2024D,Kamis,07:00,Pemrosesan Teks
Kelas 2024D,Kamis,09:30,Basis Data
Kelas 2024D,Kamis,13:00,Kecerdasan Artifisial
Kelas 2024E,Senin,13:00,Pengolahan Sinyal Digital
