id_sdm,nama_dosen,judul_kegiatan,tahun_kegiatan,jenis_kegiatan
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Analisis dan Pengolahan Data Kesetaraan Gender dalam Pengerjaan Tugas-Tugas Mata Kuliah di Program Studi S1 Sains Data FMIPA Unesa,2025,Penelitian
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Prediksi dan Analisis Banjir di Surabaya berdasarkan Data Iklim dan Media Sosial X dengan Deep Learning,2025,Penelitian
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Deteksi Gempa Berdasarkan Sinyal Seismik Menggunakan Machine Learning,2024,Penelitian
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Pemodelan Sinyal Gamelan Jawa Timuran Menggunakan Kecerdasan Artifisial,2024,Penelitian
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Penelitian Riset Kolaborasi Indonesia Antar PTN-BH 2024,2024,Penelitian
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Smart CCTV Berbasis Kecerdasan Artifisial untuk Deteksi Pelecehan Seksual sebagai Upaya Penanggulangan dan Pencegahan Kekerasan Seksual,2024,Penelitian
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Identifikasi Kemampuan Belajar Mahasiswa S1 Sains Data Tahun   Pertama Menggunakan Kecerdasan Artifisial,2023,Penelitian
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Sistem Cerdas Deteksi dan Peringatan Dini Tindak Kekerasan Pada Anak,2022,Penelitian
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Analisis Model Ko-infeksi Penyakit Covid-19 dan Rubella yang Memperhatikan Faktor Pemberian Vaksin,2021,Penelitian
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Sistem Cerdas Deteksi dan Peringatan Dini Tindak Kekerasan Pada Anak,2021,Penelitian
