id_sdm,nama_dosen,judul_kegiatan,tahun_kegiatan,jenis_kegiatan
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Pelatihan Informatika untuk Meningkatkan Kompetensi Guru SMA dan SMK di Surabaya,2024,Pengabdian Masyarakat
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,PENGENALAN PEMROGRAMAN UNTUK SISWA SMP SEKOLAH INDONESIA CAIRO (SIC),2023,Pengabdian Masyarakat
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Pelatihan bagi Guru SMP di Kabupaten Trenggalek,2022,Pengabdian Masyarakat
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,PELATIHAN PENERAPAN KOMPETENSI STRATEGIS  DALAM MEMECAHKAN MASALAH MATEMATIKA BAGI GURU SMP DI KABUPATEN TRENGGALEK,2022,Pengabdian Masyarakat
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Pelatihan Penerapan Blended Learning Menggunakan Internet of Things Bagi Guru-guru Matematika Kabupaten Jombang,2021,Pengabdian Masyarakat
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Penerapan Artificial Intelligence untuk Pelarasan Otomatis pada Industri Gamelan di Loceret-Nganjuk Saat Pandemi Covid19,2020,Pengabdian Masyarakat
ug18IBRkRo2_1vVjCnaL2pNGZVIi9vtromIBpKjtE9X1x2pHmT5WyXIHHpgtZjN9gyGe9g==,Siska Puspitaningsih,PELATIHAN PENGGUNAAN AR  BAGI BAPAK/IBU GURU MGMP Se WILAYAH BOJONEGORO,2024,Pengabdian Masyarakat
ug18IBRkRo2_1vVjCnaL2pNGZVIi9vtromIBpKjtE9X1x2pHmT5WyXIHHpgtZjN9gyGe9g==,Siska Puspitaningsih,PELATIHAN PENGGUNAAN APLIKASI PENJUMLAHAN DAN  PENGURANGAN BERSUSUN BERBASIS MOBILE UNTUK ANAK SEKOLAH  DASAR KELAS 1,2023,Pengabdian Masyarakat
ug18IBRkRo2_1vVjCnaL2pNGZVIi9vtromIBpKjtE9X1x2pHmT5WyXIHHpgtZjN9gyGe9g==,Siska Puspitaningsih,PELATIHAN PEMANFAATAN SOFTWARE GEOGEBRA DALAM PEMBELAJARAN MATEMATIKA PADA MATERI PROGRAM LINIER UNTUK SISWA KELAS XI SMAN 1 BALEN BOJONEGORO,2022,Pengabdian Masyarakat
ug18IBRkRo2_1vVjCnaL2pNGZVIi9vtromIBpKjtE9X1x2pHmT5WyXIHHpgtZjN9gyGe9g==,Siska Puspitaningsih,PELATIHAN PENGGUNAAN MEDIA PEMBELAJARAN PADA SISWA PENDIDIKAN SEKOLAH DASAR BERBASIS MOBILE,2022,Pengabdian Masyarakat
XSZZdZfK-0lj0Q0D8ItXeI3YO8eS_s4kerNAxQfMPBwYdGSwG59phJuyammBJnzq6i0q_Q==,Heri Purnawan,Pelatihan PLC Outseal Dan SCADA Haiwell Di SMK Negeri 1 Lamongan,2024,Pengabdian Masyarakat
XSZZdZfK-0lj0Q0D8ItXeI3YO8eS_s4kerNAxQfMPBwYdGSwG59phJuyammBJnzq6i0q_Q==,Heri Purnawan,PEMBERIAN DAN PENANAMAN BIBIT POHON LOMBOK DI DUSUN PUNCEL DESA DEKET WETAN KEC LAMONGAN KAB LAMONGAN,2024,Pengabdian Masyarakat
XSZZdZfK-0lj0Q0D8ItXeI3YO8eS_s4kerNAxQfMPBwYdGSwG59phJuyammBJnzq6i0q_Q==,Heri Purnawan,Pemberian dan penanaman bibit pohon jeruk purut di Desa Priyoso Kecamatan Karangbinangun Kabupaten Lamongan,2023,Pengabdian Masyarakat
XSZZdZfK-0lj0Q0D8ItXeI3YO8eS_s4kerNAxQfMPBwYdGSwG59phJuyammBJnzq6i0q_Q==,Heri Purnawan,Pemberian Dan Penanaman Bibit Pohon Mangga Dan Pupuk Kompos Di RT 6 RW 6 Dusun Puncel Desa Deket Wetan Kecamatan Deket Kabupaten Lamongan,2023,Pengabdian Masyarakat
51rEX5Z49Gjhoqhh3pOnCQ5S2QvV3JYEACF0lOljO1g5quKtkSwAhuNECwAvTIKy97ke8g==,Ibnu Febry Kurniawan,APLIKASI PEMANTAUAN KESEHATAN KELUARGA BERBASIS ANDROID DI PUSKESMAS TERPADU,2025,Pengabdian Masyarakat
51rEX5Z49Gjhoqhh3pOnCQ5S2QvV3JYEACF0lOljO1g5quKtkSwAhuNECwAvTIKy97ke8g==,Ibnu Febry Kurniawan,Pelatihan Informatika untuk Meningkatkan Kompetensi Guru SMA dan SMK di Surabaya,2024,Pengabdian Masyarakat
51rEX5Z49Gjhoqhh3pOnCQ5S2QvV3JYEACF0lOljO1g5quKtkSwAhuNECwAvTIKy97ke8g==,Ibnu Febry Kurniawan,Pemanfaatan Google Apps For Education (GAFE) untuk kolaborasi Onlene antar Guru di SMK Negeri 2 Magetan.,2019,Pengabdian Masyarakat
51rEX5Z49Gjhoqhh3pOnCQ5S2QvV3JYEACF0lOljO1g5quKtkSwAhuNECwAvTIKy97ke8g==,Ibnu Febry Kurniawan,Pemanfaatan Google Apps for Education (GAFE) untuk Kolaborasi Online antar Guru di SMK Negeri 2 Magetan,2019,Pengabdian Masyarakat
51rEX5Z49Gjhoqhh3pOnCQ5S2QvV3JYEACF0lOljO1g5quKtkSwAhuNECwAvTIKy97ke8g==,Ibnu Febry Kurniawan,Pemanfaatan Google Apps for Education untuk Kolaborasi Online antar Guru di SMK Negeri 2 Magetan,2019,Pengabdian Masyarakat
51rEX5Z49Gjhoqhh3pOnCQ5S2QvV3JYEACF0lOljO1g5quKtkSwAhuNECwAvTIKy97ke8g==,Ibnu Febry Kurniawan,Pemanfaatan Google apps for Education (GAFE) untuk kolaborasi online antar guru di SMP Negeri Waru I Sidoarjo ,2018,Pengabdian Masyarakat
51rEX5Z49Gjhoqhh3pOnCQ5S2QvV3JYEACF0lOljO1g5quKtkSwAhuNECwAvTIKy97ke8g==,Ibnu Febry Kurniawan,Pemanfaatan Google Apps for Education untuk kolaborasi online antar guru di SMP Negeri Waru I Sidoarjo,2018,Pengabdian Masyarakat
51rEX5Z49Gjhoqhh3pOnCQ5S2QvV3JYEACF0lOljO1g5quKtkSwAhuNECwAvTIKy97ke8g==,Ibnu Febry Kurniawan,Pemanfaatan Google Apps for Education (GAFE) untuk Kolaborasi Online Antar Guru di SMP Kemala Bhayangkari 8 Surabaya,2017,Pengabdian Masyarakat
51rEX5Z49Gjhoqhh3pOnCQ5S2QvV3JYEACF0lOljO1g5quKtkSwAhuNECwAvTIKy97ke8g==,Ibnu Febry Kurniawan,Pelatihan Pengenalan Scratch untuk Membekali Konsep Berfikir Logis dan Matematis pada Siswa Sekolah Dasar,2016,Pengabdian Masyarakat
