ID Sinta,Nama Dosen,Judul Penelitian,Ketua Penelitian,Sumber Dana,Anggota Penelitian,Tahun,Besar Dana,Status,Sumber
5995948,Atik Wintarti,Smart CCTV Berbasis Kecerdasan Artifisial untuk Deteksi Pelecehan Seksual sebagai Upaya Penanggulangan dan Pencegahan Kekerasan Seksual,Elly Matul Imah,Penelitian Kompetitif Nasional ( PTB ),Riskyana Dewi Intan Puspitasari; Atik Wintarti; Sjafiatul Mardliyah,2024,Rp. 242.320.000,Approved,BIMA SOURCE
5995948,Atik Wintarti,DETEKSI GEMPA BERDASARKAN SINYAL SEISMIK MENGGUNAKAN MACHINE LEARNING,Atik Wintarti,KOMPETITIF UNIVERSITAS ( PENELITIAN FAKULTAS (FMIPA) ),Harmon Prayogi; Fadhilah Qalbi Annisa; Yuliani Puji Astuti; Ibnu Febry Kurniawan,2024,Rp. 20.000.000,Approved,INTERNAL SOURCE
5995948,Atik Wintarti,PEMODELAN SINYAL GAMELAN JAWA TIMURAN MENGGUNAKAN KECERDASAN ARTIFISIAL,Atik Wintarti,KOMPETITIF UNIVERSITAS ( PENELITIAN KOMPETITIF (LPPM) ),Harmon Prayogi; Elly Matul Imah; Riskyana Dewi Intan Puspitasari; Sugeng Adipitoyo; Bambang Sugito,2024,Rp. 50.000.000,Approved,INTERNAL SOURCE
5995948,Atik Wintarti,PENGEMBANGAN LABORATORIUM VIRTUAL MATEMATIKA BERBASIS METAVERSE BERORIENTASI KERANGKA TECHNOLOGICAL PEDAGOGICAL AND CONTENT KNOWLEDGE (TPACK),Atik Wintarti,KOMPETITIF UNIVERSITAS ( PENELITIAN KOMPETITIF (LPPM) ),,2024,Rp. 75.000.000,Approved,INTERNAL SOURCE
5995948,Atik Wintarti,IDENTIFIKASI KEMAMPUAN BELAJAR MAHASISWA S1 SAINS DATA TAHUN PERTAMA MENGGUNAKAN  KECERDASAN ARTIFISIAL,Atik Wintarti,PENELITIAN FMIPA ( PENELITIAN FMIPA ),Hasanuddin Al-habib; Riskyana Dewi Intan Puspitasari; Fadhilah Qalbi Annisa,2023,Rp. 20.000.000,Approved,INTERNAL SOURCE
5995948,Atik Wintarti,Sistem Cerdas Deteksi dan Peringatan Dini Tindak Kekerasan Pada Anak,Elly Matul Imah,Penelitian Desentralisasi ( PTUPT ),Atik Wintarti,2022,Rp. 156.300.000,Approved,BIMA SOURCE
5995948,Atik Wintarti,PEMODELAN SINYAL GAMELAN UNTUK PELARASAN OTOMATIS MENGGUNAKAN DEEP LEARNING,Atik Wintarti,PENELITIAN KOMPETITIF LPPM ( PENELITIAN DASAR (LPPM) ),Elly Matul Imah; Riskyana Dewi Intan Puspitasari,2022,Rp. 30.000.000,Approved,INTERNAL SOURCE
5995948,Atik Wintarti,ANALISIS MODEL KO-INFEKSI PENYAKIT COVID-19 DAN RUBELLA YANG MEMPERHATIKAN FAKTOR PEMBERIAN VAKSIN,Rudianto Artiono,PENUGASAN FMIPA 2021 ( PENELITIAN KEBIJAKAN FAKULTAS FMIPA 2021 ),Yuliani Puji Astuti; Atik Wintarti; Budi Priyo Prawoto,2021,Rp. 20.000.000,Approved,INTERNAL SOURCE
5995948,Atik Wintarti,Sistem Cerdas Deteksi dan Peringatan Dini Tindak Kekerasan Pada Anak,Elly Matul Imah,Penelitian Desentralisasi ( PTUPT ),Atik Wintarti,2021,Rp. 180.480.000,Approved,BIMA SOURCE
5995948,Atik Wintarti,ANALISIS MATEMATIKA DARI SUATU MODEL MATEMATIKA DAN APLIKASINYA DALAM PENYEBARAN VIRUS CORONA DI JAWA TIMUR,Muhammad Jakfar,PENELITIAN KOMPETITIF KEBIJAKAN FAKULTAS FMIPA 2020 ( PENELITIAN KEBIJAKAN FAKULTAS/JURUSAN FMIPA 2020 ),Atik Wintarti; Agung Lukito; Manuharawati,2020,Rp. 12.000.000,Approved,INTERNAL SOURCE
6008890,Ibnu Febry Kurniawan,SEMANTIC SEGMENTATION OF POST-DISASTER AREA ON REMOTE SENSING VIDEO FROM UNMANNED AERIAL VEHICLE (UAV) USING SUPER RESOLUTION AND DEEP TRANSFER LEARNING DEEPLABV3 MODEL,Riskyana Dewi Intan Puspitasari,KOMPETITIF UNIVERSITAS ( PENELITIAN FAKULTAS (FMIPA) ),Fadhilah Qalbi Annisa; Elly Matul Imah; Hasanuddin Al-habib; Ulfa Siti Nuraini; Ibnu Febry Kurniawan,2024,Rp. 50.000.000,Approved,INTERNAL SOURCE
6008890,Ibnu Febry Kurniawan,Integrasi Model Regresi Logistik Bivariate dan Pohon Keputusan  untuk Screening Awal Kasus Hipertensi dan Diabetes pada Calon Atlet Atletik,A'yunin Sofro,Penelitian Kompetitif Nasional ( PFR ),Junaidi Budi Prihanto; Danang Ariyanto; Dimas Avian Maulana; Riska Wahyu Romadhonia; Affiati Oktaviarina; Ibnu Febry Kurniawan,2024,Rp. 126.030.000,Approved,BIMA SOURCE
6008890,Ibnu Febry Kurniawan,DETEKSI GEMPA BERDASARKAN SINYAL SEISMIK MENGGUNAKAN MACHINE LEARNING,Atik Wintarti,KOMPETITIF UNIVERSITAS ( PENELITIAN FAKULTAS (FMIPA) ),Harmon Prayogi; Fadhilah Qalbi Annisa; Yuliani Puji Astuti; Ibnu Febry Kurniawan,2024,Rp. 20.000.000,Approved,INTERNAL SOURCE
6008890,Ibnu Febry Kurniawan,ANALISIS PENERAPAN METODE DEEP LEARNING UNTUK KLASIFIKASI SERANGAN TERHADAP KEAMANAN JARINGAN.,I Made Suartana,KOMPETITIF FT ( PENELITIAN FT ),Ibnu Febry Kurniawan,2019,Rp. 15.000.000,Approved,INTERNAL SOURCE
