Title,Authors,Number of Authors,Scopus Author Ids,Year,Full date,Scopus Source title,Volume,Issue,Pages,Article number,ISSN,Source ID,Source type,Publisher,Language,SNIP (publication year),SNIP percentile (publication year) *,CiteScore (publication year),CiteScore percentile (publication year) *,SJR (publication year),SJR percentile (publication year) *,Field-Weighted View Impact,Views,Citations,Field-Weighted Citation Impact,Field-Citation Average,"Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile",Main patent families,Policy citations,Reference,Abstract,DOI,Publication type,Open Access,EID,PubMed ID,Institutions,Institution IDs,Sector,Number of Institutions,Scopus Affiliation IDs,Scopus Affiliation names,Scopus Author ID First Author,Scopus Author ID Last Author,Scopus Author ID Corresponding Author,Scopus Author ID Single Author,Country/Region,Number of Countries/Regions,All Science Journal Classification (ASJC) code,All Science Journal Classification (ASJC) field name,Quacquarelli Symonds (QS) Subject area code,Quacquarelli Symonds (QS) Subject area field name,Quacquarelli Symonds (QS) Subject code,Quacquarelli Symonds (QS) Subject field name,Times Higher Education (THE) code,Times Higher Education (THE) field name,ANZSRC FoR (2020) parent code,ANZSRC FoR (2020) parent name,ANZSRC FoR (2020) code,ANZSRC FoR (2020) name,Sustainable Development Goals (2025),Topic Cluster name,Topic Cluster number,Topic Cluster Prominence Percentile,Topic name,Topic number,Topic Prominence Percentile,Publication link to Topic strength
Multiplane Convolutional Neural Network (Mp-CNN) for Alzheimer’s Disease Classification,"Angkoso, C.V.| Tjahyaningtijas, H.P.A.| Purnomo, M.H.| Purnama, I.K.E.",4.0,57191037824| 58028094300| 6602604153| 35794232900,2022.0,2022-01-01,International Journal of Intelligent Engineering and Systems,15,1,329-340,-,ISSN-2185310X,21100199790.0,Journal,Intelligent Network and Systems Society,English,0.56,59,2.5,44,0.303,51,1.19,32.0,34.0,2.78,12.22,7.0,8.0,0.0,0.0,"Angkoso, C.V., Tjahyaningtijas, H.P.A., Purnomo, M.H. and 1 more (...) (2022).Multiplane Convolutional Neural Network (Mp-CNN) for Alzheimer’s Disease Classification. International Journal of Intelligent Engineering and Systems,15(1) 329-340",https://www.scopus.com/record/display.url?eid=2-s2.0-85123546916&origin=resultslist,10.22266/IJIES2022.0228.30,Article,Bronze,2-s2.0-85123546916,-,Institut Teknologi Sepuluh Nopember| University of Trunojoyo Madura| Universitas Negeri Surabaya,701292| 718020| 707254,Academic,3.0,60070707| 60122051| 60105082,Institut Teknologi Sepuluh Nopember| Universitas Trunojoyo Madura| Universitas Negeri Surabaya,57191037824,35794232900,6602604153,-,Unknown country,1.0,1700| 2200,General Computer Science| General Engineering,2,Engineering & Technology,212,Computer Science & Information Systems,36| 38,Engineering| Computer Science,40| 46,Engineering| Information And Computing Sciences,-,-,-,Cognitive Impairment and Neuroimaging in Alzheimer's Disease,137,93.329,Machine Learning Approaches for Alzheimer's Disease Classification,3426,99.692,Definitive
Blind robust image watermarking based on adaptive embedding strength and distribution of quantified coefficients,"Rakhmawati, L.| Wirawan, W.| Suwadi, S.| Delpha, C.| Duhamel, P.",5.0,57200562830| 7409815140| 35975312300| 6601927632| 23066670400,2022.0,2022-01-01,Expert Systems with Applications,187,-,-,115906,ISSN-09574174,24201.0,Journal,Elsevier Ltd,English,2.53,4,12.6,4,1.873,4,1.19,34.0,34.0,2.31,14.71,7.0,10.0,0.0,0.0,"Rakhmawati, L., Wirawan, W., Suwadi, S. and 2 more (...) (2022).Blind robust image watermarking based on adaptive embedding strength and distribution of quantified coefficients. Expert Systems with Applications,187",https://www.scopus.com/record/display.url?eid=2-s2.0-85115437278&origin=resultslist,10.1016/j.eswa.2021.115906,Article,,2-s2.0-85115437278,-,Institut Teknologi Sepuluh Nopember| CNRS| CentraleSupélec| Universitas Negeri Surabaya| Université Paris-Saclay,701292| 314004| 314295| 707254| 709088,Academic| Government,5.0,60105082| 60070707| 60008134| 60106017| 60007136| 60122384,Universitas Negeri Surabaya| Institut Teknologi Sepuluh Nopember| CNRS Centre National de la Recherche Scientifique| Université Paris-Saclay| Laboratoire des Signaux et Systèmes| CentraleSupélec - Paris-Saclay,57200562830,23066670400,57200562830,-,Unknown country| Unknown country,2.0,1702| 1706| 2200,Artificial Intelligence| Computer Science Applications| General Engineering,2,Engineering & Technology,213| 212,Data Science| Computer Science & Information Systems,36| 38,Engineering| Computer Science,MD,Multidisciplinary,MD,Multidisciplinary,-,Steganography and Watermarking Techniques,609,55.984,Robust Digital Watermarking Techniques for Image Security,3701,97.827,Definitive
YOLO-UNet Architecture for Detecting and Segmenting the Localized MRI Brain Tumor Image,"Iriawan, N.| Pravitasari, A.A.| Nuraini, U.S.| Nirmalasari, N.I.| Azmi, T.| Nasrudin, M.| Fandisyah, A.F.| Fithriasari, K.| Purnami, S.W.| Irhamah| Ferriastuti, W.",11.0,55332444200| 57204105479| 57221534129| 57213186627| 57216674729| 57211329889| 58897357000| 55865636600| 25825438700| 26532913800| 57209097446,2024.0,2024-01-01,Applied Computational Intelligence and Soft Computing,2024,-,-,3819801,ISSN-16879724,21100821307.0,Journal,Hindawi Limited,English,1.26,19,8.9,9,0.602,23,3.99,70.0,30.0,4.63,6.47,2.0,4.0,0.0,0.0,"Iriawan, N., Pravitasari, A.A., Nuraini, U.S. and 8 more (...) (2024).YOLO-UNet Architecture for Detecting and Segmenting the Localized MRI Brain Tumor Image. Applied Computational Intelligence and Soft Computing,2024",https://www.scopus.com/record/display.url?eid=2-s2.0-85185600917&origin=resultslist,10.1155/2024/3819801,Article,Gold|Green,2-s2.0-85185600917,-,Institut Teknologi Sepuluh Nopember| Universitas Airlangga| Universitas Negeri Surabaya| Padjadjaran University,701292| 700646| 707254| 701295,Academic,4.0,60070707| 60069388| 60105082| 60069383,Institut Teknologi Sepuluh Nopember| Universitas Padjadjaran| Universitas Negeri Surabaya| Universitas Airlangga,55332444200,57209097446,57204105479,-,Unknown country,1.0,1702| 1705| 1706| 2205| 2206,Artificial Intelligence| Computer Networks and Communications| Computer Science Applications| Civil and Structural Engineering| Computational Mechanics,2,Engineering & Technology,222| 220| 212| 213,Engineering - Mechanical| Engineering - Civil & Structural| Computer Science & Information Systems| Data Science,36| 38,Engineering| Computer Science,49| 46| 40,Mathematical Sciences| Information And Computing Sciences| Engineering,-,-,-,Cognitive Impairment and Neuroimaging in Alzheimer's Disease,137,93.329,Machine Learning Approaches for Alzheimer's Disease Classification,3426,99.692,Definitive
A novel hybrid of S2DPCA and SVM for knee osteoarthritis classification,"Wahyuningrum, R.T.| Anifah, L.| Purnama, I.K.E.| Purnomo, M.H.",4.0,55977023600| 55648855000| 35794232900| 6602604153,2016.0,2016-07-27,"2016 IEEE International Conference on Computational Intelligence and Virtual Environments for Measurement Systems and Applications, CIVEMSA 2016 - Proceedings",-,-,-,7524317,-,21100777177.0,Conference Proceeding,Institute of Electrical and Electronics Engineers Inc.,English,-,-,-,-,-,-,2.2,29.0,29.0,2.38,2.94,19.0,11.0,0.0,0.0,"Wahyuningrum, R.T., Anifah, L., Purnama, I.K.E. and 1 more (...) (2016).A novel hybrid of S2DPCA and SVM for knee osteoarthritis classification. 2016 IEEE International Conference on Computational Intelligence and Virtual Environments for Measurement Systems and Applications, CIVEMSA 2016 - Proceedings,",https://www.scopus.com/record/display.url?eid=2-s2.0-84984660090&origin=resultslist,10.1109/CIVEMSA.2016.7524317,Conference Paper,,2-s2.0-84984660090,-,Institut Teknologi Sepuluh Nopember| Universitas Negeri Surabaya| University of Trunojoyo Madura,701292| 707254| 718020,Academic,3.0,60070707| 60122051| 60105082,Institut Teknologi Sepuluh Nopember| Universitas Trunojoyo Madura| Universitas Negeri Surabaya,55977023600,6602604153,-,-,Unknown country,1.0,1702| 1706| 2611| 3105,Artificial Intelligence| Computer Science Applications| Modeling and Simulation| Instrumentation,4| 2,Natural Sciences| Engineering & Technology,431| 439| 213| 212,Mathematics| Physics & Astronomy| Data Science| Computer Science & Information Systems,38| 37,Computer Science| Physical Sciences,40| 46| 32,Engineering| Information And Computing Sciences| Biomedical And Clinical Sciences,4007| 4603| 3209,"Control engineering, mechatronics and robotics| Computer vision and multimedia computation| Neurosciences",-,Osteoarthritis Mechanisms and Treatment Innovations,74,86.331,Machine Learning Applications in Knee Osteoarthritis Diagnosis,57955,91.355,Definitive
"Extraction, characterization, and application of natural dyes from the fresh mangosteen (Garcinia mangostana L.) peel","Kusumawati, N.| Santoso, A.B.| Sianita, M.M.| Muslim, S.",4.0,56386061900| 57523683300| 56436767600| 57188724366,2017.0,2017-01-01,"International Journal on Advanced Science, Engineering and Information Technology",7,3,878-884,-,ISSN-20885334,21100463068.0,Journal,Insight Society,English,0.7,48,0.8,54,0.242,47,1.72,43.0,28.0,1.8,6.68,20.0,15.0,0.0,0.0,"Kusumawati, N., Santoso, A.B., Sianita, M.M. and 1 more (...) (2017).Extraction, characterization, and application of natural dyes from the fresh mangosteen (Garcinia mangostana L.) peel. International Journal on Advanced Science, Engineering and Information Technology,7(3) 878-884",https://www.scopus.com/record/display.url?eid=2-s2.0-85021178568&origin=resultslist,10.18517/ijaseit.7.3.1014,Article,Hybrid gold,2-s2.0-85021178568,-,Universitas Negeri Surabaya,707254,Academic,1.0,60105082,Universitas Negeri Surabaya,56386061900,57188724366,-,-,Unknown country,1.0,1100| 1700| 2200,General Agricultural and Biological Sciences| General Computer Science| General Engineering,5| 2,Life Sciences & Medicine| Engineering & Technology,502| 212,Agriculture & Forestry| Computer Science & Information Systems,36| 32| 38,Engineering| Life Sciences| Computer Science,40| 46,Engineering| Information And Computing Sciences,-,-,-,Pool Boiling and Turbulent Flow Dynamics,427,79.006,Natural Dyes and Their Sustainable Textile Applications,2809,98.018,Definitive
Classification of Emotional State Based on EEG Signal using AMGLVQ,"Masruroh, A.H.| Imah, E.M.| Rahmawati, E.",3.0,57211238771| 54973804500| 36004932300,2019.0,2019-01-01,Procedia Computer Science,157,-,552-559,-,ISSN-18770509,19700182801.0,Conference Proceeding,Elsevier B.V.,English,1.02,30,2.5,31,-,-,1.21,25.0,26.0,3.75,3.73,19.0,5.0,0.0,0.0,"Masruroh, A.H., Imah, E.M., Rahmawati, E. (2019).Classification of Emotional State Based on EEG Signal using AMGLVQ. Procedia Computer Science,157552-559",https://www.scopus.com/record/display.url?eid=2-s2.0-85073097099&origin=resultslist,10.1016/j.procs.2019.09.013,Conference Paper,Gold,2-s2.0-85073097099,-,Universitas Negeri Surabaya,707254,Academic,1.0,60105082,Universitas Negeri Surabaya,57211238771,36004932300,54973804500,-,Unknown country,1.0,1700,General Computer Science,2,Engineering & Technology,212,Computer Science & Information Systems,38,Computer Science,46,Information And Computing Sciences,-,-,-,Brain-Computer Interface Technologies,476,90.255,Emotion Recognition through Physiological Signal Integration,2274,99.727,Definitive
Severity classification of non-proliferative diabetic retinopathy using convolutional support vector machine,"Putra, R.E.| Tjandrasa, H.| Suciati, N.",3.0,56038565900| 55943564300| 24825315200,2020.0,2020-01-01,International Journal of Intelligent Engineering and Systems,13,4,156-170,-,ISSN-2185310X,21100199790.0,Journal,Intelligent Network and Systems Society,English,0.55,61,1.9,45,0.187,71,0.6,26.0,25.0,1.43,10.5,19.0,19.0,0.0,0.0,"Putra, R.E., Tjandrasa, H., Suciati, N. (2020).Severity classification of non-proliferative diabetic retinopathy using convolutional support vector machine. International Journal of Intelligent Engineering and Systems,13(4) 156-170",https://www.scopus.com/record/display.url?eid=2-s2.0-85089462225&origin=resultslist,10.22266/IJIES2020.0831.14,Article,Bronze,2-s2.0-85089462225,-,Institut Teknologi Sepuluh Nopember| Universitas Negeri Surabaya,701292| 707254,Academic,2.0,60070707| 60105082,Institut Teknologi Sepuluh Nopember| Universitas Negeri Surabaya,56038565900,24825315200,56038565900,-,Unknown country,1.0,1700| 2200,General Computer Science| General Engineering,2,Engineering & Technology,212,Computer Science & Information Systems,36| 38,Engineering| Computer Science,40| 46,Engineering| Information And Computing Sciences,-,-,-,Retinal Disease Detection and Treatment,41,88.882,Deep Learning Innovations in Diabetic Retinopathy Detection,3034,99.604,Very Good
Brain Tumor Classification in MRI Images Using En-CNN,"Tjahyaningtijas, H.P.A.| Rumala, D.J.| Angkoso, C.V.| Fanani, N.Z.| Santoso, J.| Sensusiati, A.D.| Ooijen, P.M.A.V.| Ketut Eddy Purnama, I.K.E.| Purnomo, M.H.",9.0,58028094300| 57221634805| 57191037824| 56596755200| 55734347745| 57195511114| 6603795715| 35794232900| 6602604153,2021.0,2021-08-01,International Journal of Intelligent Engineering and Systems,14,4,437-451,-,ISSN-2185310X,21100199790.0,Journal,Intelligent Network and Systems Society,English,0.49,64,2,47,0.282,52,2.45,74.0,24.0,1.69,11.82,16.0,16.0,0.0,0.0,"Tjahyaningtijas, H.P.A., Rumala, D.J., Angkoso, C.V. and 6 more (...) (2021).Brain Tumor Classification in MRI Images Using En-CNN. International Journal of Intelligent Engineering and Systems,14(4) 437-451",https://www.scopus.com/record/display.url?eid=2-s2.0-85109189048&origin=resultslist,10.22266/ijies2021.0831.38,Article,Bronze|Green,2-s2.0-85109189048,-,Institut Teknologi Sepuluh Nopember| Universitas Airlangga| Jember State Polytechnic| University of Groningen| University of Trunojoyo Madura| Universitas Negeri Surabaya,701292| 700646| 720057| 325013| 718020| 707254,Academic,6.0,60070707| 60105082| 60122051| 60110255| 60280490| 60069383| 60006027,Institut Teknologi Sepuluh Nopember| Universitas Negeri Surabaya| Universitas Trunojoyo Madura| Politeknik Negeri Jember| Institut Sains dan Teknologi Terpadu Surabaya| Universitas Airlangga| Universitair Medisch Centrum Groningen,58028094300,6602604153,6602604153,-,Unknown country| Unknown country,2.0,1700| 2200,General Computer Science| General Engineering,2,Engineering & Technology,212,Computer Science & Information Systems,36| 38,Engineering| Computer Science,46| 40,Information And Computing Sciences| Engineering,-,-,-,"Image Segmentation, Deep Neural Networks and Object Detection",0,100,Innovative Approaches in Brain Tumor Imaging,597,99.848,Definitive
Edmodo-based interactive teaching materials as an alternative media for science learning to improve critical thinking skills of junior high school students,"Wahyuni, S.| Erman| Sudikan, S.Y.| Jatmiko, B.",4.0,58776122100| 57192427696| 57218170194| 57191163601,2020.0,2020-01-01,International Journal of Interactive Mobile Technologies,14,9,166-181,-,ISSN-18657923,21100394784.0,Journal,International Association of Online Engineering,English,1.41,16,2.9,46,0.316,55,1.75,75.0,22.0,0.76,15.72,21.0,35.0,0.0,0.0,"Wahyuni, S., Erman, Sudikan, S.Y. and 1 more (...) (2020).Edmodo-based interactive teaching materials as an alternative media for science learning to improve critical thinking skills of junior high school students. International Journal of Interactive Mobile Technologies,14(9) 166-181",https://www.scopus.com/record/display.url?eid=2-s2.0-85088095160&origin=resultslist,10.3991/ijim.v14i09.13041,Article,Gold,2-s2.0-85088095160,-,University of Jember| Universitas Negeri Surabaya,706811| 707254,Academic,2.0,60105082| 60069412,Universitas Negeri Surabaya| Universitas Jember,58776122100,57191163601,57191163601,-,Unknown country,1.0,1705| 1706,Computer Networks and Communications| Computer Science Applications,2,Engineering & Technology,213| 212,Data Science| Computer Science & Information Systems,38,Computer Science,46,Information And Computing Sciences,4606| 4601,Distributed computing and systems software| Applied computing,SDG 4,Psychometrics and Rasch Analysis in Education Assessment,1298,20.994,Computer-Based Testing and Student Performance Insights,17999,59.914,Weak
Intelligent Control of Power System Stabilizer Based on Archimedes Optimization Algorithm – Feed Forward Neural Network,"Aribowo, W.| Muslim, S.| Suprianto, B.| Haryudo, S.I.| Hermawan, A.C.",5.0,57216862548| 57188724366| 8215287000| 57202236759| 57223403623,2021.0,2021-06-30,International Journal of Intelligent Engineering and Systems,14,3,43-53,-,ISSN-2185310X,21100199790.0,Journal,Intelligent Network and Systems Society,English,0.49,64,2,47,0.282,52,1.75,53.0,22.0,1.61,11.82,17.0,17.0,0.0,0.0,"Aribowo, W., Muslim, S., Suprianto, B. and 2 more (...) (2021).Intelligent Control of Power System Stabilizer Based on Archimedes Optimization Algorithm – Feed Forward Neural Network. International Journal of Intelligent Engineering and Systems,14(3) 43-53",https://www.scopus.com/record/display.url?eid=2-s2.0-85105777251&origin=resultslist,10.22266/ijies2021.0630.05,Article,Bronze,2-s2.0-85105777251,-,Universitas Negeri Surabaya,707254,Academic,1.0,60105082,Universitas Negeri Surabaya,57216862548,57223403623,57216862548,-,Unknown country,1.0,1700| 2200,General Computer Science| General Engineering,2,Engineering & Technology,212,Computer Science & Information Systems,38| 36,Computer Science| Engineering,40| 46,Engineering| Information And Computing Sciences,-,-,-,Optimization Techniques in Power Distribution Systems,48,88.097,Optimizing Power System Stability with Advanced Controllers,1155,92.892,Definitive
