title,authors,number of authors,scopus author ids,year,full date,scopus source title,volume,issue,pages,article number,issn,source id,source type,language,snip (publication year),snip percentile (publication year) *,citescore (publication year),citescore percentile (publication year) *,sjr (publication year),sjr percentile (publication year) *,field-weighted view impact,views,citations,field-weighted citation impact,field-citation average,"outputs in top citation percentiles, per percentile","field-weighted outputs in top citation percentiles, per percentile",main patent families,policy citations,reference,abstract_x,doi,publication type,open access,eid,pubmed id,institutions,number of institutions,scopus affiliation ids,scopus affiliation names,scopus author id first author,scopus author id last author,scopus author id corresponding author,scopus author id single author,country/region,number of countries/regions,all science journal classification (asjc) code,all science journal classification (asjc) field name,quacquarelli symonds (qs) subject area code,quacquarelli symonds (qs) subject area field name,quacquarelli symonds (qs) subject code,quacquarelli symonds (qs) subject field name,times higher education (the) code,times higher education (the) field name,anzsrc for (2020) parent code,anzsrc for (2020) parent name,anzsrc for (2020) code,anzsrc for (2020) name,sustainable development goals (2025),topic cluster name,topic cluster number,topic cluster prominence percentile,topic name,topic number,topic prominence percentile,publication link to topic strength,abstract_y,status
A study of artificial intelligence on employee performance and work engagement: the moderating role of change leadership,"Wijayati, D.T.| Rahman, Z.| Fahrullah, A.| Rahman, M.F.W.| Arifah, I.D.C.| Kautsar, A.",6.0,57202647254| 57202893305| 57203846106| 58949238400| 57395409700| 57202283774,2022.0,2022-05-24,International Journal of Manpower,43,2,486-512,-,ISSN-01437720,20201.0,Journal,English,1.17,22,5.8,20,0.824,28,10.68,633.0,171.0,11.85,14.26,1.0,1.0,0.0,0.0,"Wijayati, D.T., Rahman, Z., Fahrullah, A. and 3 more (...) (2022).A study of artificial intelligence on employee performance and work engagement: the moderating role of change leadership. International Journal of Manpower,43(2) 486-512",https://www.scopus.com/record/display.url?eid=2-s2.0-85122196278&origin=resultslist,10.1108/IJM-07-2021-0423,Article,,2-s2.0-85122196278,-,Universitas Negeri Surabaya,1.0,60105082,Universitas Negeri Surabaya,57202647254,57202283774,57202647254,-,Indonesia,1.0,1405| 1407| 1408,Management of Technology and Innovation| Organizational Behavior and Human Resource Management| Strategy and Management,3,Social Sciences & Management,308,Business & Management Studies,35,Business and Economics,35,"Commerce, Management, Tourism And Services",3505| 3507,"Human resources and industrial relations| Strategy, management and organisational behaviour",-,Human-Robot Interaction and Emotion Recognition Advances,321,99.15,Artificial Intelligence in Decision-Making and Management,22918,99.905,Definitive,"Purpose: This paper aims to explore employee perceptions of companies engaged in services and banking of the role of change leadership on the application of artificial intelligence (AI) that will impact the performance and work engagement in conditions that are experiencing rapid changes. Design/methodology/approach: This study has used a quantitative research approach, and data analysis uses an approach structural equation modeling (SEM) supported by program computer software AMOS 22.0. A total of 357 respondents were involved in this study, but only 254 were qualified. In this study, the respondent is an employee of companies engaged in the services and banking sector in the East Java, Indonesia region. Findings: The results reveal that AI has a significant positive effect on employee performance and work engagement. Change leadership positively moderates the influence of AI on employee performance and work engagement. Originality/value: The development of this model has a novelty by including the moderating variable of the role of change leadership because, in conditions that are experiencing rapid changes, the role of leaders is essential. After all, leaders are decision-makers in the organization. The development of this concept focuses on studies of companies engaged in services and banking. Employee performance is an essential determinant in the organization because it will improve organizational performance. In addition, the application of AI in organizations will experience turmoil, so that the critical role of leaders is needed to achieve success with employee work engagement.",ok
The role of green innovation between green market orientation and business performance: its implication for open innovation,"Tjahjadi, B.| Soewarno, N.| Hariyati, H.| Nafidah, L.N.| Kustiningsih, N.| Nadyaningrum, V.",6.0,57191278873| 57203927339| 57211274374| 57218212743| 57215010703| 57219706297,2020.0,2020-12-01,"Journal of Open Innovation: Technology, Market, and Complexity",6,4,1-18,173,ISSN-21998531,21100887502.0,Journal,English,1.37,17,3.8,7,0.459,27,5.72,232.0,103.0,6.34,6.78,3.0,2.0,0.0,0.0,"Tjahjadi, B., Soewarno, N., Hariyati, H. and 3 more (...) (2020).The role of green innovation between green market orientation and business performance: its implication for open innovation. Journal of Open Innovation: Technology, Market, and Complexity,6(4) 1-18",https://www.scopus.com/record/display.url?eid=2-s2.0-85097291867&origin=resultslist,10.3390/joitmc6040173,Article,Gold|Green,2-s2.0-85097291867,-,Universitas Airlangga| Universitas Negeri Surabaya,2.0,60069383| 60105082,Universitas Airlangga| Universitas Negeri Surabaya,57191278873,57219706297,57191278873,-,Indonesia,1.0,2000| 3303| 3312,"General Economics,Econometrics and Finance| Development| Sociology and Political Science",3,Social Sciences & Management,342| 315| 317,Sociology| Development Studies| Economics & Econometrics,35| 40,Business and Economics| Social Sciences,35,"Commerce, Management, Tourism And Services",3507,"Strategy, management and organisational behaviour",SDG 8| SDG 9,Sustainability and Corporate Responsibility in Business,499,99.346,Green Innovation Strategies for Sustainable Development,1415,99.924,Very Good,"The focus of this research was to investigate the effect of green market orientation on business performance. For that purpose, this research tested that green market orientation has a direct effect on business performance, that green market orientation affects green innovation, and that green innovation affects business performance. As a quantitative research, partial least squares structural equation modeling (PLS–SEM) was used to test the hypotheses. Data were collected by using both online and offline questionnaires from owners/managers of the manufacturing micro, small-and medium-sized enterprises (MSMEs) in the East Java Province of Indonesia. A total of 175 respondents participated in this study. The results show that green market orientation has a positive and direct effect on business performance. The results empirically support the theory of sustainability and entrepreneurship in the research setting of Indonesian MSMEs. The results also imply that the owners/managers of MSMEs need to balance economic, environmental, and social issues in their business. In the era of sustainable development and environmental awareness, manufacturing MSMEs need to adopt a green market orientation and carry out green innovation in their business processes to obtain a better business performance.",ok
Systematic review of problem based learning research in fostering critical thinking skills,"Anggraeni, D.M.| Prahani, B.K.| Suprapto, N.| Shofiyah, N.| Jatmiko, B.",5.0,57214728134| 57207944019| 57163917500| 57200100542| 57191163601,2023.0,2023-09-01,Thinking Skills and Creativity,49,-,-,101334,ISSN-18711871,5000154503.0,Journal,English,2.08,5,7.3,8,1.162,11,10.58,316.0,69.0,12.8,5.39,1.0,1.0,0.0,0.0,"Anggraeni, D.M., Prahani, B.K., Suprapto, N. and 2 more (...) (2023).Systematic review of problem based learning research in fostering critical thinking skills. Thinking Skills and Creativity,49",https://www.scopus.com/record/display.url?eid=2-s2.0-85162172663&origin=resultslist,10.1016/j.tsc.2023.101334,Article,,2-s2.0-85162172663,-,Universitas Negeri Surabaya,1.0,60105082,Universitas Negeri Surabaya,57214728134,57191163601,57214728134,-,Indonesia,1.0,3304,Education,3,Social Sciences & Management,318,Education & Training,41,Education Studies,39,Education,-,-,-,Critical Thinking Skills in Student Learning Outcomes,1339,49.052,Critical Thinking Development in Diverse Educational Contexts,836,98.691,Definitive,"Critical thinking is one of the essential skills for learning in the twenty-first century. One strategy to encourage critical thinking skills in learning is to use a learning model that can educate these abilities. The study's conclusions indicate that the only form of training that can aid students in fostering their critical thinking skills is problem-based learning. The purpose of this research is to review articles from indexed journals that explore how well PBL model foster critical thinking skills. This paper discusses aim to describing the research findings that have been tried and published in good reputation daily articles during the past 5 years (2018 – 2022), while mindful of the importance of critical thinking skills to students and the use of PBL models to develop critical thinking skills. The data in this study is focused on data related to problem-based learning models and critical thinking skills in the field of social science. This study is a particular kind of literature study investigation employing the PRISMA method, which has four parts (identification, screening, eligibility and included). It was discovered from the identification, screening, and eligibility results of hundreds of article journals and twenty one papers were gathered from various journal publications. Based on the study's findings, research on the PBL model and critical thinking skills is mostly conducted in universities among numerous Asian nations, with Indonesia accounting for the biggest share. Science is a subject that is extensively researched utilizing quantitative methods. Additionally, it was discovered that other variables were being included in PBL research, in addition to critical thinking skills. It is clear from the results of the review of journal papers that the PBL model can fostering critical thinking skills.",ok
Artificial Intelligence in Education Research During the Last Ten Years: A Review and Bibliometric Study,"Prahani, B.K.| Rizki, I.A.| Jatmiko, B.| Suprapto, N.| Amelia, T.",5.0,57207944019| 57671590500| 57191163601| 57163917500| 57195509420,2022.0,2022-01-01,International Journal of Emerging Technologies in Learning,17,8,169-188,-,ISSN-18688799,21100197967.0,Journal,English,1.24,20,5,14,0.536,30,9.18,258.0,59.0,6.66,8.71,3.0,2.0,0.0,1.0,"Prahani, B.K., Rizki, I.A., Jatmiko, B. and 2 more (...) (2022).Artificial Intelligence in Education Research During the Last Ten Years: A Review and Bibliometric Study. International Journal of Emerging Technologies in Learning,17(8) 169-188",https://www.scopus.com/record/display.url?eid=2-s2.0-85129689528&origin=resultslist,10.3991/ijet.v17i08.29833,Article,Gold,2-s2.0-85129689528,-,Universitas Negeri Surabaya,1.0,60105082| 60190742,Universitas Negeri Surabaya| Universitas Dinamika,57207944019,57195509420,57207944019,-,Indonesia,1.0,2200| 3304,General Engineering| Education,3| 2,Social Sciences & Management| Engineering & Technology,318,Education & Training,36| 41,Engineering| Education Studies,39,Education,3904,Specialist studies in education,-,Adaptive Learning Systems and Student Engagement,1167,81.884,Artificial Intelligence in Educational Transformation,25185,99.87,Defensible,"Research on Artificial Intelligence in Education (AIED) has increased rapidly in recent years, so efforts are needed to understand the status of trends and their development to support and focus these trends. The specific objectives of this study are to analyze document type, source document, contributed country, language, top affiliation, sponsorship funding, top source title, subject area, research station, visualization of mapping research trends across and top 50 cited publications, reviewing some of the top-cited publications on AIED research over the last ten years using bibliometric analysis. The metadata used is the Scopus database and a mapping application using VOSviewer with 457 documents. The bibliometric results show that the development of AIED research has increased exponentially over the last five years. The most common types of documents are articles, journal document sources, and China's most productive country. English being the most significant language, the most prolific author was Kalles, D, some of the top prolific affiliates with four publications, while the most sponsored funding was the National Natural Science Foundation of China and the National Science Foundation. “Journal of Physics: Conference Series” is the primary source, the most research subject area is Computer Science, for the top-cited author is Holmes, W. Mapping of research trends shows that AIED research trends in the last ten years are: 1) it's an application to students; 2) the subject of education in engineering educations; 3) teaching methods; 4) e-learning based education; 5) education system; 6) curriculum included AI. AIED integration could revolutionize the education system",ok
Enhancing Storytelling Activities to Support Early (Digital) Literacy Development in Early Childhood Education,"Maureen, I.Y.| van der Meij, H.| de Jong, T.",3.0,57204580224| 55999954200| 7102297810,2020.0,2020-04-01,International Journal of Early Childhood,52,1,55-76,-,ISSN-00207187,19600166324.0,Journal,English,1.15,25,2.1,33,0.532,37,3.08,154.0,56.0,3.16,8.87,6.0,6.0,0.0,0.0,"Maureen, I.Y., van der Meij, H., de Jong, T. (2020).Enhancing Storytelling Activities to Support Early (Digital) Literacy Development in Early Childhood Education. International Journal of Early Childhood,52(1) 55-76",https://www.scopus.com/record/display.url?eid=2-s2.0-85083113075&origin=resultslist,10.1007/s13158-020-00263-7,Article,Bronze|Green,2-s2.0-85083113075,-,University of Twente| Universitas Negeri Surabaya,2.0,60020599| 60105082,Universiteit Twente| Universitas Negeri Surabaya,57204580224,7102297810,57204580224,-,Indonesia| Netherlands,2.0,3204| 3304,Developmental and Educational Psychology| Education,3,Social Sciences & Management,318| 541,Education & Training| Psychology,39| 41,Psychology| Education Studies,39,Education,3904| 3901| 3903,Specialist studies in education| Curriculum and pedagogy| Education systems,SDG 4,Multimodal Literacy and Digital Storytelling in Education,1378,22.76,Digital Storytelling as a Transformative Educational Tool,8479,92.698,Defensible,"When storytelling is combined with play-based activities, it can provide an effective stimulus for early literacy. The present study investigated the effects of a structured storytelling approach on the development of young children’s literacy and digital literacy skills. Three classes in two public kindergartens participated in an experimental study involving 62 children, aged 5–6 years. Each classroom was assigned to one of three experimental conditions. In one classroom, the children engaged in their regular literacy activities. In a second classroom, literacy development was supported with storytelling and associated play-based activities, while in the third classroom, children engaged in digital storytelling and activities. Outcomes were assessed by tests of early literacy and digital literacy skills before and after the 6-week intervention. The findings showed that both storytelling conditions significantly enhanced children’s literacy and digital literacy skills. Structured storytelling activities provide a viable and valuable way to enhance literacy and digital literacy in early childhood education.",ok
Cultural intelligence increase student's innovative behavior in higher education: the mediating role of interpersonal trust,"Kistyanto, A.| Rahman, M.F.W.| Adhar Wisandiko, F.| Setyawati, E.E.P.",4.0,57188731700| 58949238400| 57223862167| 57223847576,2022.0,2022-04-21,International Journal of Educational Management,36,4,419-440,-,ISSN-0951354X,144741.0,Journal,English,0.88,37,3.6,26,0.493,39,3.14,139.0,55.0,6.04,8.94,3.0,2.0,0.0,0.0,"Kistyanto, A., Rahman, M.F.W., Adhar Wisandiko, F. and 1 more (...) (2022).Cultural intelligence increase student's innovative behavior in higher education: the mediating role of interpersonal trust. International Journal of Educational Management,36(4) 419-440",https://www.scopus.com/record/display.url?eid=2-s2.0-85106239743&origin=resultslist,10.1108/IJEM-11-2020-0510,Article,,2-s2.0-85106239743,-,Chung Yuan Christian University| Universitas Negeri Surabaya,2.0,60105082| 60029740,Universitas Negeri Surabaya| Chung Yuan Christian University,57188731700,57223847576,57188731700,-,Indonesia| Taiwan,2.0,1407| 3304,Organizational Behavior and Human Resource Management| Education,3,Social Sciences & Management,318| 308,Education & Training| Business & Management Studies,35| 41,Business and Economics| Education Studies,39| 35,"Education| Commerce, Management, Tourism And Services",-,-,-,Internationalization and Quality in Higher Education Systems,908,60.432,Cultural Intelligence and Intercultural Competence Development,17147,93.045,Very Good,"Purpose: This paper aims to explore Indonesian students' perceptions of student exchanges or studies abroad regarding cultural intelligence's influence on innovative behavior through interpersonal trust. Design/methodology/approach: This study has used a quantitative research approach. Data analysis uses an approach structural equation modeling-partial least squares (SEM-PLS) supported by program computer software Smart-PLS 3.0. An online questionnaire was distributed to 224 respondents, but only 214 were qualified. In this study, the respondent is Indonesian students who have been completed or are currently conducting student exchanges or studying abroad in the Asia and Australia region. Findings: This pilot study reveals that high cultural intelligence students positively affect their individuals' innovative behavior. Moreover, interpersonal trust levels would mediate the influence of cultural intelligence on individual innovative behavior students. These results indicate that most Indonesian citizen students who took part in student exchanges or studying abroad had high cultural intelligence. Originality/value: This study focused on influence cultural intelligence on individuals' innovative behavior, which is referred to as cross-cultural interaction. Also, this study focused on Indonesian citizen students who took part in student exchanges or studying abroad. This kind of research has not been thoroughly or even not been discussed in academic research. Therefore, it was necessary to put this issue into a science education and management science.",ok
A Fern Antipodal Vivaldi Antenna for Near-Field Microwave Imaging Medical Applications,"De Oliveira, A.M.| De Oliveira Neto, A.M.| Perotoni, M.B.| Nurhayati, N.| Baudrand, H.| De Carvalho, A.| Justo, J.F.",7.0,55202993200| 59732394000| 6506028642| 57190439932| 7007171277| 57200727015| 7006561009,2021.0,2021-12-01,IEEE Transactions on Antennas and Propagation,69,12,8816-8829,-,ISSN-0018926X,17337.0,Journal,English,1.94,7,9.4,10,2.128,5,1.28,24.0,53.0,3.25,14.16,5.0,6.0,1.0,0.0,"De Oliveira, A.M., De Oliveira Neto, A.M., Perotoni, M.B. and 4 more (...) (2021).A Fern Antipodal Vivaldi Antenna for Near-Field Microwave Imaging Medical Applications. IEEE Transactions on Antennas and Propagation,69(12) 8816-8829",https://www.scopus.com/record/display.url?eid=2-s2.0-85111042776&origin=resultslist,10.1109/TAP.2021.3096942,Article,,2-s2.0-85111042776,-,Universidade de São Paulo| Institut national polytechnique de Toulouse| Universitas Negeri Surabaya| Instituto Federal de São Paulo| Universidade Federal do ABC,5.0,60112684| 60001430| 60105082| 60030052| 60008088,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo| Universidade Federal do ABC| Universitas Negeri Surabaya| Institut National Polytechnique de Toulouse| Universidade de São Paulo",55202993200,7006561009,55202993200,-,Indonesia| France| Brazil,3.0,2208,Electrical and Electronic Engineering,2,Engineering & Technology,249| 221,Engineering - Petroleum| Engineering - Electrical & Electronic,36,Engineering,40,Engineering,4008| 4006| 4009,"Electrical engineering| Communications engineering| Electronics, sensors and digital hardware",-,Antenna Design and Wireless Power Transfer,15,85.939,Vivaldi Antenna Design for UWB Applications,14312,86.713,Definitive,"This investigation presents an oval slot edge (OSE) antipodal Vivaldi antenna (AVA), hereinafter referred to as Fern AVA (FAVA), with an optimized radiation pattern. The use of OSE provided improvements in the antenna characteristics, especially regarding a lower frequency limit reduction, an increase in the main lobe (ML) gain, and the sidelobe level (SLL) reduction. Those contrasting characteristics are simultaneously obtained through the class of the Palm Tree antennas. The proposed FAVA at 1.5 GHz shows an improved gain of 6.66 dB, -12.9 dB of SLL, and 0° of ML squint (MLS), in contrast with 4.41 dB of gain, -4.5 dB of SLL, and 4° of MLS in the conventional AVA. For the FAVA, the notches in an elliptical shape, in addition to mitigating the SLL, direct the {E} -fields distributions toward the ML, which categorizes it into the same class as the Palm Tree Vivaldi Antenna. To study the performance of the proposed antenna for medical applications of near-field microwave imaging, a conceptual proof was performed, thus obtaining the microwave image of a Child Head Phantom, homogeneous, and semirealistic, being possible to detect a brain tumor.",ok
A systematic review of photovoice as participatory action research strategies,"Suprapto, N.| Sunarti, T.| Suliyanah| Wulandari, D.| Hidayaatullaah, H.N.| Adam, A.S.| Mubarok, H.",7.0,57163917500| 57201671106| 57196087475| 57217348670| 57217176216| 57201671528| 57211415316,2020.0,2020-01-01,International Journal of Evaluation and Research in Education,9,3,675-683,-,ISSN-22528822,21100934092.0,Journal,English,0.66,53,0.9,65,0.199,76,2.24,90.0,52.0,3.01,7.64,7.0,7.0,0.0,0.0,"Suprapto, N., Sunarti, T., Suliyanah and 4 more (...) (2020).A systematic review of photovoice as participatory action research strategies. International Journal of Evaluation and Research in Education,9(3) 675-683",https://www.scopus.com/record/display.url?eid=2-s2.0-85090369808&origin=resultslist,10.11591/ijere.v9i3.20581,Article,Gold,2-s2.0-85090369808,-,National Taiwan University of Science and Technology| Universitas Negeri Surabaya,2.0,60105082| 60027709,Universitas Negeri Surabaya| National Taiwan University of Science and Technology,57163917500,57211415316,57163917500,-,Taiwan| Indonesia,2.0,3304,Education,3,Social Sciences & Management,318,Education & Training,41,Education Studies,39| 51,Education| Physical Sciences,5199| 3903| 3902,"Other physical sciences| Education systems| Education policy, sociology and philosophy",-,Visual Methods in Community Health and Engagement,1466,6.082,Photovoice as a Tool for Community Empowerment,15334,90.564,Definitive,"Photovoice research is conducted by researchers to communicate images or photographs, and it has high confidence in analyzing the value, story or meaning of an image. Several previous studies that examined photovoice as a research strategy were analyzed and reviewed. This systematic review used an article selection process. It was defining the purpose, conducting a literature search, pulling articles by reading abstracts, reading the full paper, data abstraction, and conducting an analysis. The photovoice article selection was classified into education, health, and social science domain. Finally, forty-one articles have been reviewed with the total of participants involved ranged from five to fifty individuals. The majority of research method in the articles was participatory action research (PAR) through qualitative inquiry or field visits. Meanwhile, the research instruments used photography, documentation, observation, and interviews. In various fields of research, photovoice is able to increase the understanding of individuals or groups to interpret the content of an image or photo.",ok
Effect of Contextual Collaborative Learning Based Ethnoscience to Increase Student’s Scientific Literacy Ability,"Dewi, C.A.| Erna, M.| Martini| Haris, I.| Kundera, I.N.",5.0,57205659227| 57207197571| 57201570919| 55991281600| 57205025418,2021.0,2021-01-01,Journal of Turkish Science Education,18,3,525-541,-,ISSN-13046020,17700156748.0,Journal,English,1.34,18,2.7,31,0.503,37,4.48,185.0,45.0,2.77,10.12,6.0,8.0,0.0,0.0,"Dewi, C.A., Erna, M., Martini and 2 more (...) (2021).Effect of Contextual Collaborative Learning Based Ethnoscience to Increase Student’s Scientific Literacy Ability. Journal of Turkish Science Education,18(3) 525-541",https://www.scopus.com/record/display.url?eid=2-s2.0-85116910577&origin=resultslist,10.36681/tused.2021.88,Article,Gold,2-s2.0-85116910577,-,Gorontalo State University| Riau University| Tadulako University| Universitas Negeri Surabaya,4.0,125937726| 60069417| 60105082| 60105011| 60103784,Universitas Pendidikan Mandalika| Universitas Riau| Universitas Negeri Surabaya| State University of Gorontalo| Universitas Tadulako,57205659227,57205025418,57205659227,-,Indonesia,1.0,3202| 3304,Applied Psychology| Education,3| 5,Social Sciences & Management| Life Sciences & Medicine,541| 318,Psychology| Education & Training,41| 39,Education Studies| Psychology,40| 51| 39,Engineering| Physical Sciences| Education,3903| 4010| 5199,Education systems| Engineering practice and education| Other physical sciences,-,Critical Thinking Skills in Student Learning Outcomes,1339,49.052,Integrating Local Wisdom in Science Education,25275,76.85,Very Good,"Scientific literacy is used as the primary goal in science education because it is considered to be used to prepare today’s generation. Aspects of scientific literacy consist of the concepts, processes, and attitudes of science that can be used in people’s daily lives, a picture of the success of science education carried out by each country. However, this ability has not been trained optimally through the process of learning science in Indonesia. This research aims to increase students’ scientific literacy ability through contextual collaboration learning based on ethnoscience. This study used a quasiexperimental research method with a pre-experimental design that involved pretest and posttest of one group. This research has been conducted in the Chemistry Education UNDIKMA Mataram for the number of research subjects as many as 31 students. The instrument used is multiple choice tests to measure the achievement the content and process of science students while attitude scale to measure students’ scientific attitudes. The results showed that the achievement of content, process, and science attitudes of students overall has increased in the medium category. This means that the effect of contextual collaborative learning based ethnoscience the capacity of scientific literacy in content, process, and attitude of students.",ok
Does cyberloafing and person-organization fit affect employee performance? The mediating role of innovative work behavior,"Rahman, M.F.W.| Kistyanto, A.| Surjanti, J.",3.0,58949238400| 57188731700| 57201352342,2022.0,2022-07-01,Global Business and Organizational Excellence,41,5,44-64,-,ISSN-19322054,6000195381.0,Journal,English,0.74,47,3.8,35,0.522,38,5.27,304.0,45.0,3.42,12.88,4.0,6.0,0.0,0.0,"Rahman, M.F.W., Kistyanto, A., Surjanti, J. (2022).Does cyberloafing and person-organization fit affect employee performance? The mediating role of innovative work behavior. Global Business and Organizational Excellence,41(5) 44-64",https://www.scopus.com/record/display.url?eid=2-s2.0-85126015935&origin=resultslist,10.1002/joe.22159,Article,,2-s2.0-85126015935,-,Universitas Negeri Surabaya,1.0,60105082,Universitas Negeri Surabaya,58949238400,57201352342,58949238400,-,Indonesia,1.0,1403| 1407,Business and International Management| Organizational Behavior and Human Resource Management,3,Social Sciences & Management,308,Business & Management Studies,35,Business and Economics,35,"Commerce, Management, Tourism And Services",3507| 3506| 3505,"Strategy, management and organisational behaviour| Marketing| Human resources and industrial relations",SDG 9,Emotional Labor and Job Satisfaction in Workplaces,876,87.704,Cyberloafing and Its Workplace Implications,30717,93.536,Very Good,"The aim of this study is to find out whether cyberloafing and person-organization fit has a positive effect on employee performance, and whether innovative work behavior plays a mediating role in this relationship. The study takes a quantitative approach using partial least squares structural equation modelling with data from 210 online questionnaires that were distributed to employees in the banking sector in Indonesia who had access to the internet at the workplace, and were allowed to use it for non-work activities (i.e., cyberloafing). The study shows a positive relationship between innovative work behavior, and both cyberloafing and person-organization fit. It also shows that innovative work behavior acts as a mediator between cyberloafing, person-organization fit, and employee performance. The study advances the management literature by showing how cyberloafing and person-organization fit influences employee performance through innovative work behavior, and provides new insights into the antecedents of cyberloafing. In addition, by clarifying the type of situations in which practitioners should adopt a positive or negative view towards cyberloafing, it provides guidance for those who wish to address the issue of cyberloafing and employee performance in their organization.",ok
