Data set,"Publications at Universitas Negeri Surabaya"
Year range,2020 to 2024
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,"All publication types"
Self-citations,-

Data source,Scopus
Date last updated,1 October 2025
Date exported,11 October 2025

"* In cases where the journal metric is not available for the publication year of a document, the ""closest year"" metrics are used. E.g. If the latest CiteScore percentile for a journal is from 2019, a 2020 document from that journal will display the 2019 CiteScore percentile value."

2535 publications

Dates,Some publication dates might be an approximation. Read more in https://service.elsevier.com/app/answers/detail/a_id/35535/supporthub/scival/


"Title","Authors","Number of Authors","Scopus Author Ids","Year","Full date","Scopus Source title","Volume","Issue","Pages","Article number","ISSN","Source ID","Source type","Language","SNIP (publication year)","SNIP percentile (publication year) *","CiteScore (publication year)","CiteScore percentile (publication year) *","SJR (publication year)","SJR percentile (publication year) *","Field-Weighted View Impact","Views","Citations","Field-Weighted Citation Impact","Field-Citation Average","Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile","Main patent families","Policy citations","Reference","Abstract","DOI","Publication type","Open Access","EID","PubMed ID","Institutions","Number of Institutions","Scopus Affiliation IDs","Scopus Affiliation names","Scopus Author ID First Author","Scopus Author ID Last Author","Scopus Author ID Corresponding Author","Scopus Author ID Single Author","Country/Region","Number of Countries/Regions","All Science Journal Classification (ASJC) code","All Science Journal Classification (ASJC) field name","Quacquarelli Symonds (QS) Subject area code","Quacquarelli Symonds (QS) Subject area field name","Quacquarelli Symonds (QS) Subject code","Quacquarelli Symonds (QS) Subject field name","Times Higher Education (THE) code","Times Higher Education (THE) field name","ANZSRC FoR (2020) parent code","ANZSRC FoR (2020) parent name","ANZSRC FoR (2020) code","ANZSRC FoR (2020) name","Sustainable Development Goals (2025)","Topic Cluster name","Topic Cluster number","Topic Cluster Prominence Percentile","Topic name","Topic number","Topic Prominence Percentile","Publication link to Topic strength"
"A study of artificial intelligence on employee performance and work engagement: the moderating role of change leadership","Wijayati, D.T.| Rahman, Z.| Fahrullah, A.| Rahman, M.F.W.| Arifah, I.D.C.| Kautsar, A.","6","57202647254| 57202893305| 57203846106| 58949238400| 57395409700| 57202283774","2022","2022-05-24","International Journal of Manpower","43","2","486-512","-","ISSN-01437720","20201","Journal","English","1.17","22","5.8","20","0.824","28","10.68","633","171","11.85","14.26","1","1","0","0","Wijayati, D.T., Rahman, Z., Fahrullah, A. and 3 more (...) (2022).A study of artificial intelligence on employee performance and work engagement: the moderating role of change leadership. International Journal of Manpower,43(2) 486-512","https://www.scopus.com/record/display.url?eid=2-s2.0-85122196278&origin=resultslist","10.1108/IJM-07-2021-0423","Article","","2-s2.0-85122196278","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57202647254","57202283774","57202647254","-","Indonesia","1","1405| 1407| 1408","Management of Technology and Innovation| Organizational Behavior and Human Resource Management| Strategy and Management","3","Social Sciences & Management","308","Business & Management Studies","35","Business and Economics","35","Commerce, Management, Tourism And Services","3505| 3507","Human resources and industrial relations| Strategy, management and organisational behaviour","-","Human-Robot Interaction and Emotion Recognition Advances","321","99.15","Artificial Intelligence in Decision-Making and Management","22918","99.905","Definitive"
"The role of green innovation between green market orientation and business performance: its implication for open innovation","Tjahjadi, B.| Soewarno, N.| Hariyati, H.| Nafidah, L.N.| Kustiningsih, N.| Nadyaningrum, V.","6","57191278873| 57203927339| 57211274374| 57218212743| 57215010703| 57219706297","2020","2020-12-01","Journal of Open Innovation: Technology, Market, and Complexity","6","4","1-18","173","ISSN-21998531","21100887502","Journal","English","1.37","17","3.8","7","0.459","27","5.72","232","103","6.34","6.78","3","2","0","0","Tjahjadi, B., Soewarno, N., Hariyati, H. and 3 more (...) (2020).The role of green innovation between green market orientation and business performance: its implication for open innovation. Journal of Open Innovation: Technology, Market, and Complexity,6(4) 1-18","https://www.scopus.com/record/display.url?eid=2-s2.0-85097291867&origin=resultslist","10.3390/joitmc6040173","Article","Gold|Green","2-s2.0-85097291867","-","Universitas Airlangga| Universitas Negeri Surabaya","2","60069383| 60105082","Universitas Airlangga| Universitas Negeri Surabaya","57191278873","57219706297","57191278873","-","Indonesia","1","2000| 3303| 3312","General Economics,Econometrics and Finance| Development| Sociology and Political Science","3","Social Sciences & Management","342| 315| 317","Sociology| Development Studies| Economics & Econometrics","35| 40","Business and Economics| Social Sciences","35","Commerce, Management, Tourism And Services","3507","Strategy, management and organisational behaviour","SDG 8| SDG 9","Sustainability and Corporate Responsibility in Business","499","99.346","Green Innovation Strategies for Sustainable Development","1415","99.924","Very Good"
"Systematic review of problem based learning research in fostering critical thinking skills","Anggraeni, D.M.| Prahani, B.K.| Suprapto, N.| Shofiyah, N.| Jatmiko, B.","5","57214728134| 57207944019| 57163917500| 57200100542| 57191163601","2023","2023-09-01","Thinking Skills and Creativity","49","-","-","101334","ISSN-18711871","5000154503","Journal","English","2.08","5","7.3","8","1.162","11","10.58","316","69","12.8","5.39","1","1","0","0","Anggraeni, D.M., Prahani, B.K., Suprapto, N. and 2 more (...) (2023).Systematic review of problem based learning research in fostering critical thinking skills. Thinking Skills and Creativity,49","https://www.scopus.com/record/display.url?eid=2-s2.0-85162172663&origin=resultslist","10.1016/j.tsc.2023.101334","Article","","2-s2.0-85162172663","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57214728134","57191163601","57214728134","-","Indonesia","1","3304","Education","3","Social Sciences & Management","318","Education & Training","41","Education Studies","39","Education","-","-","-","Critical Thinking Skills in Student Learning Outcomes","1339","49.052","Critical Thinking Development in Diverse Educational Contexts","836","98.691","Definitive"
"Artificial Intelligence in Education Research During the Last Ten Years: A Review and Bibliometric Study","Prahani, B.K.| Rizki, I.A.| Jatmiko, B.| Suprapto, N.| Amelia, T.","5","57207944019| 57671590500| 57191163601| 57163917500| 57195509420","2022","2022-01-01","International Journal of Emerging Technologies in Learning","17","8","169-188","-","ISSN-18688799","21100197967","Journal","English","1.24","20","5","14","0.536","30","9.18","258","59","6.66","8.71","3","2","0","1","Prahani, B.K., Rizki, I.A., Jatmiko, B. and 2 more (...) (2022).Artificial Intelligence in Education Research During the Last Ten Years: A Review and Bibliometric Study. International Journal of Emerging Technologies in Learning,17(8) 169-188","https://www.scopus.com/record/display.url?eid=2-s2.0-85129689528&origin=resultslist","10.3991/ijet.v17i08.29833","Article","Gold","2-s2.0-85129689528","-","Universitas Negeri Surabaya","1","60105082| 60190742","Universitas Negeri Surabaya| Universitas Dinamika","57207944019","57195509420","57207944019","-","Indonesia","1","2200| 3304","General Engineering| Education","3| 2","Social Sciences & Management| Engineering & Technology","318","Education & Training","36| 41","Engineering| Education Studies","39","Education","3904","Specialist studies in education","-","Adaptive Learning Systems and Student Engagement","1167","81.884","Artificial Intelligence in Educational Transformation","25185","99.87","Defensible"
"Enhancing Storytelling Activities to Support Early (Digital) Literacy Development in Early Childhood Education","Maureen, I.Y.| van der Meij, H.| de Jong, T.","3","57204580224| 55999954200| 7102297810","2020","2020-04-01","International Journal of Early Childhood","52","1","55-76","-","ISSN-00207187","19600166324","Journal","English","1.15","25","2.1","33","0.532","37","3.08","154","56","3.16","8.87","6","6","0","0","Maureen, I.Y., van der Meij, H., de Jong, T. (2020).Enhancing Storytelling Activities to Support Early (Digital) Literacy Development in Early Childhood Education. International Journal of Early Childhood,52(1) 55-76","https://www.scopus.com/record/display.url?eid=2-s2.0-85083113075&origin=resultslist","10.1007/s13158-020-00263-7","Article","Bronze|Green","2-s2.0-85083113075","-","University of Twente| Universitas Negeri Surabaya","2","60020599| 60105082","Universiteit Twente| Universitas Negeri Surabaya","57204580224","7102297810","57204580224","-","Indonesia| Netherlands","2","3204| 3304","Developmental and Educational Psychology| Education","3","Social Sciences & Management","318| 541","Education & Training| Psychology","39| 41","Psychology| Education Studies","39","Education","3904| 3901| 3903","Specialist studies in education| Curriculum and pedagogy| Education systems","SDG 4","Multimodal Literacy and Digital Storytelling in Education","1378","22.76","Digital Storytelling as a Transformative Educational Tool","8479","92.698","Defensible"
"Cultural intelligence increase student's innovative behavior in higher education: the mediating role of interpersonal trust","Kistyanto, A.| Rahman, M.F.W.| Adhar Wisandiko, F.| Setyawati, E.E.P.","4","57188731700| 58949238400| 57223862167| 57223847576","2022","2022-04-21","International Journal of Educational Management","36","4","419-440","-","ISSN-0951354X","144741","Journal","English","0.88","37","3.6","26","0.493","39","3.14","139","55","6.04","8.94","3","2","0","0","Kistyanto, A., Rahman, M.F.W., Adhar Wisandiko, F. and 1 more (...) (2022).Cultural intelligence increase student's innovative behavior in higher education: the mediating role of interpersonal trust. International Journal of Educational Management,36(4) 419-440","https://www.scopus.com/record/display.url?eid=2-s2.0-85106239743&origin=resultslist","10.1108/IJEM-11-2020-0510","Article","","2-s2.0-85106239743","-","Chung Yuan Christian University| Universitas Negeri Surabaya","2","60105082| 60029740","Universitas Negeri Surabaya| Chung Yuan Christian University","57188731700","57223847576","57188731700","-","Indonesia| Taiwan","2","1407| 3304","Organizational Behavior and Human Resource Management| Education","3","Social Sciences & Management","318| 308","Education & Training| Business & Management Studies","35| 41","Business and Economics| Education Studies","39| 35","Education| Commerce, Management, Tourism And Services","-","-","-","Internationalization and Quality in Higher Education Systems","908","60.432","Cultural Intelligence and Intercultural Competence Development","17147","93.045","Very Good"
"A Fern Antipodal Vivaldi Antenna for Near-Field Microwave Imaging Medical Applications","De Oliveira, A.M.| De Oliveira Neto, A.M.| Perotoni, M.B.| Nurhayati, N.| Baudrand, H.| De Carvalho, A.| Justo, J.F.","7","55202993200| 59732394000| 6506028642| 57190439932| 7007171277| 57200727015| 7006561009","2021","2021-12-01","IEEE Transactions on Antennas and Propagation","69","12","8816-8829","-","ISSN-0018926X","17337","Journal","English","1.94","7","9.4","10","2.128","5","1.28","24","53","3.25","14.16","5","6","1","0","De Oliveira, A.M., De Oliveira Neto, A.M., Perotoni, M.B. and 4 more (...) (2021).A Fern Antipodal Vivaldi Antenna for Near-Field Microwave Imaging Medical Applications. IEEE Transactions on Antennas and Propagation,69(12) 8816-8829","https://www.scopus.com/record/display.url?eid=2-s2.0-85111042776&origin=resultslist","10.1109/TAP.2021.3096942","Article","","2-s2.0-85111042776","-","Universidade de São Paulo| Institut national polytechnique de Toulouse| Universitas Negeri Surabaya| Instituto Federal de São Paulo| Universidade Federal do ABC","5","60112684| 60001430| 60105082| 60030052| 60008088","Instituto Federal de Educação, Ciência e Tecnologia de São Paulo| Universidade Federal do ABC| Universitas Negeri Surabaya| Institut National Polytechnique de Toulouse| Universidade de São Paulo","55202993200","7006561009","55202993200","-","Indonesia| France| Brazil","3","2208","Electrical and Electronic Engineering","2","Engineering & Technology","249| 221","Engineering - Petroleum| Engineering - Electrical & Electronic","36","Engineering","40","Engineering","4008| 4006| 4009","Electrical engineering| Communications engineering| Electronics, sensors and digital hardware","-","Antenna Design and Wireless Power Transfer","15","85.939","Vivaldi Antenna Design for UWB Applications","14312","86.713","Definitive"
"A systematic review of photovoice as participatory action research strategies","Suprapto, N.| Sunarti, T.| Suliyanah| Wulandari, D.| Hidayaatullaah, H.N.| Adam, A.S.| Mubarok, H.","7","57163917500| 57201671106| 57196087475| 57217348670| 57217176216| 57201671528| 57211415316","2020","2020-01-01","International Journal of Evaluation and Research in Education","9","3","675-683","-","ISSN-22528822","21100934092","Journal","English","0.66","53","0.9","65","0.199","76","2.24","90","52","3.01","7.64","7","7","0","0","Suprapto, N., Sunarti, T., Suliyanah and 4 more (...) (2020).A systematic review of photovoice as participatory action research strategies. International Journal of Evaluation and Research in Education,9(3) 675-683","https://www.scopus.com/record/display.url?eid=2-s2.0-85090369808&origin=resultslist","10.11591/ijere.v9i3.20581","Article","Gold","2-s2.0-85090369808","-","National Taiwan University of Science and Technology| Universitas Negeri Surabaya","2","60105082| 60027709","Universitas Negeri Surabaya| National Taiwan University of Science and Technology","57163917500","57211415316","57163917500","-","Taiwan| Indonesia","2","3304","Education","3","Social Sciences & Management","318","Education & Training","41","Education Studies","39| 51","Education| Physical Sciences","5199| 3903| 3902","Other physical sciences| Education systems| Education policy, sociology and philosophy","-","Visual Methods in Community Health and Engagement","1466","6.082","Photovoice as a Tool for Community Empowerment","15334","90.564","Definitive"
"Effect of Contextual Collaborative Learning Based Ethnoscience to Increase Student’s Scientific Literacy Ability","Dewi, C.A.| Erna, M.| Martini| Haris, I.| Kundera, I.N.","5","57205659227| 57207197571| 57201570919| 55991281600| 57205025418","2021","2021-01-01","Journal of Turkish Science Education","18","3","525-541","-","ISSN-13046020","17700156748","Journal","English","1.34","18","2.7","31","0.503","37","4.48","185","45","2.77","10.12","6","8","0","0","Dewi, C.A., Erna, M., Martini and 2 more (...) (2021).Effect of Contextual Collaborative Learning Based Ethnoscience to Increase Student’s Scientific Literacy Ability. Journal of Turkish Science Education,18(3) 525-541","https://www.scopus.com/record/display.url?eid=2-s2.0-85116910577&origin=resultslist","10.36681/tused.2021.88","Article","Gold","2-s2.0-85116910577","-","Gorontalo State University| Riau University| Tadulako University| Universitas Negeri Surabaya","4","125937726| 60069417| 60105082| 60105011| 60103784","Universitas Pendidikan Mandalika| Universitas Riau| Universitas Negeri Surabaya| State University of Gorontalo| Universitas Tadulako","57205659227","57205025418","57205659227","-","Indonesia","1","3202| 3304","Applied Psychology| Education","3| 5","Social Sciences & Management| Life Sciences & Medicine","541| 318","Psychology| Education & Training","41| 39","Education Studies| Psychology","40| 51| 39","Engineering| Physical Sciences| Education","3903| 4010| 5199","Education systems| Engineering practice and education| Other physical sciences","-","Critical Thinking Skills in Student Learning Outcomes","1339","49.052","Integrating Local Wisdom in Science Education","25275","76.85","Very Good"
"Does cyberloafing and person-organization fit affect employee performance? The mediating role of innovative work behavior","Rahman, M.F.W.| Kistyanto, A.| Surjanti, J.","3","58949238400| 57188731700| 57201352342","2022","2022-07-01","Global Business and Organizational Excellence","41","5","44-64","-","ISSN-19322054","6000195381","Journal","English","0.74","47","3.8","35","0.522","38","5.27","304","45","3.42","12.88","4","6","0","0","Rahman, M.F.W., Kistyanto, A., Surjanti, J. (2022).Does cyberloafing and person-organization fit affect employee performance? The mediating role of innovative work behavior. Global Business and Organizational Excellence,41(5) 44-64","https://www.scopus.com/record/display.url?eid=2-s2.0-85126015935&origin=resultslist","10.1002/joe.22159","Article","","2-s2.0-85126015935","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","58949238400","57201352342","58949238400","-","Indonesia","1","1403| 1407","Business and International Management| Organizational Behavior and Human Resource Management","3","Social Sciences & Management","308","Business & Management Studies","35","Business and Economics","35","Commerce, Management, Tourism And Services","3507| 3506| 3505","Strategy, management and organisational behaviour| Marketing| Human resources and industrial relations","SDG 9","Emotional Labor and Job Satisfaction in Workplaces","876","87.704","Cyberloafing and Its Workplace Implications","30717","93.536","Very Good"
