pub_index,author_name_raw,author_name_norm,author_id_raw,match_strategy,matched_dosen_name,matched_norm_name,score,candidates
0,"Wijayati, D.T.",d t wijayati,57202647254,unmatched,,,,
0,"Rahman, Z.",z rahman,57202893305,unmatched,,,,
0,"Fahrullah, A.",a fahrullah,57203846106,unmatched,,,,
0,"Rahman, M.F.W.",m f w rahman,58949238400,unmatched,,,,
0,"Arifah, I.D.C.",i d c arifah,57395409700,unmatched,,,,
0,"Kautsar, A.",a kautsar,57202283774,unmatched,,,,
1,"Tjahjadi, B.",b tjahjadi,57191278873,unmatched,,,,
1,"Soewarno, N.",n soewarno,57203927339,unmatched,,,,
1,"Hariyati, H.",hariyati,57211274374,unmatched,,,,
1,"Nafidah, L.N.",l n nafidah,57218212743,unmatched,,,,
1,"Kustiningsih, N.",n kustiningsih,57215010703,unmatched,,,,
1,"Nadyaningrum, V.",v nadyaningrum,57219706297,unmatched,,,,
2,"Anggraeni, D.M.",d m anggraeni,57214728134,unmatched,,,,
2,"Prahani, B.K.",b k prahani,57207944019,unmatched,,,,
2,"Suprapto, N.",n suprapto,57163917500,unmatched,,,,
2,"Shofiyah, N.",n shofiyah,57200100542,unmatched,,,,
2,"Jatmiko, B.",b jatmiko,57191163601,unmatched,,,,
3,"Prahani, B.K.",b k prahani,57207944019,unmatched,,,,
3,"Rizki, I.A.",i a rizki,57671590500,unmatched,,,,
3,"Jatmiko, B.",b jatmiko,57191163601,unmatched,,,,
3,"Suprapto, N.",n suprapto,57163917500,unmatched,,,,
3,"Amelia, T.",t amelia,57195509420,unmatched,,,,
4,"Maureen, I.Y.",i y maureen,57204580224,unmatched,,,,
4,"van der Meij, H.",van der meij,55999954200,unmatched,,,,
4,"de Jong, T.",t de jong,7102297810,unmatched,,,,
5,"Kistyanto, A.",a kistyanto,57188731700,unmatched,,,,
5,"Rahman, M.F.W.",m f w rahman,58949238400,unmatched,,,,
5,"Adhar Wisandiko, F.",f adhar wisandiko,57223862167,unmatched,,,,
5,"Setyawati, E.E.P.",e e p setyawati,57223847576,unmatched,,,,
6,"De Oliveira, A.M.",a m de oliveira,55202993200,unmatched,,,,
6,"De Oliveira Neto, A.M.",a m de oliveira neto,59732394000,unmatched,,,,
6,"Perotoni, M.B.",m b perotoni,6506028642,unmatched,,,,
6,"Baudrand, H.",baudrand,7007171277,unmatched,,,,
6,"De Carvalho, A.",a de carvalho,57200727015,unmatched,,,,
6,"Justo, J.F.",j f justo,7006561009,unmatched,,,,
7,"Suprapto, N.",n suprapto,57163917500,unmatched,,,,
7,"Sunarti, T.",t sunarti,57201671106,unmatched,,,,
7,Suliyanah,suliyanah,57196087475,unmatched,,,,
7,"Wulandari, D.",d wulandari,57217348670,unmatched,,,,
7,"Hidayaatullaah, H.N.",h n hidayaatullaah,57217176216,unmatched,,,,
7,"Adam, A.S.",a s adam,57201671528,unmatched,,,,
7,"Mubarok, H.",mubarok,57211415316,unmatched,,,,
8,"Dewi, C.A.",c a dewi,57205659227,unmatched,,,,
8,"Erna, M.",m erna,57207197571,unmatched,,,,
8,Martini,martini,57201570919,unmatched,,,,
8,"Haris, I.",i haris,55991281600,unmatched,,,,
8,"Kundera, I.N.",i n kundera,57205025418,unmatched,,,,
9,"Rahman, M.F.W.",m f w rahman,58949238400,unmatched,,,,
9,"Kistyanto, A.",a kistyanto,57188731700,unmatched,,,,
9,"Surjanti, J.",j surjanti,57201352342,unmatched,,,,
10,"Dewi, R.C.",r c dewi,57204963889,unmatched,,,,
10,"Rimawati, N.",n rimawati,57223340665,unmatched,,,,
10,Purbodjati,purbodjati,57223343439,unmatched,,,,
11,"Iriani, S.S.",s s iriani,57200565279,unmatched,,,,
11,"Andjarwati, A.L.",a l andjarwati,57210882993,unmatched,,,,
12,"Aini, N.S.",n s aini,57810983700,unmatched,,,,
12,"Kharisma, V.D.",v d kharisma,57204628128,unmatched,,,,
12,"Widyananda, M.H.",m h widyananda,57218510836,unmatched,,,,
12,"Murtadlo, A.A.A.",a a a murtadlo,57221725319,unmatched,,,,
12,"Probojati, R.T.",r t probojati,57219931086,unmatched,,,,
12,"Turista, D.D.R.",d d r turista,57217389770,unmatched,,,,
12,"Tamam, M.B.",m b tamam,57208204660,unmatched,,,,
12,"Jakhmola, V.",v jakhmola,36100373900,unmatched,,,,
12,"Sari, D.P.",d p sari,57192115117,unmatched,,,,
12,"Albari, M.T.",m t albari,57884649800,unmatched,,,,
12,"Pernamasari, D.",d pernamasari,57884150000,unmatched,,,,
12,"Ghifari, M.A.",m a ghifari,58084551200,unmatched,,,,
12,"Ghifari, M.R.",m r ghifari,57216500748,unmatched,,,,
12,"Mandeli, R.S.",r s mandeli,57546996000,unmatched,,,,
12,Muhardi,muhardi,57224230825,unmatched,,,,
12,"Oktavia, B.",b oktavia,25650002500,unmatched,,,,
12,"Sari, T.K.",t k sari,56589693900,unmatched,,,,
12,"Sriwahyuni, T.",t sriwahyuni,57003360600,unmatched,,,,
12,"Azhari, P.",p azhari,57884895600,unmatched,,,,
12,"Maahury, M.F.",m f maahury,57215414415,unmatched,,,,
12,"Ansori, A.N.M.",a n m ansori,57195995342,unmatched,,,,
12,"Zainul, R.",r zainul,56737195700,unmatched,,,,
13,"Suprapto, N.",n suprapto,57163917500,unmatched,,,,
