scholar_id,title,authors,journal,year,citations,link,source,dosen
N6RJilIAAAAJ,Implementasi Algoritma Fisher-Yates Shuffle Dan Fuzzy Tsukamoto Pada Game Petualangan Si Thole Berbasis Android Menggunakan Game Engine Unity,"AH Annazili, A Qoiriah","Journal of Informatics and Computer Science (JINACS) 1 (04), 188-199, 2020",2020,17,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:3fE2CSJIrl8C,scholar,"Anita Qoiriah, S.Kom., M.Kom."
N6RJilIAAAAJ,"Pelatihan Media Pembelajaran Menggunakan Canva Untuk Guru MI Al Ahmad, Krian, Sidoarjo","N Rochmawati, Y Yamasari, WI Yustanti, A Qoiriah, AN Aviana","Jurnal ABDI: Media Pengabdian Kepada Masyarakat 9 (1), 46-52, 2023",2023,16,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:M3NEmzRMIkIC,scholar,"Anita Qoiriah, S.Kom., M.Kom."
N6RJilIAAAAJ,Penerapan Metode TF-IDF dan Deep Neural Network untuk Analisa Sentimen pada Data Ulasan Hotel,"FD Adhiatma, A Qoiriah","Journal of Informatics and Computer Science (JINACS), 183-193, 2022",2022,14,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:TQgYirikUcIC,scholar,"Anita Qoiriah, S.Kom., M.Kom."
N6RJilIAAAAJ,Penerapan Algoritma Naïve Bayes dalam Klasifikasi Tingkat Kepuasan Siswa terhadap Pembelajaran Daring,"I Amillina, A Qoiriah","Jurnal Ilmiah Teknologi Informasi dan Robotika 3 (2), 2021",2021,14,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:QIV2ME_5wuYC,scholar,"Anita Qoiriah, S.Kom., M.Kom."
N6RJilIAAAAJ,Penerapan Algoritma Fp-Growth dan K-Means pada Data Transaksi Minimarket,"N Mamahit, A Qoiriah","Journal of Informatics and Computer Science (JINACS) 1 (02), 78-83, 2019",2019,14,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:5nxA0vEk-isC,scholar,"Anita Qoiriah, S.Kom., M.Kom."
N6RJilIAAAAJ,Analisis Sentimen Pengguna Platform Belajar Online Coursera menggunakan Random Forest dengan Metode Ekstraksi Fitur Word2vec,"MJ Aufa, A Qoiriah","Journal of Informatics and Computer Science (JINACS), 244-255, 2022",2022,13,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:RHpTSmoSYBkC,scholar,"Anita Qoiriah, S.Kom., M.Kom."
N6RJilIAAAAJ,Pengelompokan Kategori Buku Berdasarkan Judul Menggunakan Algoritma Agglomerative Hierarchical Clustering Dan K-Medoids,"MA Rofiq, A Qoiriah","Journal of Informatics and Computer Science (JINACS) 2 (03), 220-227, 2021",2021,13,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:-f6ydRqryjwC,scholar,"Anita Qoiriah, S.Kom., M.Kom."
N6RJilIAAAAJ,Sistem Pakar untuk Menentukan Menu Makanan Sehat pada Penderita Diabetes Mellitus,"T Lusiani, A Qoiriah","S@ CIES 5 (1), 9-23, 2014",2014,13,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:9yKSN-GCB0IC,scholar,"Anita Qoiriah, S.Kom., M.Kom."
N6RJilIAAAAJ,Sistem deteksi kesalahan tanda baca dan huruf kapital pada karya tulis ilmiah berbahasa Indonesia menggunakan algoritma Boyer-Moore,"M Ilmiyah, A Qoiriah","Journal of Informatics and Computer Science (JINACS) 2 (03), 185-193, 2021",2021,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:r0BpntZqJG4C,scholar,"Anita Qoiriah, S.Kom., M.Kom."
N6RJilIAAAAJ,Implementasi algoritma jaro-winkler distance dan N-Gram untuk deteksi dan prediksi perbaikan kesalahan penulisan kata bahasa Indonesia pada karya tulis ilmiah mahasiswa,"NC Dewi, A Qoiriah","Journal of Informatics and Computer Science (JINACS) 2 (03), 169-177, 2021",2021,11,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:4JMBOYKVnBMC,scholar,"Anita Qoiriah, S.Kom., M.Kom."
N6RJilIAAAAJ,Analisis perbandingan framework front-end JavaScript React dan Vue pada pengembangan website,"FAF Sofi'ie, A Qoiriah","Journal of Informatics and Computer Science (JINACS) 5 (02), 157-164, 2023",2023,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:maZDTaKrznsC,scholar,"Anita Qoiriah, S.Kom., M.Kom."
N6RJilIAAAAJ,Penerapan Algoritma C4. 5 Untuk Mengatur Persediaan Stok Barang Berbasis Website,"AD Saputra, A Qoiriah","Journal of Informatics and Computer Science (JINACS) 3 (04), 481-493, 2022",2022,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:hC7cP41nSMkC,scholar,"Anita Qoiriah, S.Kom., M.Kom."
N6RJilIAAAAJ,Sistem Rekomendasi Wedding Organizer Menggunakan Metode Content-Based Filtering Dengan Algoritma Random Forest Regression,"DA Pratiwi, A Qoiriah","Journal of Informatics and Computer Science (JINACS) 3 (03), 231-239, 2022",2022,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:9ZlFYXVOiuMC,scholar,"Anita Qoiriah, S.Kom., M.Kom."
N6RJilIAAAAJ,Keamanan sistem informasi,"W Yustanti, R Bisma, A Qoiriah, A Prihanto","Zifatama Jawara, 2018",2018,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:KlAtU1dfN6UC,scholar,"Anita Qoiriah, S.Kom., M.Kom."
N6RJilIAAAAJ,Predictive Maintenance untuk Kendaraan Bermotor dengan Menggunakan Support Vector Machine (SVM),"SCRH Haliza, A Qoiriah","Journal of Informatics and Computer Science (JINACS) 2 (03), 159-168, 2021",2021,9,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:j3f4tGmQtD8C,scholar,"Anita Qoiriah, S.Kom., M.Kom."
N6RJilIAAAAJ,Penjadwalan ujian akhir semester dengan algoritma genetika (studi kasus Jurusan Teknik Informatika UNESA),A Qoiriah,"Jurnal Manajemen Informatika 3 (2), 2014",2014,9,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:qjMakFHDy7sC,scholar,"Anita Qoiriah, S.Kom., M.Kom."
