scholar_author_id,title,link,citation_id,authors,publication,year,cited_by
lFCI_vsAAAAJ,Analysis of students’ computational thinking skills in solving mathematical problems based on the level of logico-mathematical intelligence,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:RGFaLdJalmkC,lFCI_vsAAAAJ:RGFaLdJalmkC,"T Kurohman, R Setianingsih, A Wintarti","AIP Conference Proceedings 3316 (1), 110030, 2025",2025,
lFCI_vsAAAAJ,Pengembangan Media Pembelajaran Matematika Berbasis Komik Elektronik Dengan Menggunakan Landbot. Io,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:GnPB-g6toBAC,lFCI_vsAAAAJ:GnPB-g6toBAC,"F Mubarok, A Wintarti","MATHEdunesa 14 (2), 611-621, 2025",2025,
lFCI_vsAAAAJ,Pelatihan Informatika Guru SMA/K di Surabaya,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:O3NaXMp0MMsC,lFCI_vsAAAAJ:O3NaXMp0MMsC,"FQ Annisa, US Nuraini, IF Kurniawan, H Prayogi, A Wintarti","Sewagati 9 (3), 776-783, 2025",2025,
lFCI_vsAAAAJ,Disposition of Mathematical Critical Thinking of High School Students In Mathematical Problem Posing on Self Confidence,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:blknAaTinKkC,lFCI_vsAAAAJ:blknAaTinKkC,"AV Mawardi, P Wijayanti, A Wintarti","Journal of Medives: Journal of Mathematics Education IKIP Veteran Semarang 8 …, 2024",2024,
lFCI_vsAAAAJ,ICT-Based Statistical Learning Design to Train Middle School Students Higher Order Thinking Skills,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:isC4tDSrTZIC,lFCI_vsAAAAJ:isC4tDSrTZIC,"NP Wahana, A Abadi","Jurnal Pendidikan MIPA 24 (4), 742-752, 2023",2023,
lFCI_vsAAAAJ,Lapisan Pemahaman Dan Folding Back Siswa Dalam Menyelesaikan Masalah Matematika Ditinjau Dari Adversity Quotient,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:bEWYMUwI8FkC,lFCI_vsAAAAJ:bEWYMUwI8FkC,"API Sari, A Abadi, A Wintarti","EDUKASIA Jurnal Pendidikan dan Pembelajaran 4 (2), 2337-2342, 2023",2023,
lFCI_vsAAAAJ,Pengembangan Game Edukasi Ksatria Aljabar Berbasis Android sebagai Suplemen Pembelajaran pada Materi Aljabar,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:iH-uZ7U-co4C,lFCI_vsAAAAJ:iH-uZ7U-co4C,"M Taufiqurrahman, A Wintarti, NR Prihartiwi","MATHEdunesa 12 (3), 898-920, 2023",2023,3
lFCI_vsAAAAJ,Pengembangan Media Pembelajaran Visual Novel “Plus And Minus” Berbasis Smartphone untuk Materi Bilangan Bulat SMP,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:r0BpntZqJG4C,lFCI_vsAAAAJ:r0BpntZqJG4C,"A Nursy, A Wintarti, NR Prihartiwi","MATHEdunesa 12 (3), 698-719, 2023",2023,11
lFCI_vsAAAAJ,The application of ethnomathematics in numeracy literacy perspective: A literature review,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:j3f4tGmQtD8C,lFCI_vsAAAAJ:j3f4tGmQtD8C,"J Munthahana, MT Budiarto, A Wintarti","Indonesian Journal of Science and Mathematics Education 6 (2), 177-191, 2023",2023,15
lFCI_vsAAAAJ,Pengembangan Media Pembelajaran Interaktif pada Materi Sistem Persamaan Linear Dua Variabel,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:4JMBOYKVnBMC,lFCI_vsAAAAJ:4JMBOYKVnBMC,"CKH Putra, A Wintarti, NR Prihartiwi","MATHEdunesa 12 (1), 313-334, 2023",2023,
lFCI_vsAAAAJ,The Development of a Flibook-Based Interactive E-Module to Facilitate Sequences and Series Learning Process for 10th-Grade,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:_Qo2XoVZTnwC,lFCI_vsAAAAJ:_Qo2XoVZTnwC,"MA Bisri, A Wintarti, S Fiangga","MATHEdunesa 12 (1), 194-206, 2023",2023,5
lFCI_vsAAAAJ,Development of Student Worksheets Electronic (E-LKPD) for Geometry Transformation Materials,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:R3hNpaxXUhUC,lFCI_vsAAAAJ:R3hNpaxXUhUC,"N Chofifah, A Wintarti","MATHEdunesa 12 (1), 92-107, 2023",2023,5
lFCI_vsAAAAJ,Development of Android-Based Learning Media on Operations of Integers,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:HDshCWvjkbEC,lFCI_vsAAAAJ:HDshCWvjkbEC,"N Afifah, A Wintarti","MATHEdunesa 12 (1), 41-54, 2023",2023,1
lFCI_vsAAAAJ,Jurnal Pendidikan MIPA,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:hMod-77fHWUC,lFCI_vsAAAAJ:hMod-77fHWUC,"SM Siahaan, EA Patriot, S Scristia, H Helen, U Kalsum, RE Putri, ...","Jurnal Pendidikan 24 (4), 2023",2023,
lFCI_vsAAAAJ,Strategic Competence of Pre-Service Mathematics Teachers in Solving Environment and Culture-Based Combinatorial Problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=lFCI_vsAAAAJ&sortby=pubdate&citation_for_view=lFCI_vsAAAAJ:TFP_iSt0sucC,lFCI_vsAAAAJ:TFP_iSt0sucC,"R Ramadhona, M Manuharawati, A Wintarti","BIO Web of Conferences 79, 10002, 2023",2023,
