id_sdm,nama_dosen,judul_kegiatan,tahun_kegiatan,jenis_kegiatan
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Pembelajaran Terintegrasi Pada Perkuliahan Metode Numerik I: Upaya Peningkatan Kualitas Struktur Logik Mahasiswa Dalam Penyelesaian Masalah Secara Numerik,2005,Prosiding seminar nasional
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Penerapan Projection Pursuit dalam Blind Source Separation,2014,Prosiding seminar nasional
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Rancang Bangun dan Evaluasi Sistem Pipeline Asinkron untuk Pengelolaan dan Analitik Data Meteorologi dan Panel Surya,2025,Prosiding seminar nasional
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Independence Detection of Gamelan Signals Using Least Square for ICA,2012,Prosiding seminar internasional
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,CONNECTEDNESS DIMENSION OF PRODUCTIVE PEDAGOGIES IN STUDENTS UNDERSTANDING TO CONCEPTS OF DIFFERENTIAL CALCULUS,2014,Prosiding seminar internasional
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Separation of gamelan instruments signal using ICA based on Projection Pursuit,2015,Prosiding seminar internasional
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Automation animal tracker using complex value neural network,2018,Prosiding seminar internasional
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Classification of Gamelan Tones Based on Fractal Analysis,2018,Prosiding seminar internasional
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Blended Learning as a Learning Strategy in the Disruptive Era,2019,Prosiding seminar internasional
e4u0fxTGIXZk6OVg1D7m069hCuRXliun1mKiHaKuuctsYHsZ27ohFYlcf9jNv9rJbQIUIQ==,Atik Wintarti,Foundation of Mathematics Courses Using Virtual Learning,2019,Prosiding seminar internasional
