id_sdm,nama_dosen,judul_kegiatan,tahun_kegiatan,jenis_kegiatan
_DWdqpLYGEcF5wIKFfIfxXy0yxFHv2Z73uyKnKa_sfYoAwIetGxDZkS_WbkDwx2Jiwep_Q==,Atik Wintarti,Chatgrambot Asisten PKM Guru Matematika,2021,Hak cipta nasional
_DWdqpLYGEcF5wIKFfIfxXy0yxFHv2Z73uyKnKa_sfYoAwIetGxDZkS_WbkDwx2Jiwep_Q==,Atik Wintarti,Edunesa,2021,Hak cipta nasional
_DWdqpLYGEcF5wIKFfIfxXy0yxFHv2Z73uyKnKa_sfYoAwIetGxDZkS_WbkDwx2Jiwep_Q==,Atik Wintarti,Pedoman Penilaian Pelaksanaan E-Learning,2021,Hak cipta nasional
_DWdqpLYGEcF5wIKFfIfxXy0yxFHv2Z73uyKnKa_sfYoAwIetGxDZkS_WbkDwx2Jiwep_Q==,Atik Wintarti,Aplikasi Tes Kepribadian Diri berbasis GUI,2023,Hak cipta nasional
_DWdqpLYGEcF5wIKFfIfxXy0yxFHv2Z73uyKnKa_sfYoAwIetGxDZkS_WbkDwx2Jiwep_Q==,Atik Wintarti,Deteksi Oktaf Pada Nada E Piano Dengan Analisis Frekuensi Dasar,2023,Hak cipta nasional
_DWdqpLYGEcF5wIKFfIfxXy0yxFHv2Z73uyKnKa_sfYoAwIetGxDZkS_WbkDwx2Jiwep_Q==,Atik Wintarti,Prediction of Cognitive and Non-Cognitive Factors on Academic Achievement of Undergraduate Students ,2023,Hak cipta nasional
_DWdqpLYGEcF5wIKFfIfxXy0yxFHv2Z73uyKnKa_sfYoAwIetGxDZkS_WbkDwx2Jiwep_Q==,Atik Wintarti,EDUNESA (Edukasi Unesa),2024,Hak cipta nasional
_DWdqpLYGEcF5wIKFfIfxXy0yxFHv2Z73uyKnKa_sfYoAwIetGxDZkS_WbkDwx2Jiwep_Q==,Atik Wintarti,Maze Programmer,2024,Hak cipta nasional
_DWdqpLYGEcF5wIKFfIfxXy0yxFHv2Z73uyKnKa_sfYoAwIetGxDZkS_WbkDwx2Jiwep_Q==,Atik Wintarti,Pelarasan Nada Sinyal Gamelan Menggunakan Machine Learning,2024,Hak cipta nasional
_DWdqpLYGEcF5wIKFfIfxXy0yxFHv2Z73uyKnKa_sfYoAwIetGxDZkS_WbkDwx2Jiwep_Q==,Atik Wintarti,Pemodelan Sinyal Gamelan Jawa Timuran Menggunakan Kecerdasan Artifisial,2024,Hak cipta nasional
_DWdqpLYGEcF5wIKFfIfxXy0yxFHv2Z73uyKnKa_sfYoAwIetGxDZkS_WbkDwx2Jiwep_Q==,Atik Wintarti,Pengenalan Nada Sinyal Gamelan menggunakan Machine Learning,2024,Hak cipta nasional
_DWdqpLYGEcF5wIKFfIfxXy0yxFHv2Z73uyKnKa_sfYoAwIetGxDZkS_WbkDwx2Jiwep_Q==,Atik Wintarti,Perangkat Lunak Pembuatan Model AI Deteksi Pelecehan Seksual Berdasarkan Data Rekaman Kamera Pengintai Menggunakan VGG Pretrain Model,2024,Hak cipta nasional
e37fpqOMM6BVBKWOrt-4bg1AdNZWSyydciROnmV24gwqysyILFTYX9_r1juJaiPoLBE_bQ==,Yuni Rosita Dewi,Perangkat Lunak Diagnosis Resiko Kesehatan Ibu Hamil Berbasis Machine Learning Dengan Mahalanobis KNN,2024,Penemuan teknologi
e37fpqOMM6BVBKWOrt-4bg1AdNZWSyydciROnmV24gwqysyILFTYX9_r1juJaiPoLBE_bQ==,Yuni Rosita Dewi,Clustering dan Penerapannya dalam Bioinformatika,2023,Hak cipta nasional
Q36xVqno8tgXBizNBQGkzyt1w_IS9SsM_J4okaJQjaHjjGlJ_CfMnXKWeKdMKeIP0bnFOA==,Hasanuddin Al-habib,Lans Well : Aplikasi Dua Arah Guna Meningkatkan Efektifitas Program Pemerintah Dalam Pemantauan Kesehatan Masyarakat Terkhusus Pada Posyandu Lansia,2024,Hasil penelitian/pemikiran yang tidak dipublikasikan
