id_sdm,nama_dosen,judul_kegiatan,tahun_kegiatan,jenis_kegiatan
_DWdqpLYGEcF5wIKFfIfxXy0yxFHv2Z73uyKnKa_sfYoAwIetGxDZkS_WbkDwx2Jiwep_Q==,Atik Wintarti,Pelatihan Informatika untuk Meningkatkan Kompetensi Guru SMA dan SMK di Surabaya,2024,Pengabdian Masyarakat
_DWdqpLYGEcF5wIKFfIfxXy0yxFHv2Z73uyKnKa_sfYoAwIetGxDZkS_WbkDwx2Jiwep_Q==,Atik Wintarti,PENGENALAN PEMROGRAMAN UNTUK SISWA SMP SEKOLAH INDONESIA CAIRO (SIC),2023,Pengabdian Masyarakat
_DWdqpLYGEcF5wIKFfIfxXy0yxFHv2Z73uyKnKa_sfYoAwIetGxDZkS_WbkDwx2Jiwep_Q==,Atik Wintarti,Pelatihan bagi Guru SMP di Kabupaten Trenggalek,2022,Pengabdian Masyarakat
_DWdqpLYGEcF5wIKFfIfxXy0yxFHv2Z73uyKnKa_sfYoAwIetGxDZkS_WbkDwx2Jiwep_Q==,Atik Wintarti,PELATIHAN PENERAPAN KOMPETENSI STRATEGIS  DALAM MEMECAHKAN MASALAH MATEMATIKA BAGI GURU SMP DI KABUPATEN TRENGGALEK,2022,Pengabdian Masyarakat
_DWdqpLYGEcF5wIKFfIfxXy0yxFHv2Z73uyKnKa_sfYoAwIetGxDZkS_WbkDwx2Jiwep_Q==,Atik Wintarti,Pelatihan Penerapan Blended Learning Menggunakan Internet of Things Bagi Guru-guru Matematika Kabupaten Jombang,2021,Pengabdian Masyarakat
_DWdqpLYGEcF5wIKFfIfxXy0yxFHv2Z73uyKnKa_sfYoAwIetGxDZkS_WbkDwx2Jiwep_Q==,Atik Wintarti,Penerapan Artificial Intelligence untuk Pelarasan Otomatis pada Industri Gamelan di Loceret-Nganjuk Saat Pandemi Covid19,2020,Pengabdian Masyarakat
e37fpqOMM6BVBKWOrt-4bg1AdNZWSyydciROnmV24gwqysyILFTYX9_r1juJaiPoLBE_bQ==,Yuni Rosita Dewi,EDUKASI MANAJEMEN STRATEGI  PEMASARAN AGROINDUSTRI KOPI DI PAGUYUBAN KOPI BON TUGU,2024,Pengabdian Masyarakat
e37fpqOMM6BVBKWOrt-4bg1AdNZWSyydciROnmV24gwqysyILFTYX9_r1juJaiPoLBE_bQ==,Yuni Rosita Dewi,Pelatihan Inovasi Bakso Lele dalam Mendukung Pencegahan Stunting di Desa Pungging,2024,Pengabdian Masyarakat
e37fpqOMM6BVBKWOrt-4bg1AdNZWSyydciROnmV24gwqysyILFTYX9_r1juJaiPoLBE_bQ==,Yuni Rosita Dewi,"PENYULUHAN POTENSI BUDIDAYA TANAMAN VANILI (VANILLA PLANIFOLIA) DALAM POLYBAG DI AREA PERKOTAAN PADAT PENDUDUK SEBAGAI PENGHASILAN TAMBAHAN MASYARAKAT DI KELURAHAN SOOKO, KECAMATAN SOOKO, KABUPATEN MOJOKERTO",2024,Pengabdian Masyarakat
e37fpqOMM6BVBKWOrt-4bg1AdNZWSyydciROnmV24gwqysyILFTYX9_r1juJaiPoLBE_bQ==,Yuni Rosita Dewi,SOSIALISAI PENINGKATAN NILAI TAMBAH PRODUK  JAMU LOKAL DESA BETRO KECAMATAN KEMLAGI  KABUPATEN MOJOKERTO,2024,Pengabdian Masyarakat
e37fpqOMM6BVBKWOrt-4bg1AdNZWSyydciROnmV24gwqysyILFTYX9_r1juJaiPoLBE_bQ==,Yuni Rosita Dewi,Sosialisasi Pembuatan Es  Cincau dari Tanaman Cyclea Barbata Miers untuk Menambah Pendapatan dan  Ketahanan Pangan Mahasiswa.,2024,Pengabdian Masyarakat
e37fpqOMM6BVBKWOrt-4bg1AdNZWSyydciROnmV24gwqysyILFTYX9_r1juJaiPoLBE_bQ==,Yuni Rosita Dewi,"Sosialisasi Pendidikan Karakter, Pengelolaan Sampah Dan Praktik Membuat Pot Guna Mendukung Program Adiwiyata di SMPN 2 Dlanggu Kabupaten Mojokerto",2024,Pengabdian Masyarakat
e37fpqOMM6BVBKWOrt-4bg1AdNZWSyydciROnmV24gwqysyILFTYX9_r1juJaiPoLBE_bQ==,Yuni Rosita Dewi,SOSIALISASI STANDAR OPERASIONAL PROSEDUR (SOP) TATA KELOLA KEPEGAWAIAN DAN ADMINISTRASI UNTUK MENINGKATKAN  KINERJA PEGAWAI,2024,Pengabdian Masyarakat
e37fpqOMM6BVBKWOrt-4bg1AdNZWSyydciROnmV24gwqysyILFTYX9_r1juJaiPoLBE_bQ==,Yuni Rosita Dewi,PEMBUATAN PUPUK ORGANIK CAIR SEBAGAI ALTERNATIF PUPUK RAMAH LINGKUNGAN DI PONDOK PESANTREN AL MUHAJIRIN,2023,Pengabdian Masyarakat
e37fpqOMM6BVBKWOrt-4bg1AdNZWSyydciROnmV24gwqysyILFTYX9_r1juJaiPoLBE_bQ==,Yuni Rosita Dewi,PENYULUHAN DAN PELATIHAN PEMBUATAN PESTISIDA BIOINSEKTISIDA RAMAH LINGKUNGAN,2023,Pengabdian Masyarakat
e37fpqOMM6BVBKWOrt-4bg1AdNZWSyydciROnmV24gwqysyILFTYX9_r1juJaiPoLBE_bQ==,Yuni Rosita Dewi,SOSIALISASI 3R DALAM KEHIDUPAN SEHARI-HARI DI SEKOLAH,2023,Pengabdian Masyarakat
e37fpqOMM6BVBKWOrt-4bg1AdNZWSyydciROnmV24gwqysyILFTYX9_r1juJaiPoLBE_bQ==,Yuni Rosita Dewi,PEMBUATAN MEDIA TANAM INOVATIF DARI BAHAN YANG BELUM TERMANFAATKAN,2022,Pengabdian Masyarakat
e37fpqOMM6BVBKWOrt-4bg1AdNZWSyydciROnmV24gwqysyILFTYX9_r1juJaiPoLBE_bQ==,Yuni Rosita Dewi,Pendampingan Greenhouse Reborn untuk Balongmojo Lestari,2022,Pengabdian Masyarakat
jgFNA7PEfzaOo2gWwdHj25i-_m9NI-R2aMvOPVD6wyT0LnL8083X6jg7lqxdA5Ag76l3SA==,Ulfa Siti Nuraini,APLIKASI PEMANTAUAN KESEHATAN KELUARGA BERBASIS ANDROID DI PUSKESMAS TERPADU,2025,Pengabdian Masyarakat
jgFNA7PEfzaOo2gWwdHj25i-_m9NI-R2aMvOPVD6wyT0LnL8083X6jg7lqxdA5Ag76l3SA==,Ulfa Siti Nuraini,Pelatihan Informatika untuk Meningkatkan Kompetensi Guru SMA dan SMK di Surabaya,2024,Pengabdian Masyarakat
jgFNA7PEfzaOo2gWwdHj25i-_m9NI-R2aMvOPVD6wyT0LnL8083X6jg7lqxdA5Ag76l3SA==,Ulfa Siti Nuraini,PENGOLAHAN DAN VISUALISASI DATA SEBAGAI PENUNJANG PENINGKATAN PENDIDIKAN MENGGUNAKAN MICROSOFT EXCEL,2024,Pengabdian Masyarakat
Q36xVqno8tgXBizNBQGkzyt1w_IS9SsM_J4okaJQjaHjjGlJ_CfMnXKWeKdMKeIP0bnFOA==,Hasanuddin Al-habib,APLIKASI PEMANTAUAN KESEHATAN KELUARGA BERBASIS ANDROID DI PUSKESMAS TERPADU,2025,Pengabdian Masyarakat
Q36xVqno8tgXBizNBQGkzyt1w_IS9SsM_J4okaJQjaHjjGlJ_CfMnXKWeKdMKeIP0bnFOA==,Hasanuddin Al-habib,PENGOLAHAN DAN VISUALISASI DATA SEBAGAI PENUNJANG PENINGKATAN PENDIDIKAN MENGGUNAKAN MICROSOFT EXCEL,2024,Pengabdian Masyarakat
Q36xVqno8tgXBizNBQGkzyt1w_IS9SsM_J4okaJQjaHjjGlJ_CfMnXKWeKdMKeIP0bnFOA==,Hasanuddin Al-habib,PENGENALAN PEMROGRAMAN UNTUK SISWA SMP SEKOLAH INDONESIA CAIRO (SIC),2023,Pengabdian Masyarakat
oAbdx4UbPNaZnlHK8sAwHNehEm-chglIGGvoxX5CCosAfCZzzAkDaEQgOuSWP498ckFobQ==,Ibnu Febry Kurniawan,APLIKASI PEMANTAUAN KESEHATAN KELUARGA BERBASIS ANDROID DI PUSKESMAS TERPADU,2025,Pengabdian Masyarakat
oAbdx4UbPNaZnlHK8sAwHNehEm-chglIGGvoxX5CCosAfCZzzAkDaEQgOuSWP498ckFobQ==,Ibnu Febry Kurniawan,Pelatihan Informatika untuk Meningkatkan Kompetensi Guru SMA dan SMK di Surabaya,2024,Pengabdian Masyarakat
oAbdx4UbPNaZnlHK8sAwHNehEm-chglIGGvoxX5CCosAfCZzzAkDaEQgOuSWP498ckFobQ==,Ibnu Febry Kurniawan,Pemanfaatan Google Apps For Education (GAFE) untuk kolaborasi Onlene antar Guru di SMK Negeri 2 Magetan.,2019,Pengabdian Masyarakat
oAbdx4UbPNaZnlHK8sAwHNehEm-chglIGGvoxX5CCosAfCZzzAkDaEQgOuSWP498ckFobQ==,Ibnu Febry Kurniawan,Pemanfaatan Google Apps for Education (GAFE) untuk Kolaborasi Online antar Guru di SMK Negeri 2 Magetan,2019,Pengabdian Masyarakat
