dosen,scholar_id,title,authors,journal,year,citations,link
Bambang Sujatmiko,qtFw9UMAAAAJ,Penelitian kepustakaan (library research) modul pembelajaran berbasis augmented reality pada pembelajaran siswa,"RF Pringgar, B Sujatmiko","IT-Edu: Jurnal Information Technology and Education 5 (01), 317-329, 2020",2020,437,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=qtFw9UMAAAAJ&pagesize=100&citation_for_view=qtFw9UMAAAAJ:JV2RwH3_ST0C
Endryansyah,9BWyE0UAAAAJ,Pengendalian Suhu Air Nutrisi Pada Hidroponik NFT (Nutrient Film Technique) Berbasis Fuzzy Logic Controller,"I Asmbangnirwana, E Endryansyah, PW Rusimamto, MS Zuhrie","Jurnal Teknik Elektro 11 (1), 108-116, 2022",2022,304,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:hqOjcs7Dif8C
Yuliani Puji Astuti,Tz8EfXcAAAAJ,Pengembangan lembar kerja siswa (LKS) berbasis pendekatan inkuiri terbimbing dalam pembelajaran kooperatif pada materi kalor,"Y Astuti, B Setiawan","Jurnal pendidikan ipa indonesia 2 (1), 2013",2013,276,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Tz8EfXcAAAAJ&pagesize=100&citation_for_view=Tz8EfXcAAAAJ:L8Ckcad2t8MC
Bambang Suprianto,j8HRV1wAAAAJ,Aplikasi sensor ultrasonik untuk deteksi posisi jarak pada ruang menggunakan arduino uno,B Arsada,"Jurnal Teknik Elektro 6 (2), 2017",2017,226,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=j8HRV1wAAAAJ&pagesize=100&citation_for_view=j8HRV1wAAAAJ:ufrVoPGSRksC
Rina Harimurti,2DniQ8EAAAAJ,Pengaruh penerapan tools google classroom pada model pembelajaran project based learning terhadap hasil belajar siswa,DBP Pradana,"IT-Edu: Jurnal Information Technology and Education 2 (1), 2017",2017,218,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:HDshCWvjkbEC
Lusia Rakhmawati,nWPONc8AAAAJ,Pengembangan media pembelajaran berbasis flip book maker pada mata pelajaran elektronika dasar di SMK Negeri 1 Sampang,"MS Hidayatullah, L Rakhmawati","Jurnal Pendidikan Teknik Elektro 5 (1), 83-88, 2016",2016,187,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nWPONc8AAAAJ&pagesize=100&citation_for_view=nWPONc8AAAAJ:u-x6o8ySG0sC
Naim Rochmawati,8wFXNjYAAAAJ,Klasifikasi citra buah menggunakan convolutional neural network,"FF Maulana, N Rochmawati","Journal of Informatics and Computer Science (JINACS) 1 (02), 104-108, 2019",2019,162,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8wFXNjYAAAAJ&pagesize=100&citation_for_view=8wFXNjYAAAAJ:aqlVkmm33-oC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Penerapan PIECES Framework sebagai Evaluasi Tingkat Kepuasan Mahasiswa terhadap Penggunaan Sistem Informasi Akademik Terpadu (SIAKADU) pada Universitas Negeri Surabaya,"NKA Putri, AD Indriyanti","Journal of Emerging Information System and Business Intelligence (JEISBI) 2 …, 2021",2021,146,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:9ZlFYXVOiuMC
Endryansyah,9BWyE0UAAAAJ,Keefektifan dan kepraktisan media pembelajaran menggunakan adobe flash player,"HF Milala, Endryansyah, Joko, AI Agung","Jurnal Pendidikan Teknik Elektro 11 (2), 195-202, 2022",2022,135,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:b0M2c_1WBrUC
Lilik Anifah,6MXDzBQAAAAJ,Pengaruh model pembelajaran blended learning dan motivasi belajar terhadap hasil belajar siswa kelas VIII SMPN 1 Gumukmas,N Khoiroh,"Jurnal Penelitian Ilmu Pendidikan 10 (2), 97-110, 2017",2017,132,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:uLbwQdceFCQC
Rina Harimurti,2DniQ8EAAAAJ,The design and implementation of an educational multimedia interactive operation system using Lectora Inspire,SC Wibawa,"Elinvo (Electronics, Informatics, and Vocational Education) 2 (1), 74-79, 2017",2017,108,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:QIV2ME_5wuYC
Yeni Anistyasari,IJIEntMAAAAJ,The Design And Implementation Of An Educational Multimedia Interactive Operation System Using Lectora Inspire,SC Wibawa,"Elinvo (Electronics, Informatics, and Vocational Education) 2 (1), 74-79, 2017",2017,108,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:ZeXyd9-uunAC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Perancangan User Interface dan User Experience Aplikasi Medical Tourism Indonesia Berbasis Mobile Menggunakan Metode User Centered Design (UCD)(Studi Kasus: PT Cipta Wisata Medika),"S Ernawati, AD Indriyanti","Journal of Emerging Information System and Business Intelligence (JEISBI) 3 …, 2022",2022,98,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:GnPB-g6toBAC
Yeni Anistyasari,IJIEntMAAAAJ,Mesin Oven Pengering Cerdas Berbasis Internet of Things (IoT),"E Hariadi, Y Anistyasari, MS Zuhrie, RE Putra","Indonesian Journal of Engineering and Technology (INAJET) 2 (1), 18-23, 2019",2019,92,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:_xSYboBqXhAC
Lusia Rakhmawati,nWPONc8AAAAJ,Pengembangan Media Pembelajaran Interaktif Berbasis Articulate Storyline Pada Mata Diklat Teknik Elektronika Dasar Di Smk Negeri 1 Jetis Mojokerto,"S Yumini, L Rakhmawati","Jurnal Pendidikan Teknik Elektro 4 (3), 845-849, 2015",2015,88,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nWPONc8AAAAJ&pagesize=100&citation_for_view=nWPONc8AAAAJ:qxL8FJ1GzNcC
Nurhayati,AYI1rosAAAAJ,A fern antipodal vivaldi antenna for near-field microwave imaging medical applications,"AM De Oliveira, AM de Oliveira Neto, MB Perotoni, N Nurhayati, ...","IEEE Transactions on antennas and propagation 69 (12), 8816-8829, 2021",2021,86,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AYI1rosAAAAJ&pagesize=100&citation_for_view=AYI1rosAAAAJ:R22Rs3tN8aoC
Lusia Rakhmawati,nWPONc8AAAAJ,A recent survey of self-embedding fragile watermarking scheme for image authentication with recovery capability,"L Rakhmawati, W Wirawan, S Suwadi","EURASIP Journal on Image and Video Processing 2019, 1-22, 2019",2019,85,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nWPONc8AAAAJ&pagesize=100&citation_for_view=nWPONc8AAAAJ:k_IJM867U9cC
Lilik Anifah,6MXDzBQAAAAJ,A new approach to classify knee osteoarthritis severity from radiographic images based on CNN-LSTM method,"RT Wahyuningrum, L Anifah, IKE Purnama, MH Purnomo","2019 IEEE 10th International Conference on Awareness Science and Technology …, 2019",2019,76,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:hFOr9nPyWt4C
Lilik Anifah,6MXDzBQAAAAJ,Osteoarthritis classification using self organizing map based on gabor kernel and contrast-limited adaptive histogram equalization,"L Anifah, IKE Purnama, M Hariadi, MH Purnomo","The open biomedical engineering journal 7, 18, 2013",2013,75,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:Y0pCki6q_DkC
Naim Rochmawati,8wFXNjYAAAAJ,Analisa Learning Rate dan Batch Size pada Klasifikasi Covid Menggunakan Deep Learning dengan Optimizer Adam,"N Rochmawati, HB Hidayati, Y Yamasari, HPA Tjahyaningtijas, ...","JIEET (Journal of Information Engineering and Educational Technology) 5 (2 …, 2021",2021,70,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8wFXNjYAAAAJ&pagesize=100&citation_for_view=8wFXNjYAAAAJ:mVmsd5A6BfQC
Muhammad Hakiki,2LbFMrAAAAAJ,Exploring the impact of using Chat-GPT on student learning outcomes in technology learning: The comprehensive experiment,"M Hakiki, R Fadli, AD Samala, A Fricticarani, P Dayurni, K Rahmadani, ...","Advances in Mobile Learning Educational Research 3 (2), 859-872, 2023",2023,70,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2LbFMrAAAAAJ&pagesize=100&citation_for_view=2LbFMrAAAAAJ:RGFaLdJalmkC
Unit Three Kartini,S6IJ51cAAAAJ,k-Nearest Neighbor Neural Network Models for Very Short-Term Global Solar Irradiance Forecasting Based on Meteorological Data,"CR Chen, U Three Kartini","Energies 10 (2), 186, 2017",2017,70,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=S6IJ51cAAAAJ&pagesize=100&citation_for_view=S6IJ51cAAAAJ:u5HHmVD_uO8C
Lusia Rakhmawati,nWPONc8AAAAJ,Covid symptom severity using decision tree,"N Rochmawati, HB Hidayati, Y Yamasari, W Yustanti, L Rakhmawati, ...","2020 Third international conference on vocational education and electrical …, 2020",2020,69,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=nWPONc8AAAAJ&pagesize=100&citation_for_view=nWPONc8AAAAJ:GnPB-g6toBAC
Yeni Anistyasari,IJIEntMAAAAJ,Covid Symptom Severity Using Decision Tree,"N Rochmawati, HB Hidayati, Y Yamasari, W Yustanti, L Rakhmawati, ...","2020 Third International Conference on Vocational Education and Electrical …, 2020",2020,69,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:maZDTaKrznsC
Naim Rochmawati,8wFXNjYAAAAJ,Covid symptom severity using decision tree,"N Rochmawati, HB Hidayati, Y Yamasari, W Yustanti, L Rakhmawati, ...","2020 third international conference on vocational education and electrical …, 2020",2020,69,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8wFXNjYAAAAJ&pagesize=100&citation_for_view=8wFXNjYAAAAJ:4TOpqqG69KYC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Analisis Pengaruh Technology Readiness terhadap Perceived Usefulness dan Perceived Ease of Use terhadap Behavioral Intention dari Quick Response Indonesian Standard (QRIS …,"SN Faizani, AD Indriyanti","Journal of Emerging Information System and Business Intelligence (JEISBI) 2 …, 2021",2021,66,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:mVmsd5A6BfQC
Aries Dwi Indriyanti,Jzuk6doAAAAJ,Penggunaan metode heuristic evaluation sebagai analisis evaluasi user interface dan user experience pada aplikasi bca mobile,"M Subhan, AD Indriyanti","Journal of Emerging Information Systems and Business Intelligence 2 (3), 30-37, 2021",2021,64,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jzuk6doAAAAJ&pagesize=100&citation_for_view=Jzuk6doAAAAJ:7PzlFSSx8tAC
Yeni Anistyasari,IJIEntMAAAAJ,Studi Literatur Analisis Kelebihan dan Kekurangan LMS Terhadap Pembelajaran Berbasis Proyek pada Mata Pelajaran Pemrograman Web di SMK,"L Sulistyorini, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 5 (01), 171-181, 2020",2020,58,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:k_IJM867U9cC
