title,authors,scopus author ids,year,scopus source title,language,citescore (publication year),citescore percentile (publication year) *,sjr (publication year),times higher education (the) field name,abstract_x,abstract_y,doi,publication type,open access,country/region,institutions,infokom_author_names,infokom_author_scopus_ids,has_infokom_author,keyword
Covid Symptom Severity Using Decision Tree,"Rochmawati, N.| Hidayati, H.B.| Yamasari, Y.| Yustanti, W.| Rakhmawati, L.| Tjahyaningtijas, H.P.A.| Anistyasari, Y.",57195258934| 57194159504| 57193733535| 57200569216| 57200562830| 58028094300| 53263227700,2020,"Proceeding - 2020 3rd International Conference on Vocational Education and Electrical Engineering: Strengthening the framework of Society 5.0 through Innovations in Education, Electrical, Engineering and Informatics Engineering, ICVEE 2020",English,-,-,-,Computer Science| Education Studies| Engineering,https://www.scopus.com/record/display.url?eid=2-s2.0-85096704704&origin=resultslist,"Corona is a very contagious virus. In a pandemic like this, people often worry whether they are infected or not. When they cough, they often worry whether it is a sign of covid-19 or an ordinary cough. From the clinical symptoms can actually be known whether someone has Covid or not. In thisstudy, a clinical symptom dataset will be used to classify the symptoms using a Decision Tree algorithm. The decision trees used in this research are J48 and Hoeffding Tree. Decision Tree is one of the most popular classification methods because it is easy to interpret by Humans. the prediction model uses a hierarchical structure. The concept is to convert data into decision trees or decision rules. the result of J48 were slightly better than the Hoeffding tree in terms of accuracy, precision, and recall. Meanwhile, from the tree view results, the Hoeffding Tree is simpler and the numberof nodes is less than J48.",10.1109/ICVEE50212.2020.9243246,Conference Paper,Bronze,Indonesia,Universitas Airlangga| Universitas Negeri Surabaya,Lusia Rakhmawati|Yeni Anistyasari,57200562830|53263227700,TRUE,corona; corona; covid; covid-19; decision rules; decision tree; prediction; symptoms
Autonomous Robotic in Agriculture: A Review,"Rahmadian, R.| Widyartono, M.",57201853815| 57201863232,2020,"Proceeding - 2020 3rd International Conference on Vocational Education and Electrical Engineering: Strengthening the framework of Society 5.0 through Innovations in Education, Electrical, Engineering and Informatics Engineering, ICVEE 2020",English,-,-,-,Engineering| Education Studies| Computer Science,https://www.scopus.com/record/display.url?eid=2-s2.0-85096641143&origin=resultslist,"The development of modern technology has brought the Robotic system to the Agricultural sectorthat helps to increase productivity and efficiency. Numerous research has been conducted to improvethe capability of the robots in assisting agricultural operation that leads to the development of autonomous robots in Agriculture. Thus, this development provides an option of reducing errors and/or inefficiency caused by humans, as well as reducing the operators and workers for farming operations. This paper review three important developments that guide researchers for the future development of autonomous robotic in agriculture. The first important development is navigation, which includes the uses of GPS technology and vision-based navigation to guide the robot through the agricultural fields. The second is the development of harvesting systems on the robot that describes sensors uses for harvesting, and actuators to control harvesting devices. The third development is a soil analysis system that gives farmer information about the condition of the land. Successful research and applications are presented. Additional research and development are needed to bring this technology to developing countries, in which technology is rarely used in the agricultural area.",10.1109/ICVEE50212.2020.9243253,Conference Paper,,Indonesia,Universitas Negeri Surabaya,,,FALSE,Autonomous Navigation; Harvesting System; Precision Agriculture; Robot Agriculture.; Soil Analysis
Multiplane Convolutional Neural Network (Mp-CNN) for Alzheimer’s Disease Classification,"Angkoso, C.V.| Tjahyaningtijas, H.P.A.| Purnomo, M.H.| Purnama, I.K.E.",57191037824| 58028094300| 6602604153| 35794232900,2022,International Journal of Intelligent Engineering and Systems,English,2.5,44,0.303,Computer Science| Engineering,https://www.scopus.com/record/display.url?eid=2-s2.0-85123546916&origin=resultslist,"One of the objectives of medical imaging research is to develop an effective and reliable clinical support tool for the early detection of various neurological conditions in patients such as Alzheimer's Disease (AD).Classification based on three-dimensional (3D) MRI (Magnetic-Resonance-Imaging) images have shown a goodperformance. However, solving 3D object classification as a 3D object using classical machine learning or deeplearning is computationally high. 3D images from MRI can be reconstructed into three depth directions: axial, coronal,and sagittal. However, the multi-view-based method cannot explore the content of each image slice for all planes in3D-MRI. Our study proposes a multiplane method by using three two-dimensional (2D) CNNs to capturediscriminatory information on all available planes. Our method is a new fusion strategy to deal with the disadvantagesof shape-based multi-view techniques. Our framework selects three slices: the three largest 3-planes to represent whole3D-MRI objects as multi-2DCNN inputs. Extensive experiments have shown that the proposed method can outperformthe 2DCNN method, which uses only one plane. More importantly, by taking full advantage of 2DCNN, we offer anew method for identifying 3D objects that is both easy and efficient. We called this new architecture MultiplaneConvolutional Neural Network (Mp-CNN) since it used multiple inputs in its design. We evaluated the proposedmethod using T1-weighted structural MRI data consisting of 500 AD, 500 Mild Cognitive Impairment (MCI), and 500Normal Cognition (NC) subjects collected from the MRI database of Alzheimer's Disease Neuroimaging Initiative(ADNI). From the performed experiments, the proposed method achieves 93% accuracy for multiclass AD-MCI-NCand good precision AD 93%, MCI 91%, and NC 95%, respectively. Our study also demonstrates that the proposedmultiplane approach outperforms the single-plane approach",10.22266/IJIES2022.0228.30,Article,Bronze,Indonesia,Institut Teknologi Sepuluh Nopember| Universitas Negeri Surabaya| University of Trunojoyo Madura,,,FALSE,Alzheimer’s disease; Alzheimer’s disease neuroimaging initiative; Convolutional neural network; Multiplane
Blind robust image watermarking based on adaptive embedding strength and distribution of quantified coefficients,"Rakhmawati, L.| Wirawan, W.| Suwadi, S.| Delpha, C.| Duhamel, P.",57200562830| 7409815140| 35975312300| 6601927632| 23066670400,2022,Expert Systems with Applications,English,12.6,4,1.873,Engineering| Computer Science,https://www.scopus.com/record/display.url?eid=2-s2.0-85115437278&origin=resultslist,"The image watermarking technique is a reliable method for protecting digital image rights. The most widely used digital imaging format is the JPEG (joint photographic expert's group). This paper proposes a novel reversible robust watermarking scheme based on the JPEG image. In JPEG image, quantified Discrete Cosine Transform (DCT) coefficients with varying frequency provide varied capacities and embedding deformities. To minimize total distortion for the watermarked image, we adaptively select embedding strengths and coefficients from effective frequency selection that produce less embedding distortions. Then, by weighting the difference between the quantified DCT coefficient and the DCT coefficient on the block, an advanced block selection strategy is used to the corresponding distortion, which are produced from the whole quantified alternating current (AC) shift capacity and half of the insertion capacity. The experimental results show that the proposed method can maintain good visual quality while requiring little bitstream expansion and is robust to geometrical and image processing attacks.",10.1016/j.eswa.2021.115906,Article,,Indonesia| France,Institut Teknologi Sepuluh Nopember| CNRS| CentraleSupélec| Universitas Negeri Surabaya| Université Paris-Saclay,Lusia Rakhmawati,57200562830,TRUE,Copyright protection; Discrete Cosine Transform; Robust watermarking
A Novel Improved Sea-Horse Optimizer for Tuning Parameter Power System Stabilizer,"Aribowo, W.",57216862548,2023,Journal of Robotics and Control (JRC),English,6.3,26,0.361,Computer Science| Engineering,https://www.scopus.com/record/display.url?eid=2-s2.0-85147497594&origin=resultslist,"Power system stabilizer (PSS) is applied to dampen system oscillations so that the frequency does not deviate beyond tolerance. PSS parameter tuning is increasingly difficult when dealing with complex and nonlinear systems. This paper presents a novel hybrid algorithm developed from incorporating chaotic maps into the sea-horse optimizer. The algorithm developed is called the chaotic sea-horse optimizer (CSHO). The proposed method is adopted from the metaheuristic method, namely the sea-horse optimizer (SHO). The SHO is a method that duplicates the life of a sea-horse in the ocean when it moves, looks for prey and breeds. In This paper, The CSHO method is used to tune the power system stabilizer parameters on a single machine system. The proposed method validates the benchmark function and performance on a single machine system against transient response. Several metaheuristic methods are used as a comparison to determine the effectiveness and efficiency of the proposed method. From the research, it was found that the application of the logistics Tent map from the chaotic map showed optimal performance. In addition, the application of the PSS shows effective and efficient performance in reducing overshoot in transient conditions.",10.18196/jrc.v4i1.16445,Article,Gold,Indonesia,Universitas Negeri Surabaya,,,FALSE,Chaotic sea-horse optimizer; Metaheuristic; Power system; Power system stabilizer; Smib
Severity classification of non-proliferative diabetic retinopathy using convolutional support vector machine,"Putra, R.E.| Tjandrasa, H.| Suciati, N.",56038565900| 55943564300| 24825315200,2020,International Journal of Intelligent Engineering and Systems,English,1.9,45,0.187,Computer Science| Engineering,https://www.scopus.com/record/display.url?eid=2-s2.0-85089462225&origin=resultslist,"Diabetic retinopathy is the principle disease that can make blindness. The early stage of diabetic retinopathy is Non-Proliferative Diabetic Retinopathy, which is splitted into three levels namely mild, moderate, and severe. This research is conducted to classify data on Base21, Base 13, and Base 12 from the Messidor database into 2 classes (mild, severe) and 3 classes (mild, moderate, severe). This research is useful for minimizing the funds spent and can be a breakthrough for people who has diabetic retinopathy that lack the hospital diagnosing funds. There are five stages in this research, those are pre-processing, image enhancement, feature extraction, feature reduction, and classification. The pre-processing step consists of cropping and resizing data, then the image is enhanced using Contrast Limited Adaptive Histogram Equalization, Morphology Contrast Enhancement, and Homomorphic. The results of the image enhancement are used as the inputs to the feature extraction layer which in this study uses the GoogLeNet, ResNet18, ResNet50, and ResNet101. Then the data is reduced using the Principle Component Analysis and Relief before entering the classification layer. The Support Vector Machine-Naive Bayes is used to replace the fully connected layer in Convolutional Neural Network to speed up and to optimize the classification process. The best results from the experiments are obtained by the Homomorphic, ResNet50, and Relief before entering to the Support Vector Machine-Naive Bayes. The Homomorphic obtains 85.87% accuracy, ResNet50 can achieve 86.76% accuracy, and the Relief can reach 89.12% accuracy.",10.22266/IJIES2020.0831.14,Article,Bronze,Indonesia,Institut Teknologi Sepuluh Nopember| Universitas Negeri Surabaya,,,FALSE,Convolutional neural network; Filtering; Non-proliferative diabetic retinopathy classification; Support vector machine
Brain Tumor Classification in MRI Images Using En-CNN,"Tjahyaningtijas, H.P.A.| Rumala, D.J.| Angkoso, C.V.| Fanani, N.Z.| Santoso, J.| Sensusiati, A.D.| Ooijen, P.M.A.V.| Ketut Eddy Purnama, I.K.E.| Purnomo, M.H.",58028094300| 57221634805| 57191037824| 56596755200| 55734347745| 57195511114| 6603795715| 35794232900| 6602604153,2021,International Journal of Intelligent Engineering and Systems,English,2,47,0.282,Engineering| Computer Science,https://www.scopus.com/record/display.url?eid=2-s2.0-85109189048&origin=resultslist,"Brain tumors are among the most common diseases of the central nervous system and are harmful. Early diagnosis is essential for patient proper treatment. Radiologists need an automated system to identify brain tumor images successfully. The identification process is often a tedious and error-prone task. Furthermore, brain tumor binary classification is often characterized by malignant and benign because it involves multi-sequence MRI (T1, T2, T1CE, and FLAIR), making radiologist's work quite challenging. Recently, several classification methods based on deep learning are being used to classify brain tumors. Each model's performance is highly dependent on the CNN architecture used. Due to the complexity of the existing CNN architecture, hyperparameter tuning becomes a problem in its application. We propose a CNN method called en-CNN to overcome this problem. This method is based on VGG-16 that consists of seven convolutional networks, four ReLU, and four max-pooling. The proposed method is used to facilitate the hyperparameter tuning. We also proposed a new approach in which the classification of brain tumors is done directly without priorly doing the segmentation process. The new approach consists of the following stages: preprocessing, image augmentation, and applying the en-CNN method. Our new approach is also doing the classification using four MRI sequences of T1, T1CE, T2, and FLAIR. The proposed method delivers accuracy on the MRI multi-sequence BraTS 2018 dataset with an accuracy of 95.5% for T1, 95.5% for T1CE, 94% for T2, and 97% for FLAIR with mini-batch size 128 and epoch 200 using ADAM optimizer. The accuracy was 4% higher than previous research in the same dataset.",10.22266/ijies2021.0831.38,Article,Bronze|Green,Indonesia| Netherlands,Institut Teknologi Sepuluh Nopember| Universitas Airlangga| Jember State Polytechnic| University of Groningen| University of Trunojoyo Madura| Universitas Negeri Surabaya,,,FALSE,A brain tumor; Data augmentation; Deep learning; Hyperparameter
Intelligent Control of Power System Stabilizer Based on Archimedes Optimization Algorithm – Feed Forward Neural Network,"Aribowo, W.| Muslim, S.| Suprianto, B.| Haryudo, S.I.| Hermawan, A.C.",57216862548| 57188724366| 8215287000| 57202236759| 57223403623,2021,International Journal of Intelligent Engineering and Systems,English,2,47,0.282,Computer Science| Engineering,https://www.scopus.com/record/display.url?eid=2-s2.0-85105777251&origin=resultslist,"A power system is a collection of equipment that has characteristics. Power system stability is maintaining how the system can return to its position. Power system stabilizer (PSS) is a device used to maintain the stability of the power system due to load changes. The archimedes optimization algorithm (AOA) is a metaheuristic method based on the force that occurs in the fluid due to a load. The method is based on the laws of physics. A neural network is a concept to duplicate the work function of the human brain. In this study, the archimedes optimization algorithm (AOA) will be proposed to improve the performance of the feed forward neural network (FFNN). This hybrid method is called AOA-NN. The hybrid method is used to improve the performance of power system stabilizers. To test the ability and effectiveness of the AOA-NN method, a comparison with the conventional PSS, feed-forward neural network (FFNN), Cascade-forward neural network (CFNN), Distributed time-delay neural network (DTDNN) and Sine Tree-Seed Algorithm – Feed-forward Neural network (STSA-NN) method are applied. From the research, it can be concluded that the method proposed by AOA-NN has the best ability. The AOA-NN method has the ability to reduce the overshoot speed with an average value of 85.43972% and the overshoot rotor angle with an average value of 38.9278%.",10.22266/ijies2021.0630.05,Article,Bronze,Indonesia,Universitas Negeri Surabaya,Subuh Isnur Haryudo,57202236759,TRUE,Archimedes optimization algorithm; Feed-forward neural network; Metaheuristic; Nature inspired algorithms; Power system stabilizer
Design of Children’s Motor Training Tools Using Sensor-Based Agility Components in Physical Education Learning,"Komaim, A.| Hermanzoni| Handayani, S.G.| Rifki, M.S.| Kiram, Y.| Ayubi, N.",57193789399| 57216223976| 57535863500| 57215087756| 57202287440| 57537497000,2022,International Journal of Interactive Mobile Technologies,English,4.2,40,0.409,Computer Science,https://www.scopus.com/record/display.url?eid=2-s2.0-85126678983&origin=resultslist,"The This study aims to design a motor skill training tool for children using sensor-based agility components in pgysical education learning. This study uses a research and development design. the materials used are Arduino, Connector, LED, Sensor tool, Power button, and Tool cover. After the product design is made, Collecting research data by conducting direct interviews with experts. it will then be validated by a competent expert. In this study, we asked for validation from three experts, namely: (1) evaluation and exercise evaluation (2) instrumentation physicist (3) motor skills expert. Collecting research data by conducting direct interviews with experts. Based on the expert validation test, the design of skill training tools using sensor-based agility components gets effective results, so that they can be used to carry out motor skills exercises. The importance of motor skills as the basis for every child’s active life, with the help of tools to help children to encourage themselves to practice, Design of motor skills training tools with sensor-based agility components has the potential and effectiveness to train children’s motor skills.",10.3991/ijim.v16i05.29731,Article,Gold,Indonesia,State University of Padang| Universitas Negeri Surabaya,,,FALSE,agility; exercise; motor skills; sensor technology
Edmodo-based interactive teaching materials as an alternative media for science learning to improve critical thinking skills of junior high school students,"Wahyuni, S.| Erman| Sudikan, S.Y.| Jatmiko, B.",58776122100| 57192427696| 57218170194| 57191163601,2020,International Journal of Interactive Mobile Technologies,English,2.9,46,0.316,Computer Science,https://www.scopus.com/record/display.url?eid=2-s2.0-85088095160&origin=resultslist,"This study aims to develop edmodo-based interactive teaching materials as an alternative media for science learning to improve critical thinking skills of junior high school students. This type of research is Research and Development (R&D) with ADDIE (Analyze, Design, Development, Implementation, and Evaluation) models. The research subjects were 28 students of grade VII in Jember district (Indonesia) who were obtained by cluster random sampling technique. Data were collected using validation sheets, observation sheets, critical thinking skills tests, and students responses questionnaires. Data were analyzed using descriptive analysis, normalized gain (n-gain), and paired sample ttest. The results show that edmodo-based interactive teaching materials can be used as an alternative media for learning science in junior high schools because they meet the following criteria: (1) validity, in terms of the validity assessment score of 3.60 (from the range of scores from 0 to 4) in the criteria are very valid, (2) practicality, in terms of the score of learning feasibility of 3.20 in good criteria, (3) effectiveness, in terms of an increase students critical thinking skills were statistically significant at α = 5% with an average n-gain of.71 in high criteria, and student responses of 83% in very good criteria.",10.3991/ijim.v14i09.13041,Article,Gold,Indonesia,University of Jember| Universitas Negeri Surabaya,,,FALSE,Critical thinking skills; Edmodo; Interactive teaching materials
