course_url,mata_kuliah,kelas,meeting_number,activity_description,date
https://sindig.unesa.ac.id/course/3/3078/proyek-sains-data,Proyek Sains Data,2022A,1,Pengantar proyek sains data (capstone project) Date 4 September 2025,4 September 2025
https://sindig.unesa.ac.id/course/3/3078/proyek-sains-data,Proyek Sains Data,2022A,2,Pembagian kelompok proyek sains data (capstone project) Date 11 September 2025,11 September 2025
https://sindig.unesa.ac.id/course/3/3078/proyek-sains-data,Proyek Sains Data,2022A,3,Penentuan permasalahan proyek sains data beserta matakuliah terkait penyelesaian masalah dalam kelompok yang sudah dibentuk Date 18 September 2025,18 September 2025
https://sindig.unesa.ac.id/course/3/3078/proyek-sains-data,Proyek Sains Data,2022A,4,Perencanaan Proyek Sains Data Date 25 September 2025,25 September 2025
https://sindig.unesa.ac.id/course/3/3078/proyek-sains-data,Proyek Sains Data,2022A,5,Evaluasi Perencanaan Projek Sains Data Date 2 Oktober 2025,2 Oktober 2025
https://sindig.unesa.ac.id/course/3/3078/proyek-sains-data,Proyek Sains Data,2022A,6,Pelaksanaan Proyek Sains Data Date 9 Oktober 2025,9 Oktober 2025
https://sindig.unesa.ac.id/course/3/3078/proyek-sains-data,Proyek Sains Data,2022A,7,Pelaksanaan Proyek Sains Data Date 16 Oktober 2025,16 Oktober 2025
https://sindig.unesa.ac.id/course/3/3078/proyek-sains-data,Proyek Sains Data,2022A,8,Penyusunan monitoring dan evaluasi proyek Date 23 Oktober 2025,23 Oktober 2025
https://sindig.unesa.ac.id/course/3/3078/proyek-sains-data,Proyek Sains Data,2022A,9,Presentasi-2 Pelaksanaan Proyek Sains Data Date 30 Oktober 2025,30 Oktober 2025
https://sindig.unesa.ac.id/course/3/3078/proyek-sains-data,Proyek Sains Data,2022A,10,Melanjutkan proyek dan persiapan penyusunan laporan Date 6 November 2025,6 November 2025
https://sindig.unesa.ac.id/course/3/3078/proyek-sains-data,Proyek Sains Data,2022A,11,Melanjutkan proyek dan persiapan penyusunan laporan Date 13 November 2025,13 November 2025
https://sindig.unesa.ac.id/course/3/3078/proyek-sains-data,Proyek Sains Data,2022A,12,Penyusunan Laporan Proyek Sains Data Date 20 November 2025,20 November 2025
https://sindig.unesa.ac.id/course/3/3078/proyek-sains-data,Proyek Sains Data,2022A,13,Evaluasi Penyusunan Laporan Projek Sains Data Date 27 November 2025,27 November 2025
https://sindig.unesa.ac.id/course/3/3078/proyek-sains-data,Proyek Sains Data,2022A,14,Melanjutkan laporan akhir dengan mempertimbangkan evaluasi dampak dan keberlanjutan solusi sains data dari dosen pengampu proyek Date 4 Desember 2025,4 Desember 2025
https://sindig.unesa.ac.id/course/3/3078/proyek-sains-data,Proyek Sains Data,2022A,15,Melanjutkan laporan akhir dengan mempertimbangkan evaluasi dampak dan keberlanjutan solusi sains data dari dosen pengampu proyek Date 11 Desember 2025,11 Desember 2025
https://sindig.unesa.ac.id/course/3/3078/proyek-sains-data,Proyek Sains Data,2022A,16,Ujian Akhir Semester Date 18 Desember 2025,18 Desember 2025
https://sindig.unesa.ac.id/course/3/3028/proyek-sains-data,Proyek Sains Data,2022D,1,Pengantar proyek sains data (capstone project) Date 4 September 2025,4 September 2025
https://sindig.unesa.ac.id/course/3/3028/proyek-sains-data,Proyek Sains Data,2022D,2,Pembagian kelompok proyek sains data (capstone project) Date 11 September 2025,11 September 2025
https://sindig.unesa.ac.id/course/3/3028/proyek-sains-data,Proyek Sains Data,2022D,3,Penentuan permasalahan proyek sains data beserta matakuliah terkait penyelesaian masalah dalam kelompok yang sudah dibentuk Date 18 September 2025,18 September 2025
https://sindig.unesa.ac.id/course/3/3028/proyek-sains-data,Proyek Sains Data,2022D,4,Perencanaan Proyek Sains Data Date 25 September 2025,25 September 2025
https://sindig.unesa.ac.id/course/3/3028/proyek-sains-data,Proyek Sains Data,2022D,5,Evaluasi Perencanaan Projek Sains Data Date 2 Oktober 2025,2 Oktober 2025
https://sindig.unesa.ac.id/course/3/3028/proyek-sains-data,Proyek Sains Data,2022D,6,Pelaksanaan Proyek Sains Data Date 9 Oktober 2025,9 Oktober 2025
https://sindig.unesa.ac.id/course/3/3028/proyek-sains-data,Proyek Sains Data,2022D,7,Pelaksanaan Proyek Sains Data Date 16 Oktober 2025,16 Oktober 2025
https://sindig.unesa.ac.id/course/3/3028/proyek-sains-data,Proyek Sains Data,2022D,8,Penyusunan monitoring dan evaluasi proyek Date 23 Oktober 2025,23 Oktober 2025
https://sindig.unesa.ac.id/course/3/3028/proyek-sains-data,Proyek Sains Data,2022D,9,Presentasi-2 Pelaksanaan Proyek Sains Data Date 30 Oktober 2025,30 Oktober 2025
https://sindig.unesa.ac.id/course/3/3028/proyek-sains-data,Proyek Sains Data,2022D,10,Melanjutkan proyek dan persiapan penyusunan laporan Date 6 November 2025,6 November 2025
https://sindig.unesa.ac.id/course/3/3028/proyek-sains-data,Proyek Sains Data,2022D,11,Melanjutkan proyek dan persiapan penyusunan laporan Date 13 November 2025,13 November 2025
https://sindig.unesa.ac.id/course/3/3028/proyek-sains-data,Proyek Sains Data,2022D,12,Penyusunan Laporan Proyek Sains Data Date 20 November 2025,20 November 2025
https://sindig.unesa.ac.id/course/3/3028/proyek-sains-data,Proyek Sains Data,2022D,13,Evaluasi Penyusunan Laporan Projek Sains Data Date 27 November 2025,27 November 2025
https://sindig.unesa.ac.id/course/3/3028/proyek-sains-data,Proyek Sains Data,2022D,14,Melanjutkan laporan akhir dengan mempertimbangkan evaluasi dampak dan keberlanjutan solusi sains data dari dosen pengampu proyek Date 4 Desember 2025,4 Desember 2025
