ID,Name,Department
74344,NADI SUPRAPTO,Pendidikan Fisika (S2)
6689659,BINAR KURNIA PRAHANI,Pendidikan Fisika (S2)
6058164,WIDI ARIBOWO,Teknik Listrik (D4)
74761,UTAMA ALAN DETA,Pendidikan Fisika (S1)
6010772,EKO HARIYONO,Pendidikan Sains (S2)
6706090,MUCHAMAD ARIF AL ARDHA,Pendidikan Jasmani (S3)
260174,LUQMAN HAKIM,Pendidikan Ekonomi (S3)
6009334,MUHAMMAD TURHAN YANI,Pendidikan Pancasila dan Kewarganegaraan (S2)
5991463,ANAS AHMADI,Unknown
6009220,NURHAYATI,Teknik Elektro (S2)
6644417,DWI ANGGOROWATI RAHAYU,Biologi (S1)
6009860,OCE WIRIAWAN,Kepelatihan Olahraga (S2)
6863418,NOVADRI AYUBI,Manajemen Olahraga (S2)
74052,DWI JUNIATI,Matematika (S1)
5988909,MUNASIR,Fisika (S1)
6010653,SLAMET SETIAWAN,Sastra Inggris (S1)
5992225,BUDI JATMIKO,Pendidikan Fisika (S1)
74762,ELLY MATUL IMAH,Kecerdasan Artifisial (S1)
5993648,LYDIA ROHMAWATI,Fisika (S1)
5984431,TATAG YULI EKO SISWONO,Pendidikan Matematika (S3)
74415,LILIK ANIFAH,Teknik Elektro (S2)
6879380,WILLY ARTHA WIRAWAN,Teknik Mesin (D4)
6921787,ADI PRANOTO,Pendidikan Kepelatihan Olahraga (S1)
5992508,NITA KUSUMAWATI,Kimia (S2)
6131021,MUHAMAD ARIF MAHDIANNUR,Pendidikan Ilmu Pengetahuan Alam (S1)
73880,NINING WIDYAH KUSNANIK,Pendidikan Olahraga (S2)
74634,SARI EDI CAHYANINGRUM,Kimia (S2)
6010248,KARWANTO,Manajemen Pendidikan (S2)
74469,PRADINI PUSPITANINGAYU,Teknik Elektro (S1)
6713821,MUHAMMAD HAKIKI,Pendidikan Teknologi Informasi (S1)
259509,TUKIRAN,Kimia (S2)
6649996,SUCI MEGAWATI,Administrasi Publik (S2)
6729500,FARIZ KUSTIAWAN ALFARISY,Unknown
5997172,AHMAD MUNIR,Pendidikan Bahasa Inggris (S2)
6010346,NURHASAN,Pendidikan Jasmani (S3)
5992583,PIRIM SETIARSO,Kimia (S1)
6002014,MOCHAMAD RIDWAN,"Pendidikan Jasmani, Kesehatan, dan Rekreasi (S1)"
6726874,DENY ARIFIANA,Pendidikan Tata Busana (S1)
6768016,FARHANNA MAR'I,Teknik Informatika (S1)
74871,ROOSELYNA EKAWATI,Pendidikan Matematika (S1)
6008992,RAYA SULISTYOWATI,Pendidikan Ekonomi (S2)
6723738,ZAENAL ABIDIN,Pendidikan Guru Sekolah Dasar (S1)
5995656,MADLAZIM,Fisika (S2)
5998520,ACHMAD KAUTSAR,Bisnis Digital (S1)
5973513,MOHAMMAD WASIL,Unknown
74862,ASRUL BAHAR,Pendidikan Tata Boga (S1)
6010695,DWIKORANTO,Pendidikan Fisika (S1)
6003675,MOCHAMAD NURSALIM,Pendidikan Dasar (S3)
6816137,FASIH BINTANG ILHAMI,Pendidikan Ilmu Pengetahuan Alam (S1)
6009286,ALI IMRON,Pendidikan IPS (S1)
6795764,AFIF RUSDIAWAN,Ilmu Keolahragaan (S1)
6859778,ANDIKA PRAMUDYA WARDANA,Kimia (S1)
5996239,RESDIANTO PERMATA RAHARJO,Pendidikan Bahasa  dan Sastra (S2)
6008210,DIAN ANITA NUSWANTARA,Akuntansi (S2)
6010700,HERYANTO NUR MUHAMMAD,"Pendidikan Jasmani, Kesehatan, dan Rekreasi (S1)"
6073158,MUFARRIHUL HAZIN,Manajemen Pendidikan (S2)
6011928,WIRYANTO,Pendidikan Dasar (S3)
6010559,MIFTAKHUL JANNAH,Psikologi (S2)
6008943,BAYU AGUNG PRAMONO,Pendidikan Kepelatihan Olahraga (S1)
6009836,NUNUK HARIYATI,Manajemen Pendidikan (S3)
5989122,HASAN SUBEKTI,Pendidikan Sains (S2)
6009682,SRI SETYO IRIANI,Manajemen (S3)
5988511,SYAFI'UL ANAM,Pendidikan Bahasa Inggris (S2)
6011293,ALI MUSTOFA,Sastra Inggris (S1)
6010331,TITIN SUNARTI,Pendidikan Fisika (S2)
259056,TITIK TAUFIKUROHMAH,Kimia (S2)
6011815,RATNA SUHARTINI,Tata Busana (D4)
6010344,NURITA APRIDIANA LESTARI,Pendidikan Fisika (S1)
6007331,Raden Roro Hapsari Peni Agustin Tjahyaningtijas,Teknik Elektro (S1)
6010018,INDARTI,Unknown
5981307,MUHAMMAD SATRIAWAN,Pendidikan Fisika (S1)
5974889,I GUSTI PUTU ASTO BUDITJAHJANTO,Teknik Elektro (S2)
259010,LUSIA RAKHMAWATI,Teknik Elektro (S1)
6009693,URIP WAHYUNINGSIH,Tata Busana (D4)
6011020,SUHARTONO,Pendidikan Bahasa dan Sastra (S3)
6758700,IKA DIYAH CANDRA ARIFAH,Bisnis Digital (S1)
6007100,NENI MARIANA,Pendidikan Dasar (S3)
6022856,MOHAMAD ARIEF RAFSANJANI,Pendidikan Ekonomi (S1)
5993387,TUTUT NURITA,Pendidikan Ilmu Pengetahuan Alam (S1)
6010310,A'YUNIN SOFRO,Sains Aktuaria (S1)
6007065,SUBUH ISNUR HARYUDO,Pendidikan Teknik Elektro (S1)
5988833,NUGRAHANI PRIMARY PUTRI,Fisika (S2)
6009115,SYUNU TRIHANTOYO,Manajemen Pendidikan (S1)
74571,ALBRIAN FIKY PRAKOSO,Pendidikan Ekonomi (S1)
5996033,SARMINI,Pendidikan Ilmu Pengetahuan Sosial (S3)
6010697,MARTADI,Desain Grafis (D4)
6861006,RIKI NASRULLAH,Pendidikan Bahasa dan Sastra Indonesia (Kampus Kab (S1)
6008823,I DEWA MADE ARYANANDA WIJAYA KUSUMA,Kepelatihan Olahraga (S2)
74521,MOHAMMAD SYAHIDUL HAQ,Manajemen Pendidikan (S1)
5988773,FIDA RACHMADIARTI,Pendidikan Biologi (S1)
5988773,FIDA RACHMADIARTI,Pendidikan Biologi (S1)
6780113,DEWANGGA YUDHISTIRA,Unknown
5993291,BAMBANG SUPRIANTO,Teknik Elektro (S2)
5988848,ISNAWATI,Biologi (S1)
5996110,ITA FATKHUR ROMADHONI,Tata Boga (D4)
6009486,HUJJATULLAH FAZLURRAHMAN,Bisnis Digital (S1)
6159713,DODIK ARWIN DERMAWAN,Manajemen Informatika (D4)
74135,JUN SURJANTI,Manajemen (S3)
