Source,Title,Journal,Quartile,Edition,Journal_Link,Authors,Author_Position,Total_Authors,Year,Cited,Scopus_Indexed,DOI,Link
WoS,Violent crowd flow detection from surveillance cameras using deep transfer learning-gated recurrent unit,ETRI JOURNAL,,WOS.SCI Edition,,"Imah, EM; Puspitasari, RDI;",0,2,2024,1,Yes,10.4218/etrij.2023-0222,https://www.webofscience.com/wos/woscc/full-record/WOS:001184618800001
WoS,Detection method of viral pneumonia imaging features based on CT scan images in COVID-19 case study,METHODSX,,WOS.ESCI Edition,,"Hermawati, FA; Trilaksono, BR; Nugroho, AS; Imah, EM; Lukas; Kamelia, T; Mengko, TLER; Han...",0,12,2024,0,Yes,10.1016/j.mex.2023.102507,https://www.webofscience.com/wos/woscc/full-record/WOS:001147767700001
WoS,Trend and Visualization of Artificial Intelligence Research in the Last 10 Years,TEM JOURNAL-TECHNOLOGY EDUCATION MANAGEMENT INFORMATICS,,WOS.ESCI Edition,,"Prahani, BK; Imah, EM; Maureen, IY; Rakhmawati, L; Saphira, HV;",2,5,2023,1,Yes,10.18421/TEM122-38,https://www.webofscience.com/wos/woscc/full-record/WOS:001003974800038
WoS,Classification of Emotional State Based on EEG Signal using AMGLVQ,4TH INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE AND COMPUTATIONAL INTELLIGENCE (ICCSCI 2019) : ENABLING COLLABORATION TO ESCALATE IMPACT OF RESEARCH RESULTS FOR SOCIETY,,WOS.ISTP Edition,https://publons.com/wos-op/journal/22602/,"Masruroh, AH; Imah, EM; Rahmawati, E;",2,3,2019,8,Yes,10.1016/j.procs.2019.09.013,https://www.webofscience.com/wos/woscc/full-record/WOS:000610366100069
WoS,The Classification of Diabetes Mellitus Using Kernel k-means,"MATHEMATICS, INFORMATICS, SCIENCE AND EDUCATION INTERNATIONAL CONFERENCE (MISEIC)",,WOS.ISTP Edition,https://publons.com/wos-op/journal/162/,"Alamsyah, M; Nafisah, Z; Prayitno, E; Afida, AM; Imah, EM;",5,5,2018,4,Yes,10.1088/1742-6596/947/1/012003,https://www.webofscience.com/wos/woscc/full-record/WOS:000431623500003
WoS,Automation animal tracker using complex value neural network,3RD ANNUAL APPLIED SCIENCE AND ENGINEERING CONFERENCE (AASEC 2018),,WOS.ISTP Edition,https://publons.com/wos-op/journal/33462/,"Imah, EM; Wintarti, A; Sulaiman, R; Manuharawati, M;",0,4,2018,0,Yes,10.1051/matecconf/201819703020,https://www.webofscience.com/wos/woscc/full-record/WOS:000567661500045
WoS,Plant Leaf Recognition Using Competitive Based Learning Algorithm,2ND ANNUAL APPLIED SCIENCE AND ENGINEERING CONFERENCE (AASEC 2017),,WOS.ISTP Edition,https://publons.com/wos-op/journal/26055/,"Imah, EM; Rahayu, YS; Wintarti, A;",1,3,2018,2,Yes,10.1088/1757-899X/288/1/012058,https://www.webofscience.com/wos/woscc/full-record/WOS:000431664000058
WoS,Determining Student's Single Tuition Fee Category Using Correlation Based Feature Selection and Support Vector Machine,2017 INTERNATIONAL CONFERENCE ON ADVANCED COMPUTER SCIENCE AND INFORMATION SYSTEMS (ICACSIS),,WOS.ISTP Edition,https://publons.com/wos-op/journal/32402/,"Yustanti, W; Anistyasari, Y; Imah, EM;",3,3,2017,2,Yes,,https://www.webofscience.com/wos/woscc/full-record/WOS:000434955800026
WoS,A Comparative Study of Machine Learning Algorithms for Epileptic Seizure Classification on EEG Signals,2017 INTERNATIONAL CONFERENCE ON ADVANCED COMPUTER SCIENCE AND INFORMATION SYSTEMS (ICACSIS),,WOS.ISTP Edition,https://publons.com/wos-op/journal/32402/,"Imah, EM; Widodo, A;",1,2,2017,11,Yes,,https://www.webofscience.com/wos/woscc/full-record/WOS:000434955800062
WoS,"A Comparative Study of PCA, FFT and Wavelet as Feature Extraction for Gamelan Tones Recognition",ADVANCED SCIENCE LETTERS,,WOS.ISTP Edition,https://publons.com/wos-op/journal/12034/,"Wintarti, A; Imah, EM; Winarko, J;",2,3,2017,0,No,10.1166/asl.2017.10563,https://www.webofscience.com/wos/woscc/full-record/WOS:000431770900081
